omegaH,omegaS
0.001,0.001
0.001,0.0034
0.001,0.0097
0.001,0.0097
0.001,0.0175
0.001,0.0175
0.001,0.0175
0.001,0.0175
0.001,0.0175
0.0045,0.0175
0.0045,0.0175
0.0052,0.0175
0.0052,0.0175
0.0052,0.0175
0.0052,0.0247
0.0052,0.0247
0.0052,0.0267
0.0052,0.0279
0.0054,0.0279
0.0054,0.0279
0.0054,0.0279
0.0054,0.0291
0.0064,0.0291
0.0064,0.0291
0.0064,0.0298
0.0064,0.0355
0.0077,0.0355
0.0077,0.0355
0.0077,0.0377
0.0077,0.0415
0.0077,0.0415
0.0077,0.0415
0.0077,0.044
0.0077,0.0492
0.0077,0.0576
0.0085,0.0576
0.0085,0.0576
0.0085,0.0576
0.0085,0.0576
0.0088,0.0576
0.0088,0.0576
0.0088,0.0578
0.0088,0.0601
0.0088,0.0601
0.0088,0.0604
0.0088,0.0617
0.0162,0.0617
0.0162,0.0617
0.0162,0.0643
0.0162,0.0643
0.0162,0.0667
0.0236,0.0667
0.0236,0.0667
0.0236,0.0725
0.0236,0.0725
0.0236,0.0725
0.0236,0.0725
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0745
0.0236,0.0746
0.0311,0.0746
0.0311,0.0746
0.033,0.0746
0.033,0.0746
0.033,0.0759
0.0346,0.0759
0.0346,0.0759
0.0346,0.0806
0.0346,0.0806
0.0368,0.0806
0.0368,0.088
0.0368,0.089
0.0368,0.0983
0.0368,0.1057
0.0368,0.1057
0.0497,0.1057
0.0497,0.1057
0.0497,0.1098
0.0497,0.1098
0.0523,0.1098
0.0547,0.1098
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.111
0.0547,0.1162
0.0547,0.1261
0.0547,0.1296
0.0547,0.1296
0.0547,0.1372
0.0614,0.1372
0.0614,0.1454
0.0614,0.1472
0.0614,0.1472
0.0614,0.1502
0.0625,0.1502
0.0625,0.1556
0.0625,0.1556
0.0625,0.1661
0.0625,0.1712
0.0625,0.1712
0.0625,0.1712
0.0625,0.1712
0.0625,0.1735
0.0625,0.1735
0.0625,0.1833
0.0625,0.1836
0.0625,0.1836
0.0625,0.1836
0.0625,0.186
0.0625,0.186
0.0625,0.186
0.0625,0.186
0.0644,0.186
0.0644,0.186
0.0644,0.186
0.0644,0.186
0.0644,0.186
0.0644,0.186
0.0644,0.1973
0.0644,0.1973
0.0659,0.1973
0.0659,0.1973
0.0659,0.2062
0.0659,0.2062
0.0659,0.2085
0.0659,0.2108
0.0659,0.2138
0.0659,0.2138
0.0724,0.2138
0.0732,0.2138
0.0732,0.2138
0.0732,0.2138
0.0742,0.2138
0.0742,0.2145
0.0794,0.2145
0.0794,0.217
0.0805,0.217
0.0805,0.2184
0.0805,0.2286
0.0805,0.2297
0.0851,0.2297
0.0851,0.2297
0.0851,0.2297
0.0851,0.2297
0.0858,0.2297
0.0858,0.2297
0.0858,0.2297
0.0858,0.2297
0.0858,0.2339
0.0858,0.2339
0.0858,0.2389
0.0858,0.2447
0.0947,0.2447
0.0947,0.2447
0.0947,0.2536
0.0969,0.2536
0.0969,0.2597
0.0969,0.2613
0.1003,0.2613
0.1003,0.2613
0.1003,0.2618
0.1003,0.2618
0.1003,0.2625
0.1003,0.2625
0.1003,0.2663
0.1003,0.267
0.1003,0.2685
0.1003,0.2737
0.1003,0.2737
0.1012,0.2737
0.1012,0.2737
0.1012,0.2737
0.1012,0.2773
0.1012,0.2773
0.1012,0.2773
0.1012,0.2773
0.1012,0.2773
0.1012,0.2831
0.1061,0.2831
0.1061,0.2866
0.1061,0.2866
0.107,0.2866
0.107,0.291
0.1092,0.291
0.1092,0.291
0.1092,0.291
0.1092,0.291
0.1092,0.291
0.1092,0.294
0.1092,0.294
0.1092,0.3034
0.1092,0.3034
0.1092,0.3034
0.1092,0.3143
0.1092,0.316
0.1092,0.316
0.1092,0.3161
0.1092,0.3161
0.1092,0.3228
0.1092,0.3228
0.1092,0.3228
0.1092,0.3228
0.1092,0.3229
0.1092,0.3287
0.1092,0.3287
0.1092,0.3287
0.1092,0.3287
0.1094,0.3287
0.1168,0.3287
0.1168,0.3287
0.1168,0.3287
0.1174,0.3287
0.1174,0.3287
0.1194,0.3287
0.1194,0.3362
0.1194,0.3362
0.1194,0.3362
0.1194,0.3363
0.1194,0.3429
0.1194,0.3429
0.1237,0.3429
0.1237,0.3429
0.1237,0.3429
0.1237,0.3483
0.1237,0.3498
0.1237,0.3498
0.1237,0.3591
0.13,0.3591
0.13,0.3651
0.13,0.373
0.13,0.373
0.13,0.3825
0.13,0.3825
0.1378,0.3825
0.1378,0.3825
0.1378,0.3825
0.1378,0.3836
0.1378,0.3836
0.1378,0.388
0.1378,0.388
0.1378,0.388
0.1378,0.388
0.1378,0.388
0.1378,0.4
0.1378,0.4032
0.1406,0.4032
0.1406,0.4032
0.1409,0.4032
0.1409,0.4032
0.1409,0.4032
0.1409,0.4032
0.1502,0.4032
0.1502,0.4032
0.152,0.4032
0.152,0.4032
0.152,0.4032
0.152,0.4066
0.152,0.4066
0.152,0.4066
0.152,0.4099
0.152,0.4099
0.152,0.4099
0.152,0.4099
0.152,0.4099
0.152,0.4099
0.152,0.4099
0.152,0.4233
0.152,0.4233
0.152,0.4307
0.152,0.4307
0.152,0.4307
0.152,0.4307
0.152,0.4379
0.152,0.4379
0.152,0.4409
0.152,0.4409
0.152,0.4409
0.152,0.4409
0.152,0.4424
0.152,0.4489
0.153,0.4489
0.153,0.4489
0.153,0.449
0.153,0.4536
0.153,0.4536
0.153,0.4632
0.153,0.4702
0.153,0.4702
0.153,0.4702
0.153,0.4702
0.153,0.4726
0.153,0.4754
0.153,0.4754
0.153,0.4773
0.1558,0.4773
0.1558,0.4773
0.1558,0.4773
0.1558,0.4786
0.1558,0.4815
0.1606,0.4815
0.1606,0.4857
0.1606,0.4857
0.1606,0.4857
0.1606,0.4927
0.1684,0.4927
0.1684,0.4984
0.1684,0.504
0.1684,0.504
0.1684,0.504
0.1684,0.5055
0.1684,0.5094
0.1684,0.5094
0.1684,0.5094
0.1684,0.5094
0.1684,0.5094
0.1684,0.5094
0.1684,0.5099
0.1684,0.5112
0.1684,0.5112
0.1755,0.5112
0.1755,0.5112
0.1777,0.5112
0.1777,0.5112
0.1777,0.5112
0.191,0.5112
0.191,0.5178
0.191,0.5178
0.191,0.5192
0.191,0.5192
0.191,0.5192
0.191,0.5252
0.1932,0.5252
0.1932,0.5252
0.1932,0.5252
0.1932,0.5316
0.1981,0.5316
0.1981,0.5373
0.1981,0.5437
0.1981,0.5437
0.1985,0.5437
0.1985,0.5437
0.1985,0.5449
0.1985,0.5449
0.1985,0.5494
0.1985,0.5494
0.1985,0.5494
0.1985,0.5536
0.1985,0.5536
0.2068,0.5536
0.2068,0.5617
0.2068,0.571
0.2068,0.5749
0.2068,0.5749
0.2068,0.5749
0.2068,0.5819
0.2068,0.5829
0.2068,0.5829
0.2068,0.5829
0.2092,0.5829
0.2156,0.5829
0.2156,0.5855
0.2156,0.5855
0.2156,0.5855
0.2156,0.5855
0.2156,0.5894
0.2156,0.5894
0.2156,0.5894
0.2156,0.5931
0.2156,0.5979
0.2188,0.5979
0.2188,0.5979
0.2188,0.5979
0.2188,0.6004
0.2188,0.6004
0.2188,0.6032
0.2223,0.6032
0.2223,0.6065
0.2223,0.6065
0.2254,0.6065
0.2254,0.6118
0.2254,0.6157
0.2254,0.6186
0.2254,0.6186
0.2254,0.6186
0.2254,0.6186
0.2254,0.6186
0.2254,0.6186
0.2257,0.6186
0.2265,0.6186
0.2265,0.6209
0.2265,0.6235
0.2265,0.6235
0.2265,0.6249
0.2265,0.6255
0.2265,0.6287
0.2265,0.6287
0.2265,0.6287
0.2265,0.6312
0.2265,0.6327
0.2285,0.6327
0.2285,0.6327
0.2285,0.6348
0.2327,0.6348
0.2327,0.6399
0.2327,0.6399
0.2383,0.6399
0.2388,0.6399
0.2388,0.6399
0.2388,0.6399
0.2388,0.6413
0.2494,0.6413
0.2494,0.6413
0.2494,0.6413
0.2494,0.6413
0.2494,0.6464
0.2494,0.6464
0.2494,0.647
0.2494,0.6493
0.2494,0.6493
0.2494,0.6493
0.2494,0.6493
0.2494,0.6493
0.2494,0.6493
0.2494,0.6493
0.2494,0.6537
0.2494,0.6537
0.2494,0.6537
0.2494,0.6553
0.2494,0.6553
0.2494,0.6625
0.2494,0.6676
0.2494,0.6676
0.2494,0.6692
0.2494,0.6692
0.2494,0.6692
0.2494,0.6692
0.2494,0.6705
0.2519,0.6705
0.2519,0.6785
0.2539,0.6785
0.2539,0.6785
0.2539,0.6785
0.2581,0.6785
0.2581,0.6838
0.2581,0.6937
0.2675,0.6937
0.2675,0.6937
0.2675,0.6938
0.2693,0.6938
0.2732,0.6938
0.2732,0.7042
0.2732,0.7042
0.2732,0.7042
0.2732,0.7042
0.2732,0.7042
0.2732,0.7069
0.2732,0.708
0.2732,0.7151
0.2732,0.7176
0.2732,0.7176
0.2732,0.7176
0.2751,0.7176
0.2785,0.7176
0.2785,0.7177
0.2785,0.7177
0.2785,0.7177
0.2785,0.7184
0.2785,0.7184
0.2785,0.7203
0.2785,0.724
0.2785,0.724
0.2802,0.724
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2802,0.7279
0.2845,0.7279
0.2845,0.7279
0.2845,0.7363
0.2845,0.7395
0.2845,0.7395
0.2845,0.7395
0.2845,0.7395
0.2845,0.7395
0.2845,0.7395
0.293,0.7395
0.293,0.7452
0.293,0.7567
0.293,0.7567
0.293,0.7571
0.293,0.7572
0.293,0.7572
0.293,0.7572
0.293,0.7594
0.293,0.7612
0.293,0.7612
0.293,0.7612
0.293,0.7612
0.2987,0.7612
0.2987,0.7612
0.2987,0.7612
0.2987,0.7612
0.2987,0.7612
0.2987,0.7682
0.2987,0.7682
0.2987,0.7682
0.2987,0.7728
0.2987,0.7774
0.2987,0.7774
0.2987,0.7774
0.2987,0.7808
0.2987,0.7808
0.2987,0.7808
0.2987,0.7838
0.2987,0.7838
0.2987,0.7838
0.2987,0.7838
0.304,0.7838
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.304,0.7851
0.3051,0.7851
0.3051,0.7899
0.3051,0.7899
0.3051,0.7921
0.3051,0.7921
0.3051,0.7921
0.3051,0.7921
0.311,0.7921
0.311,0.7965
0.3195,0.7965
0.3195,0.7971
0.3195,0.8
0.3197,0.8
0.3197,0.8
0.327,0.8
0.327,0.8
0.327,0.8
0.327,0.8
0.327,0.8066
0.327,0.8066
0.327,0.8066
0.327,0.8066
0.327,0.8107
0.327,0.8107
0.327,0.8127
0.331,0.8127
0.331,0.8127
0.3314,0.8127
0.3326,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8127
0.3343,0.8174
0.3379,0.8174
0.3379,0.8181
0.3392,0.8181
0.3392,0.8181
0.3392,0.8195
0.3392,0.8195
0.3392,0.8195
0.3392,0.8195
0.3392,0.8208
0.3392,0.8208
0.3392,0.8208
0.3459,0.8208
0.3459,0.8215
0.3459,0.8249
0.3459,0.8249
0.3459,0.8249
0.3459,0.8285
0.3459,0.8329
0.3459,0.8329
0.3495,0.8329
0.3495,0.8458
0.3495,0.8503
0.3495,0.8503
0.3495,0.8546
0.3495,0.8546
0.3495,0.8546
0.3518,0.8546
0.3518,0.8561
0.3518,0.8561
0.3518,0.8561
0.3518,0.8666
0.3529,0.8666
0.3529,0.8692
0.3529,0.8777
0.3529,0.8777
0.3529,0.8783
0.3529,0.8783
0.3529,0.8783
0.3529,0.8783
0.3529,0.8851
0.3529,0.8851
0.3529,0.8851
0.3529,0.8851
0.3529,0.8851
0.3529,0.8942
0.3529,0.8942
0.3529,0.9055
0.3552,0.9055
0.3552,0.9055
0.3552,0.9079
0.3552,0.9102
0.3552,0.9102
0.36,0.9102
0.36,0.9135
0.36,0.9172
0.36,0.9172
0.36,0.9172
0.36,0.9172
0.36,0.9172
0.36,0.9172
0.36,0.9195
0.36,0.923
0.36,0.9241
0.36,0.9241
0.36,0.934
0.36,0.9531
0.36,0.9531
0.36,0.9552
0.36,0.9552
0.36,0.9552
0.36,0.9591
0.36,0.9595
0.36,0.9595
0.36,0.9595
0.36,0.9636
0.36,0.9636
0.3658,0.9636
0.3658,0.9636
0.3658,0.9707
0.3712,0.9707
0.3712,0.9707
0.3712,0.9707
0.3712,0.9752
0.3712,0.9752
0.3712,0.9796
0.3712,0.9799
0.3712,0.9809
0.3712,0.9809
0.3712,0.9809
0.3712,0.9809
0.3712,0.9821
0.3712,0.9874
0.3712,0.9929
0.3712,0.9929
0.3712,0.9929
0.3712,0.9929
0.3712,0.9933
0.3712,0.9933
0.3748,0.9933
0.3748,0.9973
0.3748,0.9973
0.3748,0.9973
0.3748,0.9984
0.3748,0.9984
0.3848,0.9984
0.3848,0.9984
0.3848,0.9984
0.3848,0.9984
0.3848,1.0
0.3915,1.0
0.3915,1.0
0.3915,1.0
0.3915,1.0
0.3915,1.0
0.3915,1.0
0.3915,1.0
0.3927,1.0
0.3969,1.0
0.3979,1.0
0.4026,1.0
0.4019,1.0
0.4015,1.0
0.4015,1.0
0.4059,1.0
0.4059,1.0
0.4101,1.0
0.4101,1.0
0.4101,1.0
0.4117,1.0
0.4117,1.0
0.4176,1.0
0.423,1.0
0.4266,1.0
0.4266,1.0
0.4266,1.0
0.4294,1.0
0.4294,1.0
0.4319,1.0
0.4342,1.0
0.4381,1.0
0.444,1.0
0.4472,1.0
0.4502,1.0
0.4542,1.0
0.4542,1.0
0.4635,1.0
0.4635,1.0
0.4654,1.0
0.4654,1.0
0.4654,1.0
0.4665,1.0
0.4665,1.0
0.4679,1.0
0.472,1.0
0.472,1.0
0.472,1.0
0.472,1.0
0.4772,1.0
0.4772,1.0
0.4772,1.0
0.4772,1.0
0.4887,1.0
0.4948,1.0
0.5063,1.0
0.5108,1.0
0.5108,1.0
0.5108,1.0
0.5108,1.0
0.5144,1.0
0.5144,1.0
0.5144,1.0
0.5144,1.0
0.5144,1.0
0.5179,1.0
0.5179,1.0
0.5179,1.0
0.5179,1.0
0.5179,1.0
0.5179,1.0
0.5225,1.0
0.5225,1.0
0.5261,1.0
0.5261,1.0
0.5261,1.0
0.5261,1.0
0.5261,1.0
0.5316,1.0
0.5316,1.0
0.5316,1.0
0.5316,1.0
0.5316,1.0
0.5316,1.0
0.5397,1.0
0.5397,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.547,1.0
0.5529,1.0
0.5601,1.0
0.5665,1.0
0.5665,1.0
0.5665,1.0
0.5665,1.0
0.5665,1.0
0.5665,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.574,1.0
0.5805,1.0
0.5805,1.0
0.5805,1.0
0.5805,1.0
0.5805,1.0
0.5859,1.0
0.5859,1.0
0.5859,1.0
0.5859,1.0
0.5904,1.0
0.5962,1.0
0.5962,1.0
0.5962,1.0
0.5962,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6026,1.0
0.6071,1.0
0.6071,1.0
0.6071,1.0
0.6166,1.0
0.6166,1.0
0.6166,1.0
0.6311,1.0
0.6311,1.0
0.6311,1.0
0.6311,1.0
0.6443,1.0
0.6443,1.0
0.652,1.0
0.652,1.0
0.657,1.0
0.657,1.0
0.6626,1.0
0.6626,1.0
0.6626,1.0
0.6626,1.0
0.6626,1.0
0.6626,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
0.6686,1.0
