omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.009,0.001
0.009,0.001
0.009,0.001
0.009,0.001
0.009,0.0023
0.009,0.0023
0.0095,0.0023
0.0095,0.0023
0.0095,0.0023
0.02,0.0023
0.02,0.0023
0.02,0.0088
0.02,0.01
0.02,0.01
0.02,0.0161
0.02,0.0217
0.02,0.0217
0.02,0.0222
0.02,0.0222
0.02,0.0284
0.02,0.0284
0.02,0.0327
0.02,0.0365
0.0229,0.0365
0.0229,0.0373
0.0229,0.0391
0.0229,0.0391
0.0229,0.0413
0.0229,0.0428
0.0229,0.0471
0.0229,0.0471
0.0229,0.0471
0.0229,0.0529
0.0229,0.0622
0.0229,0.0622
0.0229,0.0622
0.0229,0.0622
0.0229,0.0622
0.0229,0.0678
0.0229,0.0678
0.0229,0.0687
0.0229,0.0723
0.0229,0.075
0.0229,0.0764
0.0229,0.0764
0.0229,0.0764
0.0229,0.0794
0.0229,0.083
0.0301,0.083
0.0301,0.083
0.0301,0.083
0.0301,0.083
0.0301,0.083
0.0301,0.0836
0.0301,0.0922
0.0301,0.0922
0.0301,0.0922
0.0308,0.0922
0.0308,0.0922
0.0345,0.0922
0.0345,0.0922
0.0424,0.0922
0.0424,0.0922
0.0424,0.0922
0.0431,0.0922
0.0431,0.0922
0.0431,0.0922
0.0431,0.0922
0.0431,0.0922
0.0455,0.0922
0.0455,0.0929
0.0455,0.0929
0.0455,0.0929
0.0455,0.1032
0.0455,0.1054
0.0455,0.1054
0.0455,0.1054
0.0475,0.1054
0.0482,0.1054
0.0524,0.1054
0.0524,0.1054
0.0524,0.1054
0.0524,0.1054
0.0524,0.1054
0.0524,0.112
0.0539,0.112
0.0539,0.113
0.0539,0.1164
0.0539,0.1169
0.0607,0.1169
0.0607,0.1169
0.0607,0.1169
0.0607,0.1169
0.0607,0.1169
0.0607,0.1198
0.0607,0.1198
0.0607,0.1212
0.0607,0.1212
0.0607,0.1282
0.0607,0.1282
0.0607,0.1282
0.0607,0.1311
0.0607,0.1338
0.0607,0.1338
0.0607,0.1386
0.0607,0.1454
0.0607,0.1493
0.0607,0.1493
0.0607,0.1562
0.0607,0.1562
0.0607,0.1562
0.0607,0.1562
0.0609,0.1562
0.0609,0.16
0.0609,0.16
0.0609,0.1619
0.0609,0.1619
0.0609,0.1643
0.0609,0.165
0.0609,0.1738
0.0609,0.1738
0.0609,0.1738
0.0705,0.1738
0.0705,0.1738
0.0705,0.1738
0.0705,0.1775
0.0705,0.1775
0.0705,0.1775
0.0705,0.1775
0.0705,0.1775
0.0705,0.181
0.0705,0.1853
0.0705,0.1853
0.0741,0.1853
0.0741,0.1853
0.0741,0.1853
0.0741,0.1853
0.0741,0.1896
0.0741,0.1896
0.0741,0.1945
0.0741,0.1945
0.0741,0.1945
0.0741,0.1945
0.0741,0.1954
0.0741,0.1954
0.0741,0.2002
0.0741,0.2047
0.0741,0.2047
0.0741,0.2047
0.0823,0.2047
0.0823,0.2069
0.0841,0.2069
0.0841,0.2069
0.0841,0.2069
0.0841,0.2069
0.0841,0.2081
0.0841,0.2151
0.0841,0.2151
0.0841,0.2151
0.0841,0.2172
0.0841,0.2212
0.0841,0.2212
0.0841,0.2309
0.0841,0.2333
0.0841,0.2456
0.0873,0.2456
0.0873,0.2541
0.0937,0.2541
0.0937,0.2541
0.0937,0.2541
0.0937,0.2541
0.0937,0.2541
0.0937,0.2541
0.0966,0.2541
0.0966,0.2614
0.0966,0.2614
0.0966,0.2614
0.0966,0.2614
0.0966,0.2614
0.0966,0.2614
0.0992,0.2614
0.0992,0.2614
0.0992,0.2622
0.0992,0.2628
0.0992,0.2657
0.0992,0.2791
0.0992,0.2853
0.0992,0.2905
0.0992,0.2924
0.0992,0.2924
0.0992,0.2953
0.0992,0.2953
0.105,0.2953
0.105,0.3033
0.1121,0.3033
0.1121,0.306
0.1121,0.306
0.1121,0.306
0.117,0.306
0.117,0.3085
0.1205,0.3085
0.1205,0.3085
0.1205,0.3128
0.1205,0.3151
0.1205,0.3151
0.121,0.3151
0.121,0.3156
0.121,0.3156
0.1221,0.3156
0.1221,0.3166
0.1221,0.3166
0.1221,0.3232
0.1221,0.3288
0.1221,0.333
0.1221,0.3386
0.1263,0.3386
0.1263,0.3453
0.1263,0.3453
0.1263,0.3453
0.1263,0.3453
0.1263,0.3453
0.1276,0.3453
0.1276,0.3545
0.1276,0.3545
0.1276,0.3592
0.1276,0.3642
0.1276,0.3669
0.1276,0.3669
0.1276,0.3669
0.1322,0.3669
0.1322,0.3814
0.1322,0.3814
0.1327,0.3814
0.1327,0.3814
0.1327,0.3825
0.1327,0.3825
0.1361,0.3825
0.1361,0.3825
0.1361,0.3825
0.1361,0.3825
0.1361,0.3847
0.1361,0.3847
0.1361,0.3847
0.1361,0.3847
0.1361,0.3902
0.1361,0.3902
0.1361,0.3902
0.1363,0.3902
0.1363,0.3971
0.1363,0.3971
0.1363,0.4032
0.1363,0.4051
0.1363,0.4062
0.1363,0.4138
0.1396,0.4138
0.1448,0.4138
0.145,0.4138
0.145,0.4138
0.145,0.4138
0.145,0.4138
0.145,0.4183
0.145,0.4183
0.145,0.4227
0.145,0.4316
0.145,0.4316
0.1464,0.4316
0.1464,0.4348
0.1464,0.4348
0.1464,0.4348
0.1464,0.4348
0.1464,0.4443
0.1464,0.4443
0.1464,0.4468
0.1481,0.4468
0.1481,0.45
0.1481,0.4533
0.1481,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4533
0.1512,0.4641
0.1552,0.4641
0.1552,0.4641
0.1552,0.4663
0.1552,0.4663
0.1552,0.467
0.1589,0.467
0.1589,0.467
0.1589,0.467
0.1635,0.467
0.1635,0.4677
0.1635,0.4778
0.1635,0.4863
0.1635,0.4863
0.1635,0.4932
0.1635,0.4932
0.1683,0.4932
0.1683,0.4932
0.1694,0.4932
0.1694,0.4932
0.1789,0.4932
0.1789,0.4965
0.1789,0.4965
0.1789,0.501
0.1789,0.5078
0.1789,0.5149
0.1789,0.5285
0.1789,0.5285
0.1789,0.5285
0.1789,0.5285
0.1789,0.5285
0.1789,0.5338
0.1789,0.5338
0.1789,0.5397
0.1789,0.5397
0.1789,0.5397
0.1824,0.5397
0.1824,0.544
0.1824,0.544
0.1824,0.544
0.1824,0.545
0.1824,0.545
0.1824,0.545
0.1824,0.545
0.1833,0.545
0.1833,0.5464
0.1833,0.5464
0.1833,0.5502
0.1833,0.552
0.1833,0.552
0.1833,0.5574
0.1833,0.5574
