omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.0024
0.001,0.0101
0.001,0.012
0.001,0.012
0.001,0.012
0.001,0.0189
0.001,0.0189
0.001,0.021
0.001,0.0255
0.001,0.0255
0.001,0.0255
0.001,0.0283
0.001,0.0283
0.001,0.0283
0.001,0.0283
0.0027,0.0283
0.0027,0.0316
0.0027,0.0342
0.0027,0.0342
0.0027,0.0349
0.0088,0.0349
0.0088,0.0488
0.0088,0.0488
0.0088,0.0498
0.0088,0.0498
0.0088,0.0498
0.0088,0.0498
0.0088,0.0498
0.0088,0.0498
0.0088,0.0498
0.0088,0.0514
0.0141,0.0514
0.0141,0.0596
0.0141,0.0596
0.0141,0.0596
0.0141,0.0596
0.0141,0.0668
0.0141,0.0764
0.0141,0.0798
0.0141,0.0857
0.0141,0.086
0.0141,0.0915
0.0178,0.0915
0.0178,0.0915
0.0178,0.0978
0.0207,0.0978
0.0207,0.0982
0.0207,0.0982
0.0207,0.0982
0.0207,0.0989
0.0207,0.0989
0.0207,0.0989
0.0207,0.1039
0.0207,0.1039
0.0207,0.1049
0.0219,0.1049
0.0219,0.1049
0.0219,0.1101
0.0219,0.1139
0.0219,0.1139
0.0219,0.1139
0.0219,0.1165
0.0219,0.1178
0.0219,0.1221
0.0219,0.1221
0.0219,0.1221
0.0219,0.1248
0.0219,0.1248
0.0219,0.1248
0.0219,0.1248
0.0245,0.1248
0.0245,0.1303
0.0245,0.1303
0.0245,0.1303
0.0245,0.1303
0.0245,0.1303
0.0295,0.1303
0.0295,0.1303
0.0295,0.1326
0.0295,0.1326
0.0295,0.1336
0.0351,0.1336
0.0351,0.1336
0.0353,0.1336
0.0353,0.1336
0.0364,0.1336
0.0364,0.1336
0.0364,0.134
0.0412,0.134
0.0412,0.1371
0.0412,0.1371
0.0412,0.1371
0.0412,0.1371
0.0412,0.1371
0.0412,0.1371
0.0412,0.1513
0.0412,0.1513
0.0412,0.155
0.0447,0.155
0.0447,0.155
0.0447,0.155
0.0471,0.155
0.0471,0.1568
0.0471,0.1591
0.0471,0.1591
0.0471,0.1665
0.0471,0.1716
0.0486,0.1716
0.0486,0.1716
0.0486,0.1716
0.05,0.1716
0.05,0.1848
0.05,0.1899
0.05,0.1899
0.0544,0.1899
0.0548,0.1899
0.0548,0.1996
0.0548,0.1996
0.0548,0.2044
0.0548,0.2044
0.0575,0.2044
0.0575,0.2049
0.0575,0.2049
0.0575,0.2049
0.0655,0.2049
0.0659,0.2049
0.0659,0.2049
0.0659,0.2085
0.0659,0.2085
0.0659,0.2132
0.0659,0.2132
0.0659,0.2132
0.0659,0.2132
0.0659,0.217
0.0659,0.217
0.0659,0.217
0.0659,0.217
0.0659,0.217
0.0659,0.217
0.0754,0.217
0.0754,0.217
0.0754,0.217
0.0754,0.217
0.0754,0.217
0.0819,0.217
0.0819,0.217
0.0819,0.217
0.0819,0.2184
0.0819,0.2228
0.0823,0.2228
0.0823,0.2228
0.0823,0.2268
0.0823,0.2277
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.2397
0.0823,0.24
0.0823,0.24
0.0823,0.24
0.0823,0.24
0.0891,0.24
0.0955,0.24
0.0955,0.24
0.0955,0.2468
0.0955,0.2468
0.0955,0.248
0.0955,0.248
0.0955,0.248
0.0955,0.248
0.0955,0.2592
0.0955,0.2638
0.0955,0.2663
0.0955,0.2685
0.0955,0.2685
0.0955,0.2685
0.0955,0.2713
0.0955,0.2713
0.0955,0.2793
0.0955,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.106,0.2807
0.1082,0.2807
0.1082,0.2807
0.1167,0.2807
0.1167,0.282
0.1167,0.2897
0.1167,0.2903
0.1167,0.2937
0.1167,0.2937
0.1167,0.2937
0.1167,0.2953
0.1167,0.2953
0.1167,0.2993
0.1167,0.3014
0.1177,0.3014
0.1177,0.3014
0.1177,0.3014
0.1177,0.3071
0.1177,0.3138
0.1177,0.3178
0.1188,0.3178
0.1188,0.3178
0.1188,0.3178
0.1188,0.3178
0.1188,0.3178
0.1188,0.3199
0.1188,0.3199
0.1188,0.3199
0.1188,0.3199
0.1215,0.3199
0.1215,0.3199
0.1215,0.3199
0.126,0.3199
0.126,0.3199
0.126,0.3278
0.126,0.3278
0.1261,0.3278
0.1261,0.3278
0.1261,0.3304
0.1261,0.3304
0.1261,0.335
0.1261,0.335
0.1261,0.335
0.1371,0.335
0.1371,0.335
0.1371,0.3355
0.1371,0.3372
0.1371,0.3462
0.1371,0.3509
0.1371,0.352
0.1412,0.352
0.1412,0.3522
0.1412,0.3571
0.1412,0.3571
0.1412,0.3571
0.1412,0.3592
0.1412,0.3592
0.1429,0.3592
0.1429,0.3592
0.1429,0.3592
0.1429,0.3592
0.1455,0.3592
0.1455,0.3592
0.1455,0.3592
0.1455,0.3592
0.147,0.3592
0.147,0.3681
0.147,0.374
0.147,0.374
0.147,0.3789
0.147,0.3789
0.147,0.3789
0.147,0.3834
0.147,0.3834
0.147,0.3834
0.147,0.3858
0.147,0.3858
0.147,0.3909
0.147,0.3909
0.147,0.3909
0.147,0.3909
0.147,0.3921
0.147,0.3921
0.147,0.3921
0.147,0.3921
0.147,0.3921
0.147,0.3921
0.147,0.3949
0.147,0.3949
0.147,0.3949
0.147,0.3949
0.147,0.3951
0.1474,0.3951
0.1474,0.3951
0.1589,0.3951
0.1589,0.4078
0.1589,0.4078
0.1613,0.4078
0.1613,0.4078
0.1613,0.4078
0.1613,0.4078
0.1613,0.4078
0.1613,0.4161
0.1613,0.4168
0.1615,0.4168
0.1615,0.4168
0.1615,0.4252
0.1615,0.4252
0.1615,0.4252
0.1615,0.4252
0.1615,0.4252
0.1615,0.4296
0.1697,0.4296
0.1697,0.4304
0.1697,0.4304
0.1728,0.4304
0.1796,0.4304
0.1796,0.4316
0.1819,0.4316
0.1866,0.4316
0.1866,0.4316
0.1871,0.4316
0.1911,0.4316
0.1911,0.4316
0.1911,0.4316
0.1911,0.4357
0.1918,0.4357
0.1918,0.4357
0.1918,0.4357
0.1918,0.4357
0.1918,0.4409
0.1918,0.4409
0.1918,0.4409
0.1918,0.4409
0.1918,0.4409
0.1918,0.4409
0.1918,0.4409
0.1918,0.4414
0.1918,0.4414
0.2012,0.4414
0.2012,0.4439
0.2012,0.4439
0.2012,0.4456
0.2012,0.4456
0.2012,0.4456
0.2012,0.4456
0.2012,0.4456
0.2012,0.4456
