omegaH,omegaS
0.001,0.001
0.001,0.0041
0.0109,0.0041
0.0109,0.0086
0.0109,0.01
0.0109,0.0179
0.0109,0.0179
0.0109,0.0179
0.0185,0.0179
0.0185,0.0179
0.0185,0.0179
0.0185,0.0179
0.0185,0.0179
0.0244,0.0179
0.0272,0.0179
0.0272,0.0196
0.0272,0.0209
0.0272,0.0209
0.0272,0.0214
0.0272,0.0305
0.0272,0.0373
0.0272,0.0373
0.0272,0.0373
0.0272,0.0426
0.0272,0.0426
0.0272,0.0474
0.0272,0.0474
0.0272,0.0511
0.0272,0.0511
0.0272,0.0555
0.0272,0.0555
0.0272,0.0626
0.0344,0.0626
0.0344,0.0626
0.0344,0.0626
0.0344,0.0626
0.035,0.0626
0.0374,0.0626
0.0374,0.0626
0.0374,0.0626
0.0374,0.0626
0.0374,0.0626
0.0374,0.0626
0.0374,0.0631
0.0374,0.0631
0.0374,0.0634
0.0374,0.0634
0.0374,0.0634
0.0374,0.0634
0.0374,0.0648
0.0374,0.0648
0.0374,0.0679
0.0374,0.0679
0.0374,0.0679
0.0374,0.0727
0.0407,0.0727
0.0407,0.0784
0.0407,0.085
0.0407,0.0923
0.0407,0.1017
0.0407,0.1017
0.0407,0.1017
0.0407,0.1017
0.0407,0.1029
0.0407,0.1039
0.0407,0.1039
0.0407,0.1039
0.0407,0.1039
0.0407,0.1039
0.0407,0.1085
0.0407,0.1085
0.0438,0.1085
0.0438,0.1085
0.0438,0.1085
0.0438,0.1131
0.0461,0.1131
0.0461,0.1131
0.0461,0.1131
0.0497,0.1131
0.0497,0.1131
0.0583,0.1131
0.0583,0.1131
0.0583,0.1131
0.0583,0.1131
0.0641,0.1131
0.0641,0.1131
0.0641,0.1131
0.0641,0.1131
0.0641,0.1131
0.0641,0.114
0.0641,0.114
0.068,0.114
0.068,0.114
0.068,0.114
0.0795,0.114
0.0795,0.114
0.0795,0.1179
0.0795,0.1208
0.0834,0.1208
0.0834,0.1208
0.0834,0.1299
0.0834,0.1299
0.0834,0.1299
0.0923,0.1299
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.137
0.0923,0.1418
0.0925,0.1418
0.0925,0.1418
0.0925,0.1491
0.0971,0.1491
0.1028,0.1491
0.1086,0.1491
0.1086,0.1491
0.1086,0.1491
0.1086,0.1539
0.1086,0.1571
0.1086,0.1571
0.1149,0.1571
0.1149,0.1571
0.1179,0.1571
0.1179,0.1571
0.1179,0.1571
0.1243,0.1571
0.1243,0.1601
0.1243,0.1699
0.1243,0.1699
0.1243,0.1699
0.1243,0.1716
0.1243,0.1716
0.1243,0.1716
0.1243,0.177
0.1243,0.18
0.1243,0.18
0.1243,0.1826
0.1243,0.1847
0.1243,0.1847
0.1243,0.1921
0.1243,0.2024
0.1243,0.2084
0.1243,0.214
0.1243,0.214
0.1243,0.2145
0.1243,0.2145
0.1243,0.2145
0.1243,0.2283
0.1243,0.2333
0.1298,0.2333
0.1298,0.2333
0.1298,0.2333
0.1298,0.2333
0.1298,0.2333
0.1298,0.2395
0.138,0.2395
0.138,0.2395
0.138,0.2408
0.138,0.2458
0.138,0.2513
0.138,0.2576
0.138,0.2576
0.138,0.2576
0.138,0.2576
0.138,0.2576
0.138,0.2623
0.1436,0.2623
0.1436,0.2646
0.1436,0.2646
0.1436,0.2646
0.1436,0.268
0.1436,0.268
0.1436,0.2827
0.1436,0.2827
0.1436,0.2827
0.1452,0.2827
0.1452,0.2827
0.1452,0.2827
0.1452,0.288
0.1452,0.288
0.1475,0.288
0.1475,0.288
0.1475,0.2896
0.1475,0.2951
0.1475,0.2951
0.1475,0.2951
0.1475,0.3012
0.1475,0.3012
0.1475,0.3042
0.1475,0.3042
0.1491,0.3042
0.1491,0.3042
0.1491,0.305
0.1491,0.3053
0.1491,0.3074
0.1534,0.3074
0.1534,0.3074
0.1534,0.3114
0.1534,0.3114
0.1534,0.314
0.1534,0.314
0.1534,0.3225
0.1538,0.3225
0.1538,0.3235
0.1538,0.3266
0.1538,0.3286
0.1538,0.3286
0.1538,0.3307
0.1538,0.3307
0.1538,0.3307
0.1538,0.3307
0.1567,0.3307
0.1567,0.3353
0.1567,0.3353
0.1613,0.3353
0.1613,0.3353
0.1613,0.3373
0.1613,0.3451
0.1613,0.3488
0.1613,0.3488
0.1673,0.3488
0.1673,0.3488
0.17,0.3488
0.17,0.3515
0.17,0.3537
0.17,0.3537
0.17,0.3574
0.17,0.3574
0.17,0.3574
0.17,0.3591
0.17,0.3657
0.17,0.376
0.1742,0.376
0.1742,0.376
0.175,0.376
0.1804,0.376
0.1805,0.376
0.1805,0.3795
0.1805,0.3795
0.1805,0.3881
0.1805,0.3963
0.1889,0.3963
0.1889,0.3963
0.1889,0.3963
0.1889,0.3963
0.1889,0.3963
0.1889,0.4013
0.1889,0.4013
0.1889,0.4013
0.1889,0.4023
0.1889,0.4062
0.1889,0.4062
0.1889,0.4062
0.1947,0.4062
0.1947,0.4062
0.1947,0.4062
0.2012,0.4062
0.2012,0.4062
0.2012,0.4145
0.2012,0.4157
0.2013,0.4157
0.2013,0.4157
0.2013,0.4225
0.2013,0.4225
0.2038,0.4225
0.2038,0.4225
0.2038,0.4225
0.2038,0.4297
0.2038,0.4364
0.2044,0.4364
0.2044,0.4364
0.2044,0.4416
0.2111,0.4416
0.2111,0.4452
0.2111,0.4452
0.2111,0.448
0.2111,0.448
0.2111,0.4514
0.2111,0.4619
0.2111,0.4619
0.2111,0.4619
0.2111,0.4619
0.2111,0.4669
0.2111,0.4733
0.2111,0.4753
0.2131,0.4753
0.2131,0.4753
0.2131,0.4753
0.2152,0.4753
0.2152,0.4753
0.2178,0.4753
0.2273,0.4753
0.2273,0.4753
0.2273,0.4803
0.2273,0.4833
0.2273,0.4867
0.2273,0.4867
0.2275,0.4867
0.2275,0.4867
0.2275,0.4867
0.2275,0.5016
0.2341,0.5016
0.2341,0.5016
0.2372,0.5016
0.2372,0.5016
0.2372,0.5016
0.2453,0.5016
0.2453,0.51
0.2457,0.51
0.2457,0.51
0.2457,0.51
0.2457,0.51
0.2457,0.51
0.2457,0.51
0.2457,0.5165
0.2457,0.5166
0.2457,0.5211
0.2457,0.5211
0.2457,0.5211
0.2457,0.5238
0.2457,0.5277
0.2515,0.5277
0.2515,0.5333
0.2515,0.5333
0.2515,0.537
0.2567,0.537
0.2567,0.5389
0.2567,0.5389
0.2567,0.54
0.2567,0.54
0.2567,0.5424
0.2567,0.5424
0.2567,0.5424
0.2609,0.5424
0.2609,0.5424
0.2609,0.5478
0.2609,0.5478
0.2609,0.5525
0.2609,0.5642
0.2609,0.5708
0.2609,0.5751
0.2609,0.5783
0.2609,0.5783
0.2609,0.58
0.2609,0.5825
0.2609,0.5871
0.2609,0.5924
0.2609,0.5924
0.2609,0.5924
0.2609,0.5939
0.2667,0.5939
0.2672,0.5939
0.2735,0.5939
0.2735,0.5939
0.2735,0.5939
0.2763,0.5939
0.2763,0.5939
0.2763,0.5939
0.2763,0.596
0.2802,0.596
0.2802,0.596
0.2802,0.6009
0.2802,0.6071
0.2802,0.6113
0.2834,0.6113
0.2834,0.6113
0.2834,0.6113
0.2834,0.616
0.2834,0.6208
0.2834,0.6229
0.2834,0.6229
0.2834,0.6229
0.2834,0.6229
0.2834,0.6282
0.2919,0.6282
0.2919,0.6282
0.2919,0.6375
0.2919,0.6473
0.2919,0.6473
0.2919,0.652
0.2973,0.652
0.2973,0.6528
0.2973,0.6528
0.2973,0.6587
0.2973,0.6587
0.3049,0.6587
0.3049,0.6595
0.3049,0.6595
0.3049,0.6595
0.3049,0.6595
0.3049,0.6595
0.3049,0.6595
0.3049,0.6595
0.3049,0.6701
0.3049,0.6701
0.3049,0.6701
0.3049,0.6701
0.3049,0.6701
0.3049,0.6763
0.3049,0.679
0.3049,0.679
0.3052,0.679
0.3052,0.6917
0.3075,0.6917
0.3075,0.6917
0.3075,0.6917
0.3075,0.697
0.3075,0.7015
0.3103,0.7015
0.3103,0.7015
0.3103,0.7015
0.3103,0.7015
0.3103,0.7015
0.3103,0.7015
0.3103,0.7023
0.3103,0.7023
0.3103,0.7023
0.3103,0.7023
0.3103,0.7054
0.3103,0.7054
0.3103,0.7054
0.3103,0.7075
0.3103,0.7075
0.3103,0.7075
0.3103,0.7075
0.3103,0.7113
0.3103,0.7113
0.3103,0.7117
0.3103,0.7187
0.3103,0.7216
0.3103,0.7279
0.3103,0.7281
0.3103,0.7293
0.3103,0.7295
0.3103,0.731
0.3103,0.7345
0.3103,0.7345
0.3103,0.7345
0.3117,0.7345
0.3117,0.7388
0.3117,0.7388
0.3117,0.7388
0.3117,0.7388
0.3117,0.7388
0.3117,0.7393
0.3117,0.7393
0.3117,0.7393
0.3137,0.7393
0.3137,0.7402
0.3137,0.7402
0.3137,0.7402
0.319,0.7402
0.3216,0.7402
0.3216,0.7402
0.3216,0.7402
0.3216,0.7402
0.3216,0.7402
0.3216,0.7402
0.3216,0.7404
0.3216,0.7404
0.3216,0.7427
0.3221,0.7427
0.3221,0.7427
0.3221,0.7427
0.3221,0.7427
0.3221,0.7427
0.3221,0.7427
0.3221,0.7427
0.3255,0.7427
0.3255,0.7443
0.3255,0.7443
0.3255,0.7443
0.3255,0.7465
0.3255,0.7491
0.3255,0.7491
0.3255,0.7491
0.3255,0.7491
0.3255,0.7491
0.3255,0.7499
0.3255,0.7499
0.3255,0.7504
0.3255,0.7504
0.3255,0.7504
0.3255,0.7504
0.3255,0.7504
0.3301,0.7504
0.3301,0.7536
0.3301,0.7536
0.3301,0.7536
0.3301,0.7579
0.3301,0.7615
0.3301,0.7615
0.3337,0.7615
0.3357,0.7615
0.3357,0.7615
0.3392,0.7615
0.3392,0.7615
0.3392,0.7706
0.3392,0.7706
0.3392,0.7706
0.3437,0.7706
0.3437,0.7706
0.3447,0.7706
0.3447,0.7706
0.3447,0.7713
0.3447,0.7713
0.3447,0.7713
0.3447,0.7808
0.3447,0.7808
0.3447,0.7808
0.3484,0.7808
0.3484,0.7808
0.3484,0.7813
0.3484,0.7813
0.3484,0.7899
0.3484,0.7902
0.35,0.7902
0.35,0.7902
0.35,0.7914
0.35,0.7979
0.3545,0.7979
0.3545,0.7979
0.3545,0.7999
0.3545,0.7999
0.3545,0.7999
0.3545,0.8052
0.3545,0.8082
0.3545,0.8082
0.3545,0.8089
0.3545,0.8089
0.3545,0.8089
0.3589,0.8089
0.3589,0.8089
0.3589,0.8179
0.3589,0.8179
0.3589,0.8236
0.3589,0.8261
0.3626,0.8261
0.3626,0.8268
0.3626,0.8278
0.3626,0.8312
0.3626,0.8312
0.3682,0.8312
0.3789,0.8312
0.3843,0.8312
0.3875,0.8312
0.3875,0.8312
0.3875,0.835
0.388,0.835
0.388,0.8377
0.3971,0.8377
0.3971,0.8377
0.4053,0.8377
0.4053,0.8377
0.4053,0.84
0.4053,0.84
0.407,0.84
0.407,0.84
0.407,0.847
0.407,0.8571
0.407,0.8571
0.407,0.8604
0.407,0.8628
0.407,0.8628
0.4085,0.8628
0.4085,0.8628
0.4085,0.8638
0.4085,0.8638
0.41,0.8638
0.41,0.8705
0.41,0.8705
0.41,0.8716
0.41,0.8716
0.41,0.8716
0.41,0.8716
0.41,0.8732
0.41,0.8732
0.41,0.8732
0.4129,0.8732
0.4129,0.8732
0.4129,0.8732
0.4129,0.8732
0.4129,0.8732
0.4129,0.8732
0.4129,0.8761
0.4129,0.8761
0.4129,0.8769
0.4129,0.8769
0.4129,0.8802
0.4129,0.8802
0.4129,0.8832
0.4155,0.8832
0.4155,0.8872
0.4155,0.8913
0.4155,0.8913
0.4155,0.8913
0.4155,0.8913
0.4155,0.8913
0.4155,0.8913
0.4226,0.8913
0.4226,0.8962
0.4226,0.8962
0.4237,0.8962
0.4237,0.8962
0.4237,0.9015
0.4237,0.904
0.4271,0.904
0.4271,0.9095
0.4271,0.9153
0.4271,0.9154
0.4271,0.9154
0.4363,0.9154
0.4363,0.9154
0.4363,0.9181
0.4363,0.9181
0.4363,0.9201
0.4363,0.9201
0.4363,0.9287
0.4363,0.9308
0.4363,0.9308
0.4363,0.9361
0.4363,0.9361
0.4363,0.9361
0.4406,0.9361
0.4406,0.9506
0.4406,0.9506
0.4406,0.9543
0.4406,0.9543
0.4406,0.9543
0.4408,0.9543
0.4408,0.9543
0.4408,0.9543
0.4408,0.9543
0.4408,0.956
0.4408,0.9584
0.4408,0.9585
0.4408,0.9585
0.4421,0.9585
0.4421,0.9644
0.4421,0.9744
0.4421,0.9744
0.4421,0.9745
0.4421,0.9745
0.4421,0.983
0.4421,0.983
0.4421,0.9874
0.4421,0.9874
0.4421,0.9949
0.4421,0.9949
0.4421,0.997
0.4421,0.997
0.4421,0.9972
0.4421,0.9989
0.4421,0.9989
0.4421,1.0
0.4478,1.0
0.4478,1.0
0.4478,1.0
0.4478,1.0
0.4478,1.0
0.4478,1.0
0.4502,1.0
0.4543,1.0
0.4543,1.0
0.4543,1.0
0.4543,1.0
0.456,1.0
0.4649,1.0
0.4682,1.0
0.4783,1.0
0.4869,1.0
0.4869,1.0
0.4923,1.0
0.4923,1.0
0.4943,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5018,1.0
0.5092,1.0
0.5201,1.0
0.5201,1.0
0.5201,1.0
0.5201,1.0
0.5263,1.0
0.5263,1.0
0.5263,1.0
0.5263,1.0
0.5263,1.0
0.5263,1.0
0.5309,1.0
0.5309,1.0
0.5309,1.0
0.5399,1.0
0.5399,1.0
0.551,1.0
0.5621,1.0
0.5621,1.0
0.5665,1.0
0.5665,1.0
0.5712,1.0
0.5789,1.0
0.5789,1.0
0.5789,1.0
0.5789,1.0
0.5841,1.0
0.5841,1.0
0.5841,1.0
0.5841,1.0
0.5841,1.0
0.5881,1.0
0.5881,1.0
0.5881,1.0
0.5949,1.0
0.5949,1.0
0.5949,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6065,1.0
0.6139,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6224,1.0
0.6297,1.0
0.6297,1.0
0.6297,1.0
0.6297,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.636,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.643,1.0
0.6485,1.0
0.6485,1.0
0.6485,1.0
0.6554,1.0
0.6554,1.0
