omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.0141
0.001,0.0141
0.001,0.0141
0.001,0.0141
0.001,0.0186
0.001,0.0196
0.001,0.0196
0.001,0.0196
0.001,0.0196
0.001,0.0215
0.001,0.0215
0.001,0.0253
0.001,0.0253
0.001,0.0253
0.001,0.0253
0.001,0.0253
0.001,0.0253
0.001,0.0271
0.001,0.0271
0.001,0.0271
0.001,0.0396
0.001,0.0396
0.001,0.0402
0.0011,0.0402
0.0011,0.0428
0.0011,0.0444
0.0011,0.0472
0.0107,0.0472
0.0107,0.0472
0.0107,0.0472
0.0121,0.0472
0.0175,0.0472
0.0175,0.0472
0.0175,0.0472
0.0175,0.0472
0.0197,0.0472
0.0197,0.0479
0.0266,0.0479
0.0266,0.0508
0.0266,0.0508
0.0266,0.0508
0.0266,0.0579
0.0271,0.0579
0.0271,0.0579
0.0271,0.063
0.0271,0.063
0.0284,0.063
0.0284,0.0669
0.0284,0.0669
0.0284,0.0669
0.0284,0.0669
0.036,0.0669
0.036,0.0669
0.036,0.0697
0.0422,0.0697
0.0422,0.0697
0.0534,0.0697
0.0562,0.0697
0.0562,0.076
0.0562,0.079
0.0562,0.0791
0.0562,0.0807
0.0562,0.0807
0.0562,0.0807
0.0562,0.0807
0.0562,0.0859
0.0562,0.0859
0.0566,0.0859
0.0566,0.0859
0.0566,0.0907
0.0591,0.0907
0.0591,0.0907
0.0591,0.0907
0.064,0.0907
0.064,0.1004
0.064,0.1028
0.064,0.1073
0.064,0.1123
0.064,0.1123
0.064,0.1123
0.0659,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.1123
0.0663,0.114
0.0663,0.1162
0.0669,0.1162
0.0669,0.1167
0.0697,0.1167
0.0697,0.1167
0.0697,0.1167
0.0707,0.1167
0.0707,0.1211
0.0721,0.1211
0.0721,0.1211
0.0721,0.1258
0.0752,0.1258
0.0752,0.1258
0.0752,0.1258
0.0752,0.1258
0.0752,0.1258
0.0854,0.1258
0.0854,0.1258
0.0854,0.1258
0.0854,0.126
0.0854,0.126
0.0854,0.1273
0.0854,0.1273
0.0854,0.1273
0.0854,0.1304
0.0898,0.1304
0.0898,0.134
0.0965,0.134
0.0965,0.1358
0.0965,0.1359
0.0965,0.1359
0.0965,0.1359
0.0965,0.14
0.0965,0.14
0.0965,0.1422
0.0965,0.1422
0.0965,0.145
0.0965,0.1502
0.0992,0.1502
0.0992,0.1502
0.1018,0.1502
0.1018,0.1502
0.1018,0.1502
0.1018,0.1559
0.1018,0.1559
0.1018,0.1677
0.1018,0.1755
0.1018,0.1784
0.1018,0.1784
0.1036,0.1784
0.1036,0.1877
0.1036,0.1883
0.1036,0.1883
0.1036,0.1883
0.1036,0.1883
0.1036,0.1883
0.1036,0.1937
0.1036,0.1937
0.1036,0.1937
0.1055,0.1937
0.1055,0.1977
0.1055,0.1977
0.1055,0.1977
0.1055,0.1977
0.1055,0.1977
0.1055,0.2031
0.1055,0.2031
0.1096,0.2031
0.1096,0.2104
0.1096,0.2104
0.1096,0.2104
0.1096,0.2189
0.1096,0.2189
0.1096,0.2189
0.1152,0.2189
0.1175,0.2189
0.1175,0.2189
0.1175,0.2189
0.1175,0.2189
0.1253,0.2189
0.1253,0.2189
0.1253,0.2238
0.1253,0.2299
0.1253,0.2301
0.1253,0.2301
0.1253,0.2301
0.1253,0.2301
0.1288,0.2301
0.1288,0.2301
0.1288,0.2338
0.1288,0.2338
0.1288,0.2338
0.1288,0.2401
0.1288,0.2401
0.1288,0.2401
0.1371,0.2401
0.1371,0.2401
0.1371,0.2467
0.1371,0.2467
0.1371,0.2467
0.1371,0.2524
0.1371,0.2524
0.1371,0.2608
0.1371,0.2608
0.1371,0.2608
0.1371,0.2664
0.1371,0.2664
0.1371,0.2679
0.1371,0.2692
0.1422,0.2692
0.1422,0.2719
0.1431,0.2719
0.1431,0.2719
0.1431,0.2719
0.1451,0.2719
0.1451,0.2719
0.1451,0.2719
0.1451,0.2719
0.1451,0.2719
0.1451,0.2719
0.1451,0.2772
0.1451,0.2772
0.1451,0.2772
0.1548,0.2772
0.1548,0.2866
0.1548,0.2866
0.1548,0.2866
0.1548,0.2866
0.1548,0.2866
0.1585,0.2866
0.1585,0.2866
0.1585,0.2866
0.1585,0.2866
0.1585,0.2915
0.1585,0.2915
0.1585,0.2915
0.1585,0.2953
0.1585,0.2953
0.1585,0.2953
0.1595,0.2953
0.1595,0.2953
0.1595,0.2953
0.1595,0.2953
0.1605,0.2953
0.1605,0.2953
0.1605,0.3037
0.1605,0.3037
0.1605,0.3037
0.1605,0.3037
0.1605,0.3043
0.1605,0.3043
0.1605,0.3044
0.1676,0.3044
0.1718,0.3044
0.1718,0.3044
0.1718,0.3044
0.1771,0.3044
0.1771,0.3116
0.1771,0.3205
0.1843,0.3205
0.1843,0.3256
0.1843,0.3256
0.1848,0.3256
0.1848,0.3256
0.1848,0.3348
0.1848,0.3348
0.1848,0.3348
0.1848,0.3438
0.1868,0.3438
0.1868,0.3457
0.1882,0.3457
0.1977,0.3457
0.1977,0.3457
0.2065,0.3457
0.2065,0.3493
0.2065,0.3493
0.2065,0.3493
0.2065,0.3493
0.2065,0.3523
0.2065,0.3523
0.2065,0.3523
0.2065,0.3553
0.2065,0.3553
0.2065,0.3612
0.2065,0.3702
0.2065,0.3702
0.2065,0.3702
0.2065,0.3702
0.2065,0.3746
0.2065,0.3834
0.2065,0.3834
0.215,0.3834
0.215,0.3873
0.215,0.3892
0.215,0.3897
0.2227,0.3897
0.2227,0.3897
0.2334,0.3897
0.2334,0.3897
0.2334,0.3909
0.2334,0.3909
0.2334,0.3909
0.2477,0.3909
0.2477,0.3948
0.2505,0.3948
0.2505,0.3948
0.2505,0.3948
0.2505,0.3948
0.2505,0.3948
0.2505,0.3948
0.2505,0.3978
0.2505,0.4069
0.2505,0.4069
0.2672,0.4069
0.2708,0.4069
0.2708,0.4106
0.2708,0.4106
0.2708,0.4106
0.2708,0.4106
0.2708,0.4139
0.2708,0.4139
0.2708,0.4139
0.2708,0.4139
0.2757,0.4139
0.2757,0.4157
0.2757,0.4157
0.2757,0.4157
0.2757,0.4157
0.2757,0.4183
0.2757,0.4183
0.2757,0.4202
0.2769,0.4202
0.2769,0.4208
0.2769,0.4208
0.2769,0.4208
0.2769,0.4208
0.2769,0.4222
0.2769,0.4222
0.2769,0.4222
0.2769,0.4222
0.2769,0.4318
0.2787,0.4318
0.2812,0.4318
0.2812,0.4338
