omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.004,0.001
0.004,0.001
0.004,0.001
0.004,0.0059
0.004,0.008
0.0041,0.008
0.0041,0.008
0.0041,0.008
0.0041,0.0164
0.0041,0.0164
0.0041,0.0164
0.0065,0.0164
0.0065,0.0179
0.013,0.0179
0.013,0.0198
0.013,0.0198
0.013,0.0198
0.013,0.0198
0.013,0.0206
0.0151,0.0206
0.0158,0.0206
0.0158,0.0206
0.0164,0.0206
0.0241,0.0206
0.0241,0.0206
0.0241,0.0274
0.0241,0.0307
0.0241,0.0393
0.0247,0.0393
0.0333,0.0393
0.0333,0.0448
0.0333,0.0461
0.0333,0.0475
0.0333,0.0475
0.0333,0.054
0.0333,0.054
0.0333,0.054
0.0333,0.054
0.0333,0.054
0.0333,0.0546
0.0333,0.0546
0.0333,0.0546
0.0333,0.0604
0.0338,0.0604
0.0338,0.0645
0.0338,0.0645
0.0338,0.0646
0.0338,0.0646
0.0338,0.0646
0.0338,0.0721
0.0338,0.0721
0.0373,0.0721
0.0399,0.0721
0.0399,0.0721
0.0399,0.0745
0.0399,0.0745
0.0399,0.0745
0.0399,0.0807
0.0399,0.0812
0.0399,0.0812
0.0399,0.0824
0.0399,0.0824
0.0399,0.0893
0.0442,0.0893
0.0449,0.0893
0.0449,0.0934
0.0449,0.0934
0.0464,0.0934
0.0464,0.0966
0.0464,0.0966
0.0464,0.0966
0.0464,0.0966
0.0491,0.0966
0.0491,0.0966
0.0491,0.1019
0.0491,0.1041
0.0491,0.1041
0.0491,0.1044
0.053,0.1044
0.053,0.1044
0.053,0.1048
0.053,0.1048
0.053,0.1048
0.053,0.1048
0.053,0.1048
0.053,0.1048
0.0561,0.1048
0.0561,0.1048
0.0561,0.1048
0.0561,0.1058
0.0561,0.1058
0.0561,0.1062
0.0561,0.1082
0.0561,0.1082
0.063,0.1082
0.063,0.1102
0.063,0.1102
0.075,0.1102
0.075,0.1102
0.075,0.1102
0.075,0.1102
0.075,0.1208
0.075,0.1208
0.075,0.1238
0.075,0.1238
0.0759,0.1238
0.0759,0.127
0.0759,0.1338
0.0759,0.1338
0.0759,0.134
0.0759,0.134
0.0759,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.134
0.0799,0.1401
0.0799,0.1401
0.0799,0.1401
0.0799,0.1401
0.0799,0.1401
0.0822,0.1401
0.0822,0.1445
0.0822,0.1445
0.0822,0.1466
0.0822,0.1536
0.0838,0.1536
0.0838,0.1536
0.0838,0.1594
0.0838,0.1594
0.0838,0.1594
0.0838,0.1594
0.0838,0.1594
0.0838,0.1659
0.0838,0.1659
0.0864,0.1659
0.0864,0.1659
0.092,0.1659
0.0959,0.1659
0.0959,0.1659
0.0959,0.1705
0.0965,0.1705
0.0965,0.1705
0.0965,0.1705
0.0965,0.1727
0.1099,0.1727
0.1099,0.1847
0.1099,0.1847
0.1099,0.1847
0.1099,0.1847
0.1126,0.1847
0.1126,0.1993
0.1126,0.1993
0.1126,0.1993
0.1126,0.1993
0.1186,0.1993
0.1186,0.2036
0.1186,0.2089
0.1186,0.2103
0.1186,0.2116
0.1186,0.2116
0.1186,0.2116
0.1186,0.2116
0.1186,0.2116
0.1217,0.2116
0.1217,0.2124
0.1217,0.2124
0.1217,0.2124
0.1217,0.2157
0.1217,0.2219
0.1217,0.2219
0.1217,0.2293
0.1217,0.2294
0.1217,0.2332
0.1217,0.2344
0.1217,0.2344
0.1262,0.2344
0.1262,0.2418
0.1262,0.2418
0.1321,0.2418
0.1321,0.2424
0.1321,0.2437
0.1321,0.2437
0.1321,0.2437
0.1321,0.2474
0.1321,0.2474
0.1325,0.2474
0.1325,0.2474
0.1325,0.2474
0.1325,0.2474
0.1325,0.2474
0.1325,0.2474
0.1335,0.2474
0.1335,0.2498
0.1335,0.2551
0.1335,0.2576
0.1335,0.2587
0.1335,0.2587
0.1335,0.2587
0.1335,0.2615
0.1445,0.2615
0.1445,0.2625
0.1445,0.2625
0.1499,0.2625
0.1523,0.2625
0.1523,0.2625
0.1598,0.2625
0.1598,0.2625
0.1598,0.2625
0.1598,0.2625
0.1687,0.2625
0.1687,0.2625
0.1687,0.2638
0.1687,0.2638
0.1687,0.2644
0.1687,0.2644
0.1687,0.2644
0.1711,0.2644
0.1733,0.2644
0.1733,0.2644
0.1733,0.265
0.1733,0.268
0.1733,0.268
0.1733,0.268
0.1733,0.27
0.1733,0.2748
0.1733,0.2825
0.1781,0.2825
0.1781,0.2832
0.1781,0.2849
0.1781,0.2849
0.1781,0.2882
0.1781,0.2917
0.1781,0.2917
0.1781,0.2963
0.1808,0.2963
0.1808,0.2963
0.1839,0.2963
0.1839,0.2963
0.1839,0.3008
0.1892,0.3008
0.1957,0.3008
0.1957,0.3008
0.1957,0.3015
0.1957,0.3015
0.1957,0.3018
0.1957,0.3018
0.1957,0.3018
0.1957,0.3018
0.1957,0.3018
0.1957,0.3069
0.1957,0.3069
0.1979,0.3069
0.1979,0.3125
0.1979,0.3125
0.1979,0.3125
0.1979,0.3125
0.1979,0.3125
0.1979,0.3125
0.1979,0.3243
0.1979,0.3288
0.1979,0.3288
0.1979,0.3307
0.1979,0.3307
0.1979,0.3307
0.1979,0.3307
0.1979,0.3307
0.1979,0.3307
0.1979,0.3307
0.1981,0.3307
0.1981,0.3307
0.1981,0.3307
0.1981,0.3307
0.1981,0.3307
0.1981,0.3336
0.1981,0.3392
0.1981,0.3392
0.2009,0.3392
0.2082,0.3392
0.2082,0.3392
0.2082,0.3406
0.2082,0.3435
0.2082,0.3435
0.2082,0.3515
0.2082,0.3515
0.2082,0.3573
0.2082,0.3592
0.2082,0.3659
0.2082,0.3659
0.2082,0.3659
0.2082,0.3659
0.211,0.3659
0.211,0.3659
0.2127,0.3659
0.2127,0.3659
0.2246,0.3659
0.2246,0.3659
0.2246,0.3659
0.2246,0.371
0.2246,0.371
0.2246,0.377
0.2271,0.377
0.2271,0.377
0.2309,0.377
0.2322,0.377
0.2322,0.3797
0.2322,0.3797
0.2322,0.3885
0.2346,0.3885
0.2374,0.3885
0.2374,0.3885
0.2374,0.3885
0.2374,0.3885
0.2374,0.3953
0.2374,0.3979
0.2374,0.3979
0.2374,0.3979
0.245,0.3979
0.245,0.3979
0.2488,0.3979
0.2514,0.3979
0.2514,0.3979
0.2514,0.3979
0.2514,0.3979
0.2514,0.3979
0.2514,0.3985
0.2525,0.3985
0.2548,0.3985
0.2548,0.4007
0.259,0.4007
0.259,0.4012
0.259,0.4061
0.2639,0.4061
0.2639,0.4061
0.2639,0.4061
0.2639,0.4061
0.2639,0.4061
