omegaH,omegaS
0.001,0.001
0.001,0.0154
0.001,0.0154
0.001,0.0154
0.001,0.0163
0.001,0.0163
0.001,0.0244
0.001,0.0244
0.001,0.025
0.001,0.031
0.001,0.031
0.001,0.031
0.0037,0.031
0.0037,0.031
0.0037,0.0402
0.0037,0.0402
0.0037,0.0402
0.0037,0.0402
0.0037,0.042
0.0037,0.0446
0.0039,0.0446
0.0039,0.0446
0.0039,0.0452
0.0039,0.0452
0.0039,0.0514
0.0039,0.0536
0.0039,0.0542
0.0039,0.0542
0.0069,0.0542
0.0069,0.0555
0.0069,0.0555
0.0069,0.0555
0.0069,0.0555
0.0069,0.0555
0.0069,0.0555
0.0069,0.0555
0.017,0.0555
0.0175,0.0555
0.0175,0.0555
0.0186,0.0555
0.0186,0.0555
0.0188,0.0555
0.0213,0.0555
0.0213,0.0565
0.0213,0.0565
0.0213,0.0611
0.0213,0.0673
0.0213,0.0673
0.0213,0.07
0.0213,0.07
0.0213,0.07
0.0213,0.07
0.0213,0.07
0.0213,0.0774
0.0213,0.0782
0.0226,0.0782
0.0226,0.0782
0.0226,0.0843
0.0226,0.0843
0.0226,0.0883
0.0226,0.0883
0.0226,0.0883
0.0269,0.0883
0.0269,0.0902
0.0269,0.0902
0.0269,0.0902
0.0269,0.0902
0.0269,0.0902
0.0269,0.0902
0.0269,0.0958
0.0269,0.1032
0.0269,0.1032
0.0269,0.1032
0.0269,0.1032
0.0269,0.1074
0.0309,0.1074
0.0309,0.1074
0.0309,0.1082
0.0309,0.1082
0.0309,0.1082
0.0309,0.1082
0.0309,0.1082
0.0309,0.1082
0.0309,0.1082
0.0468,0.1082
0.0501,0.1082
0.0501,0.1082
0.0501,0.1082
0.0501,0.1096
0.057,0.1096
0.057,0.1096
0.057,0.1096
0.0657,0.1096
0.0723,0.1096
0.0723,0.1121
0.0723,0.1121
0.0723,0.1121
0.0723,0.1121
0.0723,0.1121
0.0818,0.1121
0.0874,0.1121
0.0874,0.1132
0.0874,0.1136
0.0874,0.1136
0.0874,0.1177
0.0874,0.118
0.0874,0.1241
0.0874,0.1245
0.0879,0.1245
0.0879,0.1245
0.0879,0.1245
0.0879,0.1293
0.0879,0.1293
0.0879,0.1394
0.0879,0.1428
0.0879,0.1428
0.0879,0.145
0.0919,0.145
0.0919,0.145
0.1029,0.145
0.104,0.145
0.104,0.1489
0.104,0.1524
0.104,0.1524
0.104,0.158
0.104,0.1585
0.1103,0.1585
0.1103,0.1662
0.1103,0.169
0.1103,0.1765
0.1103,0.1765
0.1103,0.1765
0.1103,0.1765
0.1103,0.1765
0.1103,0.1822
0.1103,0.1822
0.1103,0.1822
0.1103,0.1822
0.1103,0.1882
0.1126,0.1882
0.1126,0.1882
0.1126,0.1882
0.122,0.1882
0.122,0.1902
0.122,0.1902
0.122,0.1902
0.122,0.1902
0.122,0.1944
0.1259,0.1944
0.1259,0.1944
0.1271,0.1944
0.1271,0.1959
0.1271,0.1959
0.1271,0.1959
0.1271,0.1959
0.1299,0.1959
0.1299,0.199
0.1302,0.199
0.1302,0.2064
0.1313,0.2064
0.1313,0.2064
0.1313,0.2115
0.1313,0.2115
0.1313,0.2115
0.1313,0.2189
0.1313,0.2189
0.1313,0.2192
0.1313,0.2301
0.1313,0.2301
0.1313,0.236
0.1313,0.2453
0.1313,0.2478
0.1313,0.2478
0.1313,0.2478
0.1313,0.2478
0.1313,0.2478
0.1313,0.2478
0.1313,0.2482
0.1313,0.2524
0.1313,0.2604
0.1313,0.2604
0.1313,0.2604
0.1313,0.2604
0.1313,0.2604
0.1313,0.267
0.1332,0.267
0.1332,0.267
0.1332,0.267
0.1374,0.267
0.1374,0.267
0.138,0.267
0.138,0.267
0.138,0.2692
0.1425,0.2692
0.1425,0.2692
0.1425,0.2692
0.1425,0.2692
0.1425,0.2692
0.1425,0.2724
0.1425,0.2724
