omegaH,omegaS
0.001,0.001
0.001,0.0076
0.001,0.0076
0.001,0.0244
0.001,0.0244
0.001,0.0253
0.001,0.0351
0.001,0.0351
0.001,0.0478
0.0107,0.0478
0.0107,0.0501
0.0107,0.0508
0.0113,0.0508
0.0113,0.0513
0.015,0.0513
0.015,0.0587
0.015,0.0587
0.015,0.0587
0.015,0.0587
0.015,0.0755
0.015,0.0755
0.015,0.0755
0.015,0.0809
0.0237,0.0809
0.0237,0.0809
0.0237,0.0825
0.0237,0.0825
0.0237,0.0837
0.0237,0.0868
0.0237,0.0868
0.0237,0.0922
0.0237,0.0949
0.0237,0.0949
0.0297,0.0949
0.0297,0.0949
0.0297,0.0949
0.0415,0.0949
0.0511,0.0949
0.0511,0.105
0.0583,0.105
0.0583,0.1109
0.0583,0.1109
0.0583,0.1109
0.0583,0.1109
0.0734,0.1109
0.0734,0.1109
0.0797,0.1109
0.0895,0.1109
0.0895,0.129
0.0895,0.129
0.0895,0.1333
0.0895,0.1333
0.0895,0.1333
0.0895,0.1439
0.0895,0.1439
0.0895,0.1439
0.0895,0.1439
0.0895,0.1439
0.0906,0.1439
0.0906,0.1439
0.0906,0.1439
0.0906,0.1482
0.0906,0.1505
0.0906,0.1505
0.0906,0.1581
0.0906,0.1584
0.0906,0.1584
0.0906,0.1584
0.0906,0.1643
0.0906,0.1643
0.0906,0.1755
0.0906,0.1942
0.0906,0.2006
0.0906,0.2013
0.1079,0.2013
0.1083,0.2013
0.1083,0.2013
0.1083,0.2013
0.1083,0.2013
0.1083,0.2126
0.1083,0.2126
0.1226,0.2126
0.1226,0.2126
0.1226,0.2126
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1226,0.2181
0.1437,0.2181
0.1437,0.2181
0.1437,0.2384
0.1437,0.2384
0.1437,0.2384
0.1437,0.2384
0.1437,0.2486
0.1485,0.2486
0.1589,0.2486
0.1604,0.2486
0.1604,0.2486
0.177,0.2486
0.177,0.2486
0.177,0.2486
0.1788,0.2486
0.1788,0.2486
0.1788,0.2595
0.1788,0.2627
0.1888,0.2627
0.1888,0.2688
0.1891,0.2688
0.1891,0.2688
0.1891,0.2688
0.1891,0.2688
0.1891,0.2894
0.1891,0.2894
0.1992,0.2894
0.2006,0.2894
0.2006,0.2954
0.2006,0.3038
0.2006,0.3038
0.2083,0.3038
0.2177,0.3038
0.2296,0.3038
0.2296,0.3038
0.2296,0.3038
0.2296,0.306
0.2296,0.306
0.233,0.306
0.233,0.306
0.233,0.306
0.233,0.306
0.2472,0.306
0.2472,0.3102
0.2472,0.3252
0.2472,0.3252
0.2472,0.3252
0.2472,0.3252
0.2472,0.3252
0.2504,0.3252
0.2598,0.3252
0.2598,0.3262
0.2598,0.3378
0.2598,0.3378
0.2598,0.3378
0.2598,0.3392
0.2598,0.3583
0.2598,0.3583
0.2598,0.3583
0.2598,0.3707
0.2598,0.3707
0.2598,0.3707
0.2598,0.3902
0.2598,0.3902
0.2598,0.4012
0.2598,0.4012
0.2658,0.4012
0.2658,0.4012
0.2658,0.4021
0.2658,0.4194
0.2658,0.4194
0.2658,0.4194
0.2658,0.4322
0.2658,0.4322
0.2658,0.4543
0.2658,0.4543
0.2658,0.4543
0.2658,0.4543
0.2658,0.4602
0.2658,0.4602
0.2658,0.4602
0.2691,0.4602
0.2691,0.4734
0.2691,0.4772
0.2803,0.4772
0.2805,0.4772
0.2805,0.4776
0.2805,0.4945
0.2805,0.5061
0.2805,0.5061
0.2805,0.5113
0.2805,0.5113
0.2805,0.5113
0.2805,0.5113
0.2805,0.5113
0.288,0.5113
0.288,0.5113
0.288,0.5113
0.288,0.5113
0.288,0.524
0.288,0.524
0.2982,0.524
0.2982,0.524
0.2982,0.524
0.2982,0.524
0.2982,0.5268
0.2982,0.5268
0.31,0.5268
0.31,0.5319
0.31,0.5397
0.31,0.542
0.31,0.542
0.3156,0.542
0.3276,0.542
0.3336,0.542
0.3336,0.542
0.3336,0.542
0.3546,0.542
0.3614,0.542
0.3614,0.542
0.3707,0.542
0.3707,0.542
0.3707,0.5563
0.3707,0.5563
0.3707,0.5563
0.3707,0.5646
0.3707,0.5651
0.3707,0.5651
0.3707,0.5651
0.3707,0.5651
0.3707,0.5651
0.3707,0.5651
0.3861,0.5651
0.3861,0.5651
0.3861,0.5651
0.3861,0.5651
0.3861,0.5651
0.3861,0.5651
0.3861,0.5795
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5847
0.3861,0.5978
0.3861,0.6117
0.3861,0.6128
0.3861,0.6128
0.3861,0.6128
0.3861,0.6133
0.3876,0.6133
0.3876,0.6212
0.3876,0.6212
0.3876,0.6212
0.3876,0.6212
0.3876,0.6222
0.4093,0.6222
0.4093,0.6238
0.4093,0.6238
0.4093,0.6238
0.4093,0.6312
0.4093,0.6312
0.4093,0.6471
0.4181,0.6471
0.4181,0.6471
0.4181,0.6471
0.4181,0.6471
0.4181,0.6616
0.4181,0.6616
0.4181,0.6616
0.4181,0.6749
0.4181,0.6749
0.4181,0.6817
0.4181,0.6817
0.4334,0.6817
0.4334,0.6817
0.4334,0.6817
0.4334,0.6817
0.4334,0.6836
0.4342,0.6836
0.4342,0.6886
0.4342,0.7012
0.4342,0.7012
0.4342,0.7012
0.4361,0.7012
0.4361,0.7129
0.4361,0.7129
0.4361,0.7129
0.4361,0.7129
0.4444,0.7129
0.4444,0.7129
0.4475,0.7129
0.4526,0.7129
0.4526,0.7129
0.4526,0.7129
0.4584,0.7129
0.4584,0.7182
0.4619,0.7182
0.4619,0.7269
0.4619,0.7311
0.4619,0.7311
0.4619,0.7311
0.4619,0.7401
0.4619,0.7401
0.4619,0.7401
0.4694,0.7401
0.4694,0.7401
0.4694,0.7401
0.4715,0.7401
0.4715,0.7435
0.4715,0.7435
0.4715,0.7435
0.4715,0.7585
0.4715,0.7644
0.4715,0.769
0.4858,0.769
0.4881,0.769
0.4984,0.769
0.4984,0.7691
