omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0196,0.001
0.0196,0.001
0.0224,0.001
0.0224,0.0126
0.0224,0.0126
0.0224,0.0138
0.0224,0.0273
0.0281,0.0273
0.0281,0.0273
0.0281,0.0273
0.0281,0.0275
0.0281,0.0275
0.0281,0.0275
0.0281,0.0404
0.0281,0.0404
0.0281,0.0404
0.0281,0.05
0.0345,0.05
0.0345,0.0657
0.0345,0.0657
0.0345,0.0657
0.0345,0.0742
0.0345,0.0917
0.0358,0.0917
0.0358,0.1113
0.0358,0.1206
0.0358,0.1281
0.0358,0.1281
0.0358,0.1281
0.0359,0.1281
0.0359,0.1281
0.0359,0.1389
0.0451,0.1389
0.0451,0.1435
0.0567,0.1435
0.0567,0.1435
0.0597,0.1435
0.0597,0.1478
0.0597,0.1584
0.0597,0.1584
0.0597,0.1809
0.0597,0.1809
0.0597,0.1829
0.0597,0.1829
0.0627,0.1829
0.0627,0.1829
0.0723,0.1829
0.0723,0.1895
0.0723,0.1895
0.0723,0.1895
0.0723,0.1895
0.0723,0.1972
0.0723,0.1972
0.0723,0.1972
0.0723,0.2067
0.0723,0.2067
0.0723,0.2067
0.0723,0.2067
0.0723,0.2166
0.0723,0.2258
0.0723,0.2284
0.0825,0.2284
0.0825,0.2337
0.0825,0.2355
0.096,0.2355
0.096,0.2355
0.096,0.2517
0.096,0.2517
0.096,0.2517
0.096,0.2517
0.096,0.2517
0.1031,0.2517
0.1031,0.2573
0.1031,0.2573
0.1031,0.278
0.1031,0.2817
0.1031,0.2839
0.1031,0.2839
0.1031,0.2879
0.1031,0.2978
0.1031,0.2978
0.1031,0.2978
0.1224,0.2978
0.1224,0.2978
0.1224,0.3086
0.1224,0.3086
0.1224,0.3086
0.1224,0.3086
0.1224,0.3228
0.1224,0.3336
0.1238,0.3336
0.1238,0.3336
0.1238,0.3336
0.1238,0.3336
0.1238,0.3336
0.1238,0.3366
0.1238,0.3366
0.1296,0.3366
0.1296,0.3619
0.1343,0.3619
0.1343,0.3619
0.1343,0.3708
0.1343,0.3708
0.1397,0.3708
0.1397,0.3756
0.1397,0.3756
0.1397,0.3756
0.145,0.3756
0.145,0.3756
0.1535,0.3756
0.1564,0.3756
0.1756,0.3756
0.1756,0.3756
0.1756,0.3824
0.1756,0.397
0.1756,0.397
0.1756,0.4008
0.2038,0.4008
0.2038,0.4082
0.2038,0.4156
0.2038,0.4156
0.2038,0.4424
0.2107,0.4424
0.2107,0.4483
0.2107,0.4565
0.2107,0.4565
0.2107,0.4565
0.2107,0.4614
0.2107,0.469
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4732
0.2107,0.4916
0.2107,0.4954
0.2107,0.4954
0.2135,0.4954
0.2135,0.4954
0.2135,0.5008
0.2135,0.5008
0.2135,0.5008
0.2135,0.5039
0.2135,0.513
0.2135,0.513
0.2135,0.5248
0.2135,0.5248
0.2135,0.5248
0.2164,0.5248
0.2164,0.5248
0.2164,0.5262
0.2164,0.5262
0.2164,0.5262
0.2164,0.5276
0.2164,0.5276
0.2164,0.5276
0.2164,0.5276
0.2164,0.5276
0.2164,0.5276
0.2164,0.5343
0.2164,0.5343
0.2164,0.5499
0.2164,0.5499
0.2164,0.5499
0.2164,0.5604
0.2168,0.5604
0.2168,0.5604
0.2168,0.5604
0.2168,0.5604
0.2168,0.5604
0.2168,0.5697
0.2168,0.5697
0.2168,0.5697
0.2168,0.5893
0.2168,0.6001
0.2168,0.6084
0.2168,0.6103
0.2168,0.6131
0.2168,0.6131
0.2168,0.6131
0.2185,0.6131
0.2185,0.6183
0.2185,0.6183
0.2185,0.6183
0.2185,0.6183
0.2185,0.6321
0.2185,0.6321
0.2374,0.6321
0.2374,0.6586
0.2397,0.6586
0.2397,0.6586
0.2397,0.6586
0.2446,0.6586
0.2446,0.6586
0.2446,0.6586
0.2446,0.6617
0.2446,0.6617
0.2446,0.6699
0.2446,0.6771
0.2466,0.6771
0.2466,0.6771
0.2466,0.6771
0.2466,0.6771
0.2466,0.6771
0.2563,0.6771
0.2652,0.6771
0.2652,0.6771
0.2652,0.6771
0.2652,0.6771
0.2652,0.6911
0.2715,0.6911
0.2715,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6911
0.2816,0.6957
0.2816,0.6957
0.2816,0.7091
0.2861,0.7091
0.2861,0.7091
0.2861,0.7091
0.2861,0.7103
0.2861,0.7266
0.2861,0.7274
0.2861,0.7359
0.2861,0.7359
0.2861,0.7359
0.2926,0.7359
0.2973,0.7359
0.3016,0.7359
0.3016,0.7487
0.3046,0.7487
0.3046,0.7487
0.3046,0.7487
0.3105,0.7487
0.3105,0.7487
0.3105,0.7487
0.3105,0.7531
0.3105,0.769
0.3105,0.7835
0.3105,0.7983
0.3105,0.7987
0.3105,0.7987
0.3105,0.7987
0.3105,0.7987
0.3165,0.7987
0.3165,0.8095
0.3197,0.8095
0.3197,0.8095
0.3219,0.8095
0.3219,0.8095
0.3219,0.8095
0.3219,0.8236
0.3219,0.8236
0.3219,0.8236
0.3219,0.8265
0.33,0.8265
0.33,0.8289
0.33,0.8289
0.3323,0.8289
0.3323,0.8289
0.3325,0.8289
0.3325,0.83
0.3325,0.83
0.3468,0.83
0.3468,0.8472
0.3468,0.8472
0.3468,0.8472
0.3468,0.8472
0.3468,0.8472
0.3468,0.8555
0.3468,0.8555
0.3468,0.8555
0.3468,0.8555
0.3722,0.8555
0.3722,0.8555
0.3722,0.866
0.3768,0.866
0.3768,0.866
0.3768,0.866
0.382,0.866
0.382,0.866
0.382,0.866
0.4034,0.866
0.4034,0.866
0.4034,0.866
0.4034,0.8676
0.4034,0.8676
0.4034,0.8676
0.4034,0.8704
0.4034,0.8704
0.4034,0.8704
0.4034,0.8704
0.4124,0.8704
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8758
0.4124,0.8814
0.4124,0.8814
0.4124,0.8814
0.4124,0.882
0.4124,0.8915
0.4124,0.8915
0.4232,0.8915
0.4232,0.8924
0.4254,0.8924
0.4254,0.8983
0.4254,0.8983
0.4254,0.905
0.435,0.905
0.4389,0.905
0.4581,0.905
0.4581,0.905
0.4581,0.905
0.4581,0.905
0.4581,0.905
0.4581,0.9118
0.4581,0.9118
0.4581,0.9253
