omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.0087
0.001,0.0087
0.001,0.0087
0.001,0.0087
0.001,0.0191
0.0051,0.0191
0.0051,0.0191
0.0051,0.0191
0.0295,0.0191
0.0295,0.0191
0.0295,0.0191
0.0295,0.0228
0.0295,0.0291
0.0295,0.0291
0.0295,0.0291
0.0295,0.0388
0.0295,0.0459
0.0452,0.0459
0.0476,0.0459
0.0476,0.0528
0.0476,0.0697
0.0476,0.0883
0.0476,0.0915
0.0476,0.0941
0.0534,0.0941
0.0534,0.0941
0.0567,0.0941
0.0571,0.0941
0.0571,0.0941
0.0571,0.0941
0.0571,0.0941
0.0571,0.104
0.0571,0.104
0.0571,0.104
0.0571,0.104
0.0609,0.104
0.0651,0.104
0.0651,0.104
0.0651,0.1154
0.0783,0.1154
0.0958,0.1154
0.0958,0.1165
0.0958,0.1175
0.0958,0.1239
0.0958,0.1239
0.0958,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1074,0.1239
0.1102,0.1239
0.1124,0.1239
0.1124,0.125
0.1124,0.125
0.1124,0.1344
0.1134,0.1344
0.1225,0.1344
0.1225,0.1423
0.1225,0.1423
0.1225,0.1513
0.1225,0.1556
0.1225,0.1574
0.1225,0.1574
0.1225,0.1574
0.1225,0.1576
0.1234,0.1576
0.1234,0.17
0.1234,0.17
0.1234,0.17
0.1266,0.17
0.1266,0.17
0.1266,0.1721
0.1266,0.175
0.1266,0.1826
0.1266,0.1826
0.1266,0.1826
0.1266,0.1946
0.1266,0.1946
0.1266,0.1946
0.1266,0.1946
0.1266,0.1946
0.1266,0.2149
0.1266,0.2149
0.1266,0.2149
0.1266,0.2149
0.1288,0.2149
0.1288,0.2149
0.1288,0.2149
0.1288,0.2149
0.1288,0.2149
0.1288,0.2213
0.1288,0.2232
0.1288,0.2232
0.1288,0.2232
0.1439,0.2232
0.1439,0.2232
0.1439,0.2232
0.1439,0.2232
0.1439,0.2342
0.1439,0.2342
0.1532,0.2342
0.1532,0.2342
0.1532,0.2342
0.1532,0.2474
0.1652,0.2474
0.1652,0.2523
0.1652,0.2626
0.1652,0.2626
0.1652,0.271
0.1652,0.2757
0.1652,0.2757
0.1652,0.2757
0.1652,0.2757
0.1791,0.2757
0.1791,0.2757
0.1791,0.2757
0.1987,0.2757
0.1987,0.2768
0.1987,0.2768
0.1987,0.2768
0.1987,0.2768
0.1987,0.2768
0.1987,0.2853
0.1987,0.2853
0.1987,0.3199
0.1987,0.3407
0.1987,0.3407
0.1987,0.3468
0.1987,0.3496
0.2023,0.3496
0.2023,0.3584
0.2023,0.3584
0.2023,0.3584
0.2023,0.3648
0.2023,0.3648
0.2186,0.3648
0.2186,0.3648
0.2186,0.3693
0.2186,0.3693
0.2186,0.3693
0.2186,0.3693
0.2186,0.3738
0.2186,0.3738
0.2186,0.3738
0.2186,0.3738
0.2186,0.3738
0.2186,0.3738
0.2186,0.3848
0.2186,0.3848
0.2186,0.4067
0.2186,0.4067
0.2186,0.4067
0.2186,0.4067
0.2223,0.4067
0.2223,0.4067
0.2223,0.4077
0.2448,0.4077
0.2448,0.4077
0.2448,0.4223
0.2448,0.4223
0.2448,0.4223
0.2448,0.4223
0.2448,0.429
0.2448,0.429
0.2448,0.429
0.2448,0.4315
0.2448,0.4379
0.2519,0.4379
0.2632,0.4379
0.2697,0.4379
0.2799,0.4379
0.2799,0.4379
0.2799,0.4509
0.2799,0.4509
0.2799,0.4509
0.2935,0.4509
0.2935,0.4509
0.2935,0.4509
0.3012,0.4509
0.3012,0.4509
0.3012,0.4514
0.3012,0.4514
0.3012,0.4514
0.3012,0.4514
0.3012,0.4514
0.3012,0.4514
0.3012,0.4514
0.3022,0.4514
0.3022,0.4514
0.3022,0.4514
0.3022,0.4514
0.3022,0.4514
0.3064,0.4514
0.3064,0.4514
0.3115,0.4514
0.3271,0.4514
0.3311,0.4514
0.3311,0.4514
0.3311,0.4514
0.3311,0.4514
0.3311,0.4514
0.3311,0.4514
0.3311,0.4531
0.3311,0.4611
0.3311,0.4611
0.3463,0.4611
0.3463,0.4611
0.3482,0.4611
0.3482,0.4766
0.3482,0.4766
0.3482,0.4766
0.3482,0.4766
0.3482,0.4842
0.3482,0.4858
0.3482,0.4858
0.3482,0.4889
0.3482,0.4889
0.3482,0.4889
0.3482,0.4889
0.3482,0.4889
0.3482,0.4889
0.3482,0.4889
0.3482,0.4906
0.3565,0.4906
0.3565,0.4906
0.3565,0.4906
0.3579,0.4906
0.3579,0.5092
0.3639,0.5092
0.3757,0.5092
0.3757,0.5113
0.3757,0.5163
0.3757,0.5181
0.3757,0.5194
0.3757,0.5389
0.3902,0.5389
0.4078,0.5389
0.4078,0.5389
0.4078,0.5389
0.4078,0.5489
0.4123,0.5489
0.4123,0.5489
0.4123,0.5489
0.4123,0.5499
0.4144,0.5499
0.4144,0.5538
0.4174,0.5538
0.4174,0.5538
0.4239,0.5538
0.4239,0.5538
0.4239,0.558
0.427,0.558
0.427,0.558
0.427,0.5645
0.427,0.5645
0.427,0.5645
0.427,0.5645
0.427,0.5645
0.4457,0.5645
0.4457,0.5799
0.4474,0.5799
0.4474,0.5799
0.4552,0.5799
0.4552,0.5799
0.4677,0.5799
0.4677,0.5799
0.4677,0.5799
0.4677,0.5818
0.4805,0.5818
0.4805,0.5907
0.4901,0.5907
0.4901,0.5907
0.4901,0.5907
0.4901,0.5962
0.4901,0.5962
0.4901,0.5962
0.4901,0.5962
0.4901,0.5962
0.4901,0.5962
0.4901,0.5962
0.4901,0.6063
0.4901,0.6169
0.4901,0.6169
0.4937,0.6169
0.4937,0.6169
0.4937,0.6228
0.503,0.6228
0.503,0.6228
0.503,0.6345
0.503,0.6345
0.503,0.6495
0.503,0.6495
0.5115,0.6495
0.5115,0.6612
0.5115,0.6612
0.5115,0.6612
0.5115,0.6612
0.5135,0.6612
0.5135,0.6612
0.5135,0.6629
0.5135,0.6629
0.5135,0.6629
0.5135,0.6756
0.5135,0.6756
0.5135,0.6756
0.5135,0.6857
0.5135,0.6857
0.5135,0.6958
0.5135,0.6958
0.5135,0.6958
0.5135,0.6958
0.5135,0.7059
0.5135,0.7059
0.5135,0.7059
0.5135,0.7059
0.514,0.7059
0.514,0.7088
0.5335,0.7088
0.5335,0.7261
0.5335,0.7261
0.5335,0.7285
0.5335,0.7328
0.5335,0.7533
0.5335,0.77
0.5388,0.77
0.5388,0.77
0.5388,0.7734
0.5388,0.7734
0.5388,0.7734
0.5388,0.7734
0.5388,0.7865
0.5388,0.7865
0.5388,0.7865
