alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.0095
0.001,0.0095
0.001,0.0095
0.001,0.0095
0.001,0.014
0.0097,0.014
0.0097,0.0318
0.0097,0.0519
0.0097,0.0519
0.0097,0.0519
0.0097,0.0519
0.0097,0.0519
0.0097,0.0615
0.0097,0.0615
0.0097,0.0615
0.0097,0.0672
0.0097,0.0672
0.0278,0.0672
0.0278,0.0672
0.0278,0.0672
0.0278,0.0672
0.0278,0.0672
0.0278,0.0707
0.0278,0.0772
0.0278,0.0774
0.0278,0.0774
0.0278,0.0813
0.0278,0.0813
0.0278,0.0813
0.0323,0.0813
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0824
0.0323,0.0976
0.0323,0.0976
0.0357,0.0976
0.0357,0.0976
0.0357,0.107
0.0357,0.107
0.0357,0.115
0.0543,0.115
0.0543,0.115
0.064,0.115
0.064,0.115
0.064,0.115
0.064,0.115
0.0652,0.115
0.0652,0.115
0.0725,0.115
0.0725,0.1194
0.0725,0.1194
0.0725,0.1194
0.0725,0.1194
0.0725,0.1211
0.0725,0.1319
0.0725,0.1319
0.0725,0.1319
0.0732,0.1319
0.0732,0.1351
0.0833,0.1351
0.0833,0.1351
0.0833,0.1408
0.0979,0.1408
0.0979,0.1408
0.0979,0.1408
0.107,0.1408
0.107,0.1408
0.107,0.1604
0.107,0.1604
0.107,0.1604
0.107,0.1604
0.107,0.1604
0.107,0.1748
0.107,0.1748
0.1085,0.1748
0.1085,0.1883
0.1085,0.1883
0.1085,0.1883
0.1125,0.1883
0.1125,0.1925
0.1125,0.1925
0.1125,0.2138
0.1125,0.2143
0.1125,0.224
0.1125,0.2248
0.1125,0.2248
0.1125,0.2248
0.1125,0.2248
0.1125,0.2248
0.1125,0.2248
0.1125,0.2261
0.1125,0.2391
0.133,0.2391
0.133,0.2391
0.133,0.2391
0.133,0.2414
0.1375,0.2414
0.1375,0.2414
0.1375,0.2414
0.1375,0.2414
0.1375,0.2414
0.1375,0.2414
0.1558,0.2414
0.1558,0.2539
0.1558,0.2539
0.1558,0.2539
0.1558,0.2539
0.1558,0.2539
0.1604,0.2539
0.1608,0.2539
0.1608,0.2539
0.1608,0.2539
0.1608,0.2783
0.1608,0.2783
0.1608,0.2783
0.1608,0.2783
0.1608,0.2783
0.1608,0.2853
0.1608,0.2853
0.1608,0.2853
0.1608,0.2853
0.1608,0.2853
0.1608,0.288
0.1608,0.2936
0.1608,0.2936
0.1608,0.3009
0.1608,0.3009
0.1608,0.3092
0.1608,0.3092
0.1608,0.3223
0.1608,0.3233
0.1608,0.3233
0.1608,0.3274
0.1608,0.3447
0.1608,0.3447
0.1608,0.3447
0.1671,0.3447
0.1671,0.3447
0.1671,0.3543
0.1671,0.3543
0.1671,0.3551
0.1671,0.3551
0.1804,0.3551
0.1804,0.3551
0.1804,0.36
0.1804,0.364
0.1804,0.364
0.1804,0.364
0.1893,0.364
0.1893,0.3725
0.1909,0.3725
0.1909,0.3725
0.1909,0.3742
0.1909,0.3742
0.1994,0.3742
0.1994,0.3742
0.1994,0.3742
0.2164,0.3742
0.2164,0.3811
0.2164,0.3811
0.2164,0.3884
0.2164,0.3924
0.2174,0.3924
0.2183,0.3924
0.2183,0.3924
0.2195,0.3924
0.2195,0.3924
0.2195,0.3924
0.2195,0.3924
0.2195,0.3924
0.2202,0.3924
0.2236,0.3924
0.2236,0.3924
0.2236,0.393
0.2236,0.393
0.2236,0.393
0.2236,0.393
0.2236,0.393
0.2236,0.3946
0.2236,0.3946
0.2236,0.3946
0.2236,0.3946
0.2236,0.4045
0.2236,0.4117
0.2326,0.4117
0.2326,0.4117
0.2482,0.4117
0.2482,0.4117
0.2482,0.4282
0.2482,0.4414
0.2482,0.4414
0.2725,0.4414
0.2725,0.4579
0.2725,0.4579
0.2725,0.4609
0.2725,0.4609
0.2725,0.4609
0.2725,0.4609
0.275,0.4609
0.275,0.4701
0.275,0.484
0.275,0.4939
0.2809,0.4939
0.2809,0.4939
0.2809,0.4992
0.2809,0.4992
0.2809,0.4992
0.2835,0.4992
0.2835,0.5155
0.2835,0.5173
0.2835,0.5417
0.2835,0.5417
0.2835,0.5565
0.2835,0.5565
0.2835,0.5565
0.2936,0.5565
0.2936,0.5565
0.2936,0.5565
0.2936,0.5655
0.2936,0.5655
0.2936,0.5655
0.2936,0.5655
0.2936,0.5655
0.2936,0.574
0.2936,0.574
0.2936,0.574
0.2936,0.574
0.299,0.574
0.299,0.574
0.299,0.574
0.3024,0.574
0.3024,0.5837
0.3024,0.5837
0.3024,0.596
0.3024,0.596
0.3146,0.596
0.3146,0.5975
0.3146,0.5975
0.331,0.5975
0.331,0.5975
0.3475,0.5975
0.3475,0.5975
0.348,0.5975
0.348,0.5975
0.348,0.6254
0.348,0.6265
0.348,0.6265
0.348,0.6265
0.3526,0.6265
0.3526,0.6312
0.3526,0.6389
0.3526,0.6553
0.3526,0.6553
0.3583,0.6553
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6662
0.3583,0.6665
0.3583,0.6805
0.3583,0.6805
0.3583,0.6805
0.3583,0.6805
0.3583,0.6805
0.3583,0.6849
0.3583,0.6849
0.3583,0.6849
0.3583,0.6909
0.3583,0.6909
0.3583,0.6909
0.3583,0.6938
0.3583,0.6938
0.3583,0.704
0.3638,0.704
0.3638,0.704
0.3638,0.704
0.3638,0.706
0.3638,0.706
0.3638,0.7082
0.3675,0.7082
0.3675,0.7082
0.3675,0.7187
0.3675,0.7322
0.3675,0.7322
0.3675,0.7322
0.3939,0.7322
0.3939,0.7453
0.3939,0.7453
0.3939,0.7453
0.3939,0.7541
0.394,0.7541
0.394,0.7541
0.3961,0.7541
0.3961,0.7586
0.3961,0.7797
0.3961,0.7797
0.3961,0.7797
0.3961,0.7797
0.3961,0.7797
0.3961,0.786
0.3961,0.786
0.3961,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.786
0.4129,0.7911
0.4129,0.7953
0.4129,0.7953
0.4129,0.8141
0.4129,0.8141
0.4129,0.8141
0.4224,0.8141
0.4224,0.8141
0.4224,0.8141
0.4224,0.826
0.4224,0.826
0.4224,0.826
0.4224,0.826
0.4224,0.826
0.4224,0.826
0.4257,0.826
0.4257,0.826
0.4257,0.826
0.4257,0.826
0.4257,0.826
