alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.0053
0.001,0.0053
0.001,0.0053
0.001,0.0053
0.001,0.0117
0.0092,0.0117
0.0092,0.0184
0.0092,0.025
0.0363,0.025
0.0363,0.0541
0.0363,0.0606
0.0363,0.0606
0.0432,0.0606
0.0456,0.0606
0.0456,0.0606
0.0456,0.0606
0.0456,0.0646
0.0456,0.0801
0.0482,0.0801
0.0482,0.0893
0.0482,0.0952
0.0482,0.0952
0.0482,0.0952
0.0482,0.0952
0.0482,0.1041
0.0482,0.1041
0.0482,0.1139
0.0482,0.1139
0.0482,0.1148
0.0482,0.1148
0.0482,0.1356
0.0591,0.1356
0.0649,0.1356
0.0649,0.1384
0.0649,0.1384
0.0649,0.1384
0.0649,0.1397
0.0649,0.1397
0.0649,0.1397
0.0649,0.1397
0.0649,0.1397
0.0649,0.1397
0.0649,0.1479
0.0649,0.1479
0.0649,0.1479
0.0649,0.1479
0.0649,0.1479
0.0832,0.1479
0.0832,0.1523
0.0832,0.1633
0.108,0.1633
0.108,0.1655
0.108,0.1655
0.108,0.1655
0.108,0.1655
0.108,0.1655
0.1145,0.1655
0.1145,0.1796
0.1145,0.1796
0.1145,0.1796
0.1145,0.1961
0.1145,0.1961
0.1145,0.1961
0.1145,0.2085
0.1145,0.2132
0.1145,0.2234
0.1145,0.2234
0.1145,0.2388
0.1145,0.2388
0.1145,0.2388
0.1145,0.2483
0.1145,0.2483
0.1145,0.2483
0.1145,0.2483
0.1145,0.2483
0.1145,0.2601
0.1209,0.2601
0.1209,0.2723
0.1209,0.2776
0.1209,0.2795
0.1209,0.2873
0.1209,0.2873
0.1209,0.2931
0.1209,0.2931
0.126,0.2931
0.126,0.2973
0.126,0.2973
0.126,0.3138
0.126,0.3138
0.126,0.3139
0.126,0.3139
0.126,0.3139
0.126,0.3139
0.126,0.3169
0.1349,0.3169
0.1349,0.3169
0.1349,0.3258
0.1349,0.3258
0.1646,0.3258
0.1646,0.3449
0.1646,0.3449
0.1685,0.3449
0.1815,0.3449
0.1862,0.3449
0.1862,0.3449
0.1862,0.3462
0.1862,0.3533
0.1862,0.3533
0.203,0.3533
0.203,0.3739
0.203,0.3739
0.203,0.3825
0.203,0.3825
0.2059,0.3825
0.2059,0.3825
0.2059,0.3825
0.2059,0.3825
0.2059,0.3825
0.2193,0.3825
0.2193,0.3825
0.2193,0.3825
0.2193,0.3957
0.2193,0.4031
0.2193,0.4031
0.2193,0.4083
0.2193,0.4083
0.2193,0.4083
0.2193,0.4083
0.2193,0.4083
0.2193,0.4083
0.2193,0.4144
0.2193,0.4144
0.2398,0.4144
0.2398,0.4162
0.2398,0.417
0.2398,0.417
0.2398,0.431
0.2398,0.431
0.2398,0.431
0.2398,0.4338
0.2398,0.434
0.2398,0.4394
0.2486,0.4394
0.2486,0.4394
0.2486,0.4486
0.2486,0.4486
0.2486,0.4486
0.2486,0.4486
0.2486,0.4673
0.2486,0.4673
0.2486,0.4746
0.2486,0.4926
0.2486,0.4926
0.2486,0.5018
0.2486,0.5067
0.2486,0.5067
0.2486,0.5067
0.2486,0.5155
0.2508,0.5155
0.2508,0.526
0.2508,0.5284
0.2508,0.5399
0.2508,0.5399
0.2508,0.5568
0.2527,0.5568
0.2527,0.5568
0.2668,0.5568
0.2668,0.5681
0.2668,0.5902
0.2668,0.5902
0.2668,0.5902
0.2668,0.6021
0.2668,0.614
0.2668,0.614
0.2668,0.6174
0.2729,0.6174
0.2754,0.6174
0.2754,0.6174
0.2754,0.6276
0.2754,0.6276
0.2754,0.6283
0.2754,0.6331
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2754,0.6508
0.2897,0.6508
0.2925,0.6508
0.2925,0.6508
0.2925,0.6508
0.2973,0.6508
0.2973,0.6529
0.2973,0.6529
0.2973,0.6529
0.2973,0.6529
0.2973,0.6529
0.2973,0.6551
0.3,0.6551
0.3,0.6629
0.314,0.6629
0.314,0.6765
0.314,0.6765
0.33,0.6765
0.33,0.6824
0.33,0.6824
0.33,0.6909
0.33,0.6983
0.33,0.6983
0.33,0.6983
0.33,0.7017
0.3363,0.7017
0.3363,0.7017
0.3388,0.7017
0.3388,0.7017
0.3388,0.7017
0.356,0.7017
0.356,0.7017
0.3616,0.7017
0.3616,0.7017
0.3616,0.7017
0.3616,0.7153
0.3616,0.7202
0.3616,0.7202
0.3616,0.723
0.3616,0.723
0.3664,0.723
0.3664,0.723
0.3772,0.723
0.3772,0.723
0.3772,0.723
0.3772,0.723
0.3772,0.723
0.3772,0.723
0.3772,0.7321
0.3772,0.7394
0.3853,0.7394
0.3853,0.7394
0.3853,0.7574
0.3853,0.7574
0.3853,0.7574
0.3853,0.7574
0.3853,0.7631
0.4041,0.7631
0.4041,0.7631
0.4041,0.7868
0.4041,0.7868
0.4041,0.7868
0.4041,0.7868
0.4041,0.7898
0.4145,0.7898
0.4145,0.7937
0.4145,0.7937
0.4145,0.7981
0.4145,0.8051
0.4145,0.8051
0.4145,0.8051
0.4145,0.8051
0.4145,0.8051
0.4145,0.8051
0.4145,0.8051
0.4223,0.8051
0.4223,0.8051
0.4223,0.8204
0.4223,0.8204
0.4223,0.8344
0.4223,0.8466
0.4223,0.8466
0.4223,0.8466
0.4223,0.8478
0.4395,0.8478
0.4395,0.8478
0.4395,0.8491
0.4395,0.8491
0.4422,0.8491
0.4422,0.8491
0.4507,0.8491
0.4507,0.8491
0.4507,0.8491
0.4507,0.8491
0.4507,0.8542
0.4517,0.8542
0.4517,0.8542
0.4517,0.8672
0.4517,0.8672
0.4517,0.8672
0.4517,0.8672
0.4517,0.8672
0.4517,0.8672
0.4517,0.8788
0.4517,0.8788
0.4517,0.8788
0.4517,0.883
0.4639,0.883
0.4639,0.8885
0.4639,0.8885
0.4639,0.8968
0.4773,0.8968
0.4773,0.8968
0.4773,0.9038
0.4773,0.9038
0.4773,0.9038
0.4773,0.9074
0.4773,0.9145
0.4773,0.9145
0.4773,0.9145
0.4773,0.9145
0.4773,0.9145
0.4773,0.9145
0.4843,0.9145
0.4843,0.9145
0.4843,0.9151
0.4843,0.9151
0.4843,0.9151
0.4843,0.9151
0.4849,0.9151
0.4849,0.9151
0.4849,0.9151
0.4849,0.9197
0.489,0.9197
0.489,0.927
0.489,0.927
0.4944,0.927
0.4944,0.927
0.4944,0.927
0.4944,0.927
0.4944,0.9412
0.4944,0.9412
0.4944,0.9561
0.5068,0.9561
0.5147,0.9561
0.5147,0.9561
0.5147,0.9561
0.5165,0.9561
0.5165,0.9561
0.5165,0.9561
0.5165,0.9561
