alphaH,alphaS
0.001,0.001
0.0098,0.001
0.0098,0.001
0.0098,0.001
0.0098,0.001
0.0098,0.001
0.0098,0.0088
0.0098,0.0088
0.0098,0.0088
0.0098,0.0147
0.0098,0.0186
0.0098,0.0186
0.0098,0.0312
0.0098,0.0327
0.0098,0.0327
0.0098,0.0327
0.0098,0.0373
0.0098,0.0373
0.0098,0.0373
0.0242,0.0373
0.0242,0.0373
0.0242,0.0548
0.0242,0.0548
0.0242,0.0572
0.0242,0.0579
0.0323,0.0579
0.0323,0.061
0.0323,0.061
0.0323,0.0792
0.0323,0.0792
0.0323,0.0792
0.0323,0.0792
0.036,0.0792
0.036,0.0907
0.036,0.0907
0.036,0.0907
0.036,0.0961
0.036,0.0961
0.036,0.1065
0.036,0.1065
0.036,0.1065
0.036,0.1065
0.046,0.1065
0.046,0.1065
0.046,0.1065
0.0525,0.1065
0.0525,0.1065
0.0561,0.1065
0.0561,0.1065
0.0561,0.1065
0.0561,0.1125
0.0561,0.115
0.0561,0.115
0.0561,0.115
0.0571,0.115
0.0571,0.115
0.0571,0.1222
0.0571,0.1256
0.0571,0.1256
0.0571,0.1325
0.059,0.1325
0.059,0.1325
0.059,0.1342
0.059,0.1342
0.059,0.1344
0.059,0.1461
0.059,0.1461
0.059,0.1461
0.059,0.1524
0.059,0.1524
0.059,0.1524
0.059,0.1524
0.059,0.1524
0.059,0.1524
0.059,0.1581
0.059,0.1651
0.059,0.1651
0.059,0.1651
0.0662,0.1651
0.0697,0.1651
0.0712,0.1651
0.0712,0.1651
0.0712,0.1659
0.0838,0.1659
0.0987,0.1659
0.0987,0.1685
0.1121,0.1685
0.1121,0.1751
0.1121,0.1751
0.1121,0.1751
0.1121,0.1751
0.1121,0.1751
0.1196,0.1751
0.1196,0.1751
0.1196,0.1778
0.1196,0.1793
0.1196,0.1793
0.1196,0.184
0.1196,0.184
0.1196,0.184
0.1196,0.1859
0.1315,0.1859
0.1381,0.1859
0.1381,0.1973
0.1615,0.1973
0.1615,0.1973
0.1615,0.2042
0.1643,0.2042
0.1643,0.2042
0.1654,0.2042
0.1654,0.2042
0.1654,0.2116
0.1782,0.2116
0.1782,0.2116
0.1782,0.2116
0.1782,0.2186
0.1782,0.2186
0.1818,0.2186
0.1818,0.2186
0.1818,0.2186
0.1818,0.2186
0.1818,0.2186
0.1818,0.2225
0.1818,0.2225
0.1818,0.2321
0.1818,0.2321
0.1818,0.2321
0.1818,0.2454
0.1818,0.2704
0.1996,0.2704
0.1996,0.2704
0.2001,0.2704
0.2001,0.2704
0.2001,0.2704
0.201,0.2704
0.201,0.2849
0.201,0.3036
0.201,0.3036
0.2054,0.3036
0.2054,0.3036
0.2096,0.3036
0.2096,0.3036
0.2149,0.3036
0.2149,0.3036
0.2149,0.3036
0.2149,0.3137
0.2149,0.3137
0.2149,0.3175
0.2149,0.3185
0.2149,0.3185
0.2196,0.3185
0.2196,0.32
0.2196,0.3253
0.2196,0.3292
0.2196,0.3338
0.2196,0.3338
0.2196,0.3338
