alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.0194
0.001,0.0194
0.0041,0.0194
0.0041,0.0237
0.0041,0.0285
0.0041,0.0285
0.0041,0.0285
0.0041,0.0285
0.0103,0.0285
0.0103,0.0285
0.0103,0.0285
0.0103,0.0388
0.0103,0.0439
0.0103,0.0439
0.0103,0.0439
0.0103,0.0487
0.0103,0.0487
0.0103,0.0487
0.0103,0.0487
0.0103,0.0606
0.0103,0.0716
0.0103,0.0716
0.0103,0.0845
0.0103,0.0953
0.0103,0.0953
0.0103,0.0953
0.0103,0.1108
0.0103,0.1108
0.0103,0.1182
0.0103,0.1252
0.0103,0.1252
0.0255,0.1252
0.0324,0.1252
0.0591,0.1252
0.0591,0.1252
0.0591,0.1252
0.0591,0.1252
0.0591,0.1378
0.0591,0.1414
0.0591,0.1429
0.0591,0.1429
0.0743,0.1429
0.0743,0.1551
0.0743,0.1551
0.0743,0.1551
0.0777,0.1551
0.0802,0.1551
0.0802,0.1551
0.0802,0.1551
0.0802,0.1551
0.087,0.1551
0.0971,0.1551
0.0971,0.1551
0.1013,0.1551
0.1013,0.1584
0.1129,0.1584
0.1129,0.1652
0.1129,0.1652
0.1129,0.1652
0.1273,0.1652
0.1393,0.1652
0.1393,0.1652
0.1393,0.1652
0.1443,0.1652
0.1443,0.1712
0.1443,0.1712
0.1443,0.1712
0.1599,0.1712
0.1599,0.1712
0.1599,0.1712
0.1599,0.1712
0.1636,0.1712
0.1636,0.1803
0.1677,0.1803
0.1677,0.1803
0.1677,0.1803
0.1677,0.1803
0.1677,0.1803
0.1677,0.2046
0.1677,0.2046
0.1677,0.2046
0.1677,0.2046
0.1677,0.2046
0.1677,0.2046
0.178,0.2046
0.1832,0.2046
0.1885,0.2046
0.1885,0.2046
0.1885,0.2046
0.2089,0.2046
0.2089,0.2236
0.2089,0.2236
0.2089,0.2236
0.2089,0.2236
0.2089,0.2251
0.2089,0.2251
0.2089,0.2338
0.2098,0.2338
0.2098,0.2375
0.2098,0.239
0.2128,0.239
0.2128,0.2506
0.2128,0.2562
0.2128,0.2578
0.2128,0.2643
0.2128,0.2684
0.2128,0.2821
0.2128,0.2821
0.2183,0.2821
0.2183,0.2821
0.2253,0.2821
0.2253,0.2821
0.2253,0.2939
0.2253,0.2939
0.2253,0.2939
0.2253,0.3037
0.2253,0.3037
0.2253,0.3167
0.2253,0.3283
0.2253,0.3613
0.2253,0.365
0.2253,0.3806
0.2253,0.3806
0.2253,0.381
0.2253,0.3933
0.2253,0.3933
0.2253,0.3933
0.2273,0.3933
0.2273,0.3933
0.2273,0.4046
0.2273,0.4046
0.2273,0.4046
0.2273,0.4046
0.2273,0.4046
0.2273,0.4046
0.2307,0.4046
0.2383,0.4046
0.2383,0.4046
0.2521,0.4046
0.2521,0.4046
0.2521,0.4046
0.2555,0.4046
0.2555,0.4091
0.2617,0.4091
0.2617,0.4091
0.2617,0.4137
0.2712,0.4137
0.2712,0.4137
0.2712,0.4137
0.2712,0.4137
0.2712,0.4137
0.2805,0.4137
0.2914,0.4137
0.2914,0.4338
0.2914,0.4381
0.2914,0.4381
0.3009,0.4381
0.3009,0.4381
0.3156,0.4381
0.3156,0.4381
0.3357,0.4381
0.3426,0.4381
0.3426,0.4404
0.3426,0.4404
0.3426,0.4404
0.3426,0.4542
0.3426,0.4741
0.3426,0.4741
0.3461,0.4741
0.3691,0.4741
0.3691,0.4741
0.3691,0.4741
0.3691,0.4741
0.3691,0.49
0.3943,0.49
0.4114,0.49
0.4114,0.5054
0.4114,0.5097
0.4232,0.5097
0.4281,0.5097
0.4281,0.5097
0.4281,0.5146
0.4281,0.5146
0.4281,0.5146
0.4281,0.5214
0.4281,0.5416
0.4281,0.5416
0.4281,0.5416
0.4281,0.5416
0.4281,0.5446
0.4281,0.5446
0.4312,0.5446
0.4337,0.5446
0.4337,0.5446
0.4337,0.5488
0.4337,0.551
0.4337,0.5628
0.4337,0.5651
0.4337,0.5749
0.4337,0.5784
0.4337,0.5784
0.4337,0.5784
0.4337,0.5784
0.4337,0.5803
0.4337,0.5803
0.4337,0.5803
0.4337,0.5874
0.4563,0.5874
0.4563,0.5874
0.4563,0.5874
0.4607,0.5874
0.4607,0.5883
0.4607,0.5883
0.4607,0.5883
0.4663,0.5883
0.4663,0.597
0.4663,0.597
0.4683,0.597
0.4788,0.597
0.4941,0.597
0.5056,0.597
0.5056,0.6027
0.5056,0.6027
0.5131,0.6027
0.5131,0.6077
0.5131,0.6193
0.5131,0.6193
0.5131,0.6193
0.5131,0.6292
0.5166,0.6292
0.5178,0.6292
0.5178,0.6292
0.5266,0.6292
0.5266,0.6292
0.5266,0.6368
0.5266,0.6471
0.5266,0.6471
0.5266,0.6471
0.5392,0.6471
0.5392,0.6471
0.5392,0.649
0.5392,0.6669
0.5392,0.6669
0.5392,0.6669
0.5439,0.6669
0.5439,0.6669
0.5439,0.6783
0.5439,0.6887
0.5439,0.7058
0.5439,0.7189
0.5439,0.7189
0.5439,0.7189
0.5439,0.7189
0.5439,0.7383
0.5439,0.7609
0.5449,0.7609
0.5449,0.7646
0.5449,0.7646
0.5449,0.7646
0.5449,0.7733
0.5449,0.7745
0.5449,0.7745
0.5449,0.7745
0.5449,0.7745
0.5449,0.7745
0.5577,0.7745
0.5577,0.7745
0.5577,0.7856
0.5577,0.7856
0.5577,0.791
0.5577,0.791
0.5577,0.791
0.5577,0.7937
0.5577,0.8086
0.5577,0.8086
0.5577,0.8086
0.559,0.8086
0.5641,0.8086
0.5641,0.8086
0.5641,0.8086
0.5641,0.8236
0.5641,0.8295
0.5641,0.8427
0.5641,0.8427
0.5721,0.8427
0.5835,0.8427
0.5835,0.8427
0.5992,0.8427
0.5992,0.86
0.5992,0.8601
0.5992,0.8601
0.5992,0.8601
0.5992,0.8622
0.5992,0.8622
0.5992,0.8622
0.5992,0.8758
0.5992,0.8758
0.5992,0.8758
0.6009,0.8758
0.6009,0.8784
0.6009,0.8784
0.6009,0.8817
0.6009,0.8817
0.6009,0.8817
0.6009,0.8865
0.6054,0.8865
0.6054,0.887
0.6054,0.887
0.6054,0.9082
0.6054,0.9082
0.6054,0.9099
0.6054,0.9099
0.6054,0.9099
0.6054,0.9239
0.6054,0.9239
0.6054,0.9239
0.6143,0.9239
0.6143,0.9263
0.6143,0.9263
0.6143,0.9263
0.6143,0.9263
0.6143,0.9445
0.6143,0.9459
0.6143,0.9543
0.6143,0.9543
0.6143,0.9629
0.6143,0.9629
0.6143,0.9629
0.6143,0.9629
0.6143,0.9629
0.6143,0.9629
0.6143,0.9629
