alphaH,alphaS
0.001,0.001
0.0234,0.001
0.0234,0.001
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0049
0.0234,0.0134
0.0234,0.025
0.0234,0.0433
0.0234,0.0433
0.0234,0.0433
0.0234,0.0541
0.0298,0.0541
0.0298,0.0541
0.0409,0.0541
0.0409,0.0546
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0637
0.0409,0.0702
0.0409,0.0765
0.0409,0.0921
0.0465,0.0921
0.0465,0.0921
0.0465,0.0932
0.0465,0.1041
0.0465,0.1041
0.0465,0.1041
0.0465,0.112
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1129
0.0465,0.1179
0.0465,0.1179
0.0558,0.1179
0.0558,0.1179
0.0558,0.1179
0.0558,0.1179
0.0558,0.1179
0.069,0.1179
0.069,0.1179
0.069,0.1179
0.069,0.1196
0.069,0.1196
0.069,0.1196
0.069,0.1312
0.069,0.1351
0.069,0.1505
0.069,0.1505
0.069,0.1649
0.069,0.1649
0.069,0.1649
0.069,0.1719
0.069,0.1871
0.069,0.1871
0.069,0.1941
0.069,0.1951
0.069,0.1951
0.069,0.1951
0.069,0.1951
0.069,0.1951
0.069,0.201
0.069,0.201
0.069,0.201
0.069,0.201
0.069,0.201
0.069,0.201
0.069,0.201
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.2035
0.069,0.205
0.069,0.205
0.069,0.2085
0.069,0.2085
0.069,0.2128
0.069,0.2233
0.0902,0.2233
0.0902,0.2391
0.0902,0.2575
0.0902,0.2575
0.0902,0.2675
0.0954,0.2675
0.0954,0.2675
0.0954,0.2675
0.0954,0.2675
0.0954,0.2675
0.0954,0.2675
0.0954,0.2794
0.1053,0.2794
0.1053,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2794
0.1163,0.2872
0.1163,0.2958
0.1163,0.2958
0.1163,0.2958
0.1194,0.2958
0.1194,0.2958
0.1194,0.2996
0.1194,0.3118
0.1194,0.3118
0.1194,0.3118
0.1194,0.3118
0.1194,0.3171
0.1194,0.3171
0.1194,0.3269
0.1194,0.3269
0.1228,0.3269
0.1228,0.3323
0.1317,0.3323
0.1317,0.3323
0.1317,0.3323
0.1379,0.3323
0.1379,0.3484
0.1379,0.3544
0.1379,0.3544
0.1379,0.3544
0.1379,0.3544
0.1546,0.3544
0.1598,0.3544
0.1598,0.3544
0.1598,0.3544
0.1598,0.3604
0.1598,0.3604
0.1598,0.3624
0.1598,0.3737
0.1598,0.3737
0.1598,0.3737
0.1598,0.3737
0.1598,0.3737
0.1598,0.3785
0.1598,0.3785
0.1598,0.382
0.1742,0.382
0.1742,0.382
0.1742,0.382
0.1742,0.382
0.1742,0.382
0.1742,0.382
0.1742,0.3874
0.1742,0.3874
0.1742,0.3914
0.1742,0.3914
0.1742,0.3914
0.1742,0.3916
0.1742,0.3916
0.1742,0.3916
0.1934,0.3916
0.1934,0.3916
0.1934,0.4147
0.1934,0.423
0.1939,0.423
0.2063,0.423
0.2063,0.4302
0.2167,0.4302
0.2167,0.4302
0.2167,0.4302
0.2167,0.4302
0.2167,0.4302
0.2167,0.4302
0.2269,0.4302
0.2269,0.4423
0.2269,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4538
0.2438,0.4613
0.2438,0.4613
0.2438,0.4613
0.2461,0.4613
0.2461,0.4745
0.2517,0.4745
0.2517,0.4896
0.2517,0.4896
0.2517,0.5052
0.2517,0.5052
0.2624,0.5052
0.2624,0.5052
0.2624,0.5052
0.2624,0.5188
0.2634,0.5188
0.2634,0.5188
0.2634,0.5188
0.2636,0.5188
0.2636,0.5188
0.2636,0.5188
0.2647,0.5188
0.2647,0.5315
