alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0219,0.001
0.0219,0.001
0.0219,0.001
0.0219,0.0142
0.0243,0.0142
0.0243,0.0142
0.0276,0.0142
0.0286,0.0142
0.0286,0.0142
0.0286,0.0142
0.0286,0.0142
0.0286,0.0175
0.0291,0.0175
0.0291,0.0175
0.0291,0.0175
0.0291,0.0175
0.0291,0.0175
0.0291,0.0175
0.0358,0.0175
0.0358,0.0175
0.0358,0.0175
0.0358,0.0175
0.0358,0.0246
0.0358,0.0246
0.0358,0.0246
0.0358,0.0266
0.0358,0.0377
0.0358,0.0416
0.0358,0.0624
0.0358,0.0804
0.0358,0.082
0.0358,0.082
0.0358,0.082
0.0358,0.082
0.0358,0.082
0.0358,0.0829
0.0358,0.0829
0.0358,0.1059
0.0358,0.1059
0.0358,0.1059
0.0358,0.1059
0.0358,0.1059
0.0358,0.1059
0.0511,0.1059
0.0511,0.1142
0.0511,0.1142
0.0511,0.1164
0.0511,0.1204
0.0607,0.1204
0.0607,0.1204
0.0675,0.1204
0.0675,0.125
0.0675,0.125
0.0675,0.125
0.0675,0.1395
0.0675,0.1395
0.0707,0.1395
0.0707,0.1634
0.0707,0.1813
0.0707,0.1813
0.0707,0.1813
0.0707,0.1813
0.0707,0.1813
0.0707,0.1963
0.0707,0.1963
0.0707,0.1963
0.0707,0.2033
0.0719,0.2033
0.0719,0.2033
0.0719,0.2033
0.0719,0.2033
0.0719,0.2033
0.0719,0.2033
0.0751,0.2033
0.0751,0.2033
0.0751,0.2033
0.0751,0.2033
0.0751,0.2033
0.0751,0.2033
0.0821,0.2033
0.0821,0.2033
0.0821,0.2079
0.0821,0.2079
0.0821,0.2079
0.0821,0.2079
0.0821,0.2079
0.0821,0.2079
0.0918,0.2079
0.0918,0.2079
0.0918,0.2079
0.0918,0.2083
0.0918,0.2094
0.1033,0.2094
0.1033,0.2094
0.109,0.2094
0.109,0.2187
0.1094,0.2187
0.1094,0.2187
0.1094,0.2187
0.1094,0.2187
0.1094,0.2187
0.1112,0.2187
0.1112,0.2187
0.1112,0.2216
0.1112,0.2216
0.1112,0.2216
0.1112,0.2281
0.1112,0.2314
0.1112,0.2368
0.1112,0.2368
0.1112,0.2521
0.1112,0.2572
0.1112,0.2759
0.1286,0.2759
0.1286,0.2821
0.1286,0.2821
0.1286,0.2828
0.1286,0.2828
0.1286,0.2828
0.1286,0.2828
0.1286,0.2907
0.1286,0.2907
0.1286,0.2907
0.1286,0.3059
0.1286,0.32
0.1286,0.32
0.1286,0.32
0.1351,0.32
0.1351,0.32
0.1351,0.3207
0.1351,0.3207
0.1351,0.3353
0.1351,0.3353
0.1351,0.336
0.1351,0.3407
0.1351,0.348
0.1351,0.348
0.1351,0.348
0.1351,0.348
0.1351,0.348
0.1351,0.3491
0.1351,0.3491
0.1351,0.3491
0.1351,0.3491
0.1351,0.3676
0.1351,0.3676
0.1351,0.3727
0.1351,0.3727
0.1351,0.3793
0.1461,0.3793
0.1461,0.3869
0.1461,0.3869
0.1461,0.3869
0.1461,0.3945
0.1461,0.3945
0.1461,0.4061
0.1461,0.4061
0.1461,0.4173
0.1461,0.4173
0.1461,0.4173
0.1497,0.4173
0.1497,0.4173
0.1497,0.4173
0.1497,0.4234
0.1497,0.4234
0.1497,0.4408
0.1497,0.4408
0.1497,0.4457
0.1497,0.4457
0.1497,0.4457
0.1497,0.4457
0.1497,0.4579
0.1497,0.4596
0.1506,0.4596
0.1506,0.4596
0.1506,0.4649
0.1648,0.4649
0.1648,0.4649
0.1648,0.4649
0.1648,0.4737
0.1648,0.4737
0.1648,0.4787
0.1648,0.4787
0.1648,0.4918
0.1648,0.4918
0.1759,0.4918
0.1759,0.4918
0.1759,0.5117
0.1759,0.5117
0.1788,0.5117
0.1788,0.5117
0.1788,0.5117
0.1788,0.5117
0.1788,0.5117
0.1788,0.5117
0.1788,0.52
0.1788,0.52
0.1788,0.5291
0.1788,0.5446
0.1788,0.5476
0.1788,0.5539
0.1788,0.5539
0.1788,0.5683
0.1788,0.5683
0.1788,0.5835
0.1788,0.5847
0.18,0.5847
0.18,0.5847
0.18,0.612
0.18,0.6212
0.1881,0.6212
0.1884,0.6212
0.1902,0.6212
0.1902,0.642
0.212,0.642
0.212,0.642
0.212,0.6488
0.2232,0.6488
0.2251,0.6488
0.229,0.6488
0.229,0.6488
0.229,0.6513
0.229,0.6542
0.229,0.6558
0.229,0.6591
0.229,0.6591
0.229,0.6609
0.229,0.6666
0.229,0.6666
0.229,0.6666
0.2425,0.6666
0.2575,0.6666
0.2644,0.6666
0.2644,0.6666
0.2644,0.6666
0.2644,0.6747
0.2644,0.6884
0.2644,0.6996
0.2644,0.7061
0.2644,0.7061
0.2644,0.7061
0.2644,0.7061
0.2644,0.7061
0.2644,0.7061
0.2703,0.7061
0.2703,0.7071
0.2791,0.7071
0.2791,0.7071
0.2791,0.7172
0.2791,0.7252
0.2791,0.7252
0.2851,0.7252
0.2916,0.7252
0.2924,0.7252
0.2924,0.7353
0.2924,0.7405
0.2924,0.7405
0.2984,0.7405
0.2984,0.7405
0.2984,0.7405
0.2984,0.7493
0.2984,0.7517
0.2984,0.7517
0.2984,0.7517
0.2984,0.7517
0.2984,0.7677
0.2984,0.7677
0.2984,0.7678
0.3035,0.7678
0.3035,0.7678
0.3035,0.7678
0.3035,0.7717
0.3035,0.7822
0.3035,0.7859
0.3035,0.7869
0.3035,0.7869
0.3035,0.7869
0.3035,0.7869
0.3035,0.7951
0.3086,0.7951
0.3086,0.8058
0.3086,0.8058
0.3086,0.8058
0.3086,0.8058
0.3242,0.8058
0.3273,0.8058
0.3273,0.8058
0.3273,0.8058
0.3291,0.8058
0.3291,0.8169
0.3291,0.8169
0.3291,0.8169
0.3291,0.8349
0.3291,0.8389
0.3291,0.8389
0.3291,0.8468
0.3291,0.8468
0.3341,0.8468
0.3341,0.855
0.3341,0.855
0.3341,0.855
0.3341,0.8724
0.3341,0.8724
0.3341,0.8724
0.3341,0.8852
0.3341,0.8852
0.3341,0.8852
0.3341,0.8852
0.3341,0.8852
0.3341,0.8852
0.3341,0.8914
0.3341,0.9043
0.3341,0.9043
0.3341,0.906
0.3341,0.906
0.3341,0.906
0.3341,0.911
0.3341,0.911
0.3341,0.9177
0.3341,0.9177
0.3341,0.9291
0.3341,0.9291
0.3341,0.9291
0.3341,0.9291
0.3341,0.9412
0.3341,0.9412
0.3341,0.9412
0.3341,0.9412
0.3341,0.9412
0.3341,0.9418
0.3341,0.9452
0.3356,0.9452
0.3356,0.9452
0.3356,0.9526
