alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0091,0.001
0.0091,0.0028
0.0091,0.0064
0.0191,0.0064
0.028,0.0064
0.028,0.0064
0.028,0.0212
0.028,0.0212
0.028,0.025
0.028,0.025
0.028,0.025
0.028,0.025
0.028,0.025
0.0313,0.025
0.0402,0.025
0.0402,0.025
0.0447,0.025
0.0447,0.025
0.0447,0.0384
0.0447,0.0465
0.0447,0.0475
0.0447,0.0519
0.0447,0.0519
0.0447,0.0519
0.0447,0.0614
0.0447,0.0675
0.0447,0.0675
0.0447,0.0675
0.0447,0.0809
0.0447,0.0828
0.0447,0.0911
0.0447,0.0911
0.0447,0.0911
0.0447,0.0911
0.0447,0.1117
0.0557,0.1117
0.0557,0.1117
0.0557,0.1149
0.0603,0.1149
0.0621,0.1149
0.0621,0.1149
0.0621,0.1253
0.0621,0.1253
0.0685,0.1253
0.0738,0.1253
0.0738,0.1269
0.0738,0.132
0.0738,0.1373
0.0738,0.1373
0.0738,0.1456
0.0795,0.1456
0.0795,0.1456
0.0926,0.1456
0.0926,0.1456
0.0926,0.1456
0.0931,0.1456
0.0931,0.1474
0.0931,0.1474
0.0931,0.1474
0.0965,0.1474
0.0965,0.1494
0.0965,0.1494
0.0973,0.1494
0.0973,0.1494
0.0985,0.1494
0.0985,0.1494
0.0985,0.1494
0.0985,0.1498
0.0985,0.1498
0.1011,0.1498
0.1011,0.1498
0.1011,0.1498
0.1058,0.1498
0.1058,0.1498
0.1058,0.1571
0.1101,0.1571
0.1101,0.1571
0.1101,0.1571
0.1266,0.1571
0.1266,0.1741
0.1266,0.1741
0.1403,0.1741
0.1403,0.1741
0.1403,0.1741
0.1461,0.1741
0.1461,0.1821
0.1507,0.1821
0.1507,0.1821
0.1507,0.1856
0.1507,0.1856
0.1507,0.1956
0.1507,0.2038
0.1507,0.2038
0.1507,0.2038
0.1507,0.2186
0.1507,0.2186
0.1507,0.2186
0.1507,0.2186
0.1507,0.2186
0.1507,0.2262
0.1507,0.2321
0.1507,0.2443
0.1507,0.2456
0.1558,0.2456
0.1558,0.2516
0.1558,0.262
0.1558,0.2719
0.1619,0.2719
0.1619,0.2719
0.1619,0.2719
0.1708,0.2719
0.1708,0.2805
0.1708,0.2805
0.1708,0.2805
0.1708,0.2805
0.1708,0.2805
0.1811,0.2805
0.1811,0.2805
0.1811,0.2805
0.1811,0.2805
0.1811,0.281
0.1811,0.2838
0.1811,0.2838
0.1811,0.2838
0.1811,0.2927
0.1811,0.3007
0.1811,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3126
0.1831,0.3182
0.1953,0.3182
0.1953,0.3304
0.2017,0.3304
0.2017,0.3304
0.2017,0.3333
0.2017,0.3333
0.2017,0.3333
0.2017,0.3333
0.2147,0.3333
0.217,0.3333
0.217,0.3333
0.217,0.3333
0.217,0.3352
0.217,0.3352
0.217,0.3352
0.217,0.3352
0.217,0.3403
0.217,0.3509
0.217,0.364
0.217,0.364
0.217,0.3724
0.217,0.3778
0.2235,0.3778
0.2235,0.3778
0.2235,0.3922
0.2235,0.3922
0.2235,0.3922
0.2236,0.3922
0.2236,0.3937
0.2236,0.3958
0.2236,0.3958
0.2236,0.4141
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2236,0.4256
0.2312,0.4256
0.2325,0.4256
0.2325,0.4256
0.2379,0.4256
0.2469,0.4256
0.2469,0.435
0.2469,0.435
0.2469,0.4631
0.2469,0.48
0.2479,0.48
0.2479,0.48
0.2479,0.48
0.2479,0.4902
0.2487,0.4902
0.2487,0.4902
0.2487,0.4902
0.2487,0.4994
0.2594,0.4994
0.2663,0.4994
0.272,0.4994
0.272,0.5057
0.272,0.5057
0.272,0.5057
0.272,0.5075
0.272,0.5105
0.272,0.5105
0.272,0.5105
0.272,0.5238
0.272,0.5238
0.272,0.5238
0.2736,0.5238
0.2736,0.5238
0.2736,0.5238
0.2736,0.5288
0.2736,0.54
0.2736,0.54
0.2736,0.54
0.2736,0.5554
0.2736,0.5554
0.2736,0.5554
0.2736,0.5554
0.2736,0.5609
0.2736,0.5646
0.2736,0.5646
0.2736,0.5646
0.2805,0.5646
0.2805,0.5646
0.2805,0.5748
0.2805,0.5824
0.2805,0.6004
0.2805,0.6027
0.2805,0.6027
0.2805,0.6027
0.2805,0.6027
0.2805,0.6124
0.2805,0.6189
0.2805,0.6258
0.2805,0.6333
0.2819,0.6333
0.2819,0.6532
0.2819,0.6532
0.2819,0.6532
0.2819,0.6532
0.2819,0.6582
0.286,0.6582
0.286,0.6582
0.286,0.6582
0.3006,0.6582
0.3006,0.6695
0.3075,0.6695
0.3075,0.6765
0.3075,0.6765
0.3075,0.6796
0.3075,0.6999
0.3075,0.6999
0.3075,0.6999
0.3075,0.6999
0.3075,0.7039
0.3075,0.7122
0.3075,0.7306
0.3075,0.7323
0.3128,0.7323
0.3128,0.7467
0.3128,0.7641
0.3128,0.7641
0.3128,0.7641
0.3128,0.7641
0.3128,0.7705
0.3176,0.7705
0.3176,0.7705
0.3176,0.7705
0.3176,0.7959
0.3176,0.7982
0.3176,0.814
0.3176,0.8177
0.3176,0.8179
0.3176,0.8179
0.3176,0.8179
0.3176,0.8351
0.3176,0.8351
0.3176,0.8351
0.3176,0.8436
0.3176,0.8438
0.3176,0.8438
0.3212,0.8438
0.3356,0.8438
0.3356,0.8438
0.3356,0.8438
0.3356,0.8438
0.3356,0.8438
0.3356,0.8438
0.3482,0.8438
0.3482,0.8438
0.3482,0.851
0.3482,0.851
0.3482,0.8526
0.3482,0.8526
0.3482,0.8526
0.3482,0.8625
0.3482,0.8625
0.3482,0.8625
0.3482,0.8683
0.3482,0.8683
0.3482,0.8683
0.3559,0.8683
0.3559,0.8683
0.3559,0.8683
0.3559,0.8785
0.3559,0.8888
0.3657,0.8888
0.3657,0.8888
0.3695,0.8888
0.3695,0.8888
0.3695,0.8922
0.3695,0.8922
0.3858,0.8922
0.3858,0.8922
0.3858,0.9102
0.3858,0.9102
0.3858,0.9179
0.3858,0.9204
0.3858,0.9204
0.3858,0.9351
0.3858,0.9488
0.3858,0.9505
0.3858,0.9505
0.3858,0.9505
0.3858,0.9505
0.3858,0.9505
0.3858,0.952
0.3858,0.9625
0.3858,0.9625
0.3858,0.9625
0.3858,0.9639
0.3858,0.9641
0.3858,0.9675
0.3858,0.9675
0.3858,0.9675
0.3859,0.9675
0.3885,0.9675
