alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0172,0.001
0.034,0.001
0.034,0.0046
0.034,0.0206
0.0349,0.0206
0.0619,0.0206
0.0619,0.0206
0.0619,0.0206
0.0619,0.0244
0.0729,0.0244
0.0729,0.0244
0.0729,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0765,0.0295
0.0966,0.0295
0.0966,0.0381
0.0966,0.0486
0.0966,0.0486
0.0966,0.0521
0.0966,0.0521
0.0966,0.0521
0.0966,0.0521
0.0966,0.0521
0.0966,0.0557
0.0966,0.0557
0.097,0.0557
0.097,0.0557
0.097,0.0624
0.097,0.0864
0.097,0.0871
0.097,0.1033
0.1024,0.1033
0.1024,0.1124
0.1024,0.1124
0.1024,0.1124
0.1024,0.1241
0.1024,0.1269
0.1024,0.1269
0.113,0.1269
0.113,0.1269
0.113,0.1406
0.113,0.1512
0.113,0.1559
0.1303,0.1559
0.1303,0.1562
0.1303,0.1562
0.1564,0.1562
0.1564,0.1562
0.1564,0.1573
0.1564,0.166
0.1564,0.166
0.1564,0.166
0.1655,0.166
0.1655,0.1683
0.1711,0.1683
0.1711,0.1683
0.1711,0.1683
0.1711,0.1713
0.1874,0.1713
0.1874,0.1723
0.1874,0.1821
0.1874,0.1821
0.1874,0.2025
0.1874,0.2172
0.1874,0.2172
0.1874,0.2172
0.1874,0.2172
0.1874,0.2192
0.1874,0.2192
0.1874,0.2245
0.1874,0.2245
0.1966,0.2245
0.1966,0.2245
0.2006,0.2245
0.2006,0.2245
0.2006,0.2245
0.2006,0.2245
0.2006,0.2245
0.2006,0.2245
0.2006,0.2303
0.2006,0.2413
0.2006,0.2413
0.2006,0.261
0.2006,0.261
0.2006,0.261
0.2006,0.2664
0.2006,0.2664
0.2006,0.2664
0.2006,0.2664
0.2006,0.2664
0.2027,0.2664
0.2027,0.2778
0.2027,0.2883
0.2027,0.2883
0.2027,0.2891
0.2027,0.2916
0.2083,0.2916
0.2083,0.2955
0.2083,0.3067
0.2162,0.3067
0.2162,0.3079
0.2252,0.3079
0.2252,0.3146
0.2252,0.3192
0.2252,0.3192
0.2252,0.3192
0.2252,0.3194
0.2252,0.3291
0.2263,0.3291
0.2263,0.3291
0.2263,0.336
0.2263,0.3476
0.2263,0.3476
0.2263,0.3476
0.2263,0.3513
0.2263,0.3608
0.2263,0.3608
0.2263,0.3792
0.2263,0.3831
0.2263,0.4024
0.2263,0.4024
0.2263,0.4065
0.2263,0.4065
0.2364,0.4065
0.2364,0.4134
0.2446,0.4134
0.2446,0.4134
0.2446,0.417
0.2446,0.417
0.2571,0.417
0.2602,0.417
0.261,0.417
0.261,0.4343
0.2616,0.4343
0.2616,0.4343
0.274,0.4343
0.274,0.4343
0.274,0.4343
0.274,0.4343
0.274,0.4343
0.274,0.4343
0.286,0.4343
0.2911,0.4343
0.2951,0.4343
0.2951,0.4343
0.3025,0.4343
0.3056,0.4343
0.3056,0.4511
0.3056,0.4511
0.3065,0.4511
0.3065,0.4511
0.3065,0.4511
0.3065,0.4511
0.3065,0.4526
0.3169,0.4526
0.3169,0.4526
0.3169,0.454
0.3169,0.4552
0.3169,0.4552
0.319,0.4552
0.319,0.4552
0.3193,0.4552
0.3193,0.4634
0.3193,0.4634
0.3193,0.4634
0.3193,0.4634
0.3193,0.4634
0.3193,0.4634
0.3208,0.4634
0.3355,0.4634
0.3365,0.4634
0.3365,0.4634
0.3365,0.4634
0.3365,0.4641
0.3397,0.4641
0.3397,0.4641
0.3447,0.4641
0.3447,0.4662
0.3447,0.4662
0.3512,0.4662
0.3512,0.4662
0.3675,0.4662
0.3747,0.4662
0.3747,0.4662
0.3877,0.4662
0.3877,0.4739
0.4,0.4739
0.4,0.4739
0.4,0.4739
0.4036,0.4739
0.4036,0.4739
0.4036,0.4739
0.4036,0.4739
0.4066,0.4739
0.4066,0.4841
0.407,0.4841
0.4088,0.4841
0.4088,0.4841
0.4223,0.4841
0.4223,0.4841
0.4291,0.4841
0.4291,0.4841
0.4291,0.4841
0.4291,0.4841
0.4291,0.4841
0.4291,0.4841
0.4291,0.4864
0.4291,0.4896
0.4291,0.4896
0.4338,0.4896
0.4493,0.4896
0.4493,0.4896
0.4508,0.4896
0.4508,0.5003
0.4508,0.5003
0.4508,0.5003
0.4508,0.513
0.4508,0.513
0.4606,0.513
0.4641,0.513
0.4641,0.513
0.4641,0.513
0.4641,0.5176
0.4641,0.5176
0.4641,0.5176
0.4641,0.5304
0.4641,0.5347
0.4677,0.5347
0.4677,0.5347
0.4756,0.5347
0.4756,0.5487
0.4756,0.5487
0.4756,0.5487
0.4777,0.5487
0.4816,0.5487
0.503,0.5487
0.503,0.5487
0.503,0.5685
0.5046,0.5685
0.5138,0.5685
0.5138,0.5685
0.5138,0.5694
0.5314,0.5694
0.5314,0.5694
0.5314,0.5694
0.5314,0.5893
0.5314,0.5893
0.5415,0.5893
0.5484,0.5893
0.5622,0.5893
0.574,0.5893
0.574,0.5951
0.574,0.6031
0.574,0.6031
0.574,0.6031
0.574,0.6031
0.574,0.6031
0.574,0.6031
0.574,0.6031
0.5744,0.6031
0.5744,0.6031
0.5744,0.6031
0.5744,0.6031
0.5806,0.6031
0.5806,0.6031
0.5806,0.6031
0.5806,0.6031
0.5806,0.6031
0.5806,0.6067
0.5806,0.6174
0.5806,0.6174
0.5806,0.6244
0.5806,0.6244
0.5928,0.6244
0.6004,0.6244
0.6004,0.6244
0.6004,0.6244
0.6004,0.6244
0.6004,0.6264
0.6004,0.6264
0.6011,0.6264
0.6011,0.6264
0.6011,0.6578
0.6011,0.6578
0.605,0.6578
0.605,0.6658
0.6071,0.6658
0.6071,0.6658
0.6071,0.6658
0.618,0.6658
0.618,0.6658
0.618,0.6676
0.6289,0.6676
0.6289,0.6793
0.6418,0.6793
0.6418,0.6793
0.6418,0.6793
0.6418,0.6937
0.6418,0.7043
0.6418,0.7093
0.6418,0.7093
0.6418,0.7093
0.6418,0.7095
0.6418,0.7189
0.6511,0.7189
0.6511,0.731
0.6627,0.731
0.6627,0.731
0.6692,0.731
0.6692,0.7434
0.6692,0.7434
0.6771,0.7434
0.6771,0.7434
0.6771,0.7434
0.6771,0.7623
0.6771,0.7688
0.6771,0.7688
0.6776,0.7688
0.6776,0.7688
0.6776,0.7732
0.6776,0.7732
0.6785,0.7732
0.6805,0.7732
0.6805,0.7732
0.6806,0.7732
0.6806,0.7818
0.7039,0.7818
0.7039,0.7818
0.7059,0.7818
0.7059,0.7924
0.7059,0.7924
0.7059,0.7943
