alphaH,alphaS
0.001,0.001
0.0069,0.001
0.0069,0.0071
0.0277,0.0071
0.0277,0.0071
0.0277,0.0071
0.0277,0.0167
0.0283,0.0167
0.0283,0.0167
0.0563,0.0167
0.0563,0.0167
0.0563,0.0167
0.0563,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0294
0.059,0.0469
0.059,0.0469
0.0737,0.0469
0.0737,0.0469
0.0793,0.0469
0.0793,0.0469
0.0793,0.0469
0.0806,0.0469
0.0806,0.057
0.0806,0.057
0.0806,0.057
0.0806,0.057
0.0877,0.057
0.0877,0.0599
0.0877,0.0599
0.0877,0.0599
0.0926,0.0599
0.0926,0.0599
0.102,0.0599
0.102,0.0599
0.1054,0.0599
0.1054,0.0599
0.1054,0.0599
0.1054,0.0599
0.1054,0.0599
0.1054,0.061
0.1054,0.061
0.1054,0.061
0.1309,0.061
0.1417,0.061
0.1417,0.0815
0.1417,0.084
0.1417,0.084
0.1417,0.084
0.1437,0.084
0.1437,0.084
0.1541,0.084
0.1541,0.084
0.1541,0.084
0.1541,0.084
0.1541,0.084
0.1565,0.084
0.1565,0.084
0.1565,0.084
0.1565,0.084
0.1565,0.084
0.157,0.084
0.157,0.084
0.1622,0.084
0.1622,0.084
0.1622,0.084
0.1819,0.084
0.1819,0.084
0.1819,0.0868
0.1819,0.0868
0.1819,0.0873
0.1819,0.0902
0.1882,0.0902
0.1882,0.0902
0.1882,0.0902
0.1882,0.0902
0.1882,0.0932
0.1882,0.0932
0.1882,0.0932
0.1882,0.0932
0.2045,0.0932
0.2045,0.0932
0.2253,0.0932
0.2253,0.0957
0.2253,0.0957
0.2253,0.1013
0.2288,0.1013
0.2288,0.1013
0.2288,0.1063
0.2288,0.1063
0.2288,0.1063
0.2288,0.1212
0.2346,0.1212
0.2346,0.1333
0.2346,0.1333
0.2361,0.1333
0.2368,0.1333
0.2368,0.1333
0.2368,0.1333
0.2434,0.1333
0.2434,0.147
0.2434,0.1568
0.2434,0.1642
0.2434,0.1671
0.2434,0.1713
0.2434,0.1748
0.2434,0.1748
0.2489,0.1748
0.2489,0.1884
0.2489,0.1884
0.2489,0.1884
0.2489,0.1934
0.2489,0.1934
0.2658,0.1934
0.2658,0.1934
0.2658,0.2005
0.2875,0.2005
0.2875,0.2005
0.2875,0.2005
0.3046,0.2005
0.3046,0.2005
0.3046,0.2005
0.3046,0.2053
0.3046,0.2053
0.3137,0.2053
0.3137,0.2059
0.3137,0.2059
0.337,0.2059
0.337,0.2059
0.337,0.2276
0.337,0.2276
0.3481,0.2276
0.3484,0.2276
0.3484,0.2276
0.3484,0.2276
0.3516,0.2276
0.3516,0.2276
0.3516,0.2276
0.3516,0.2276
0.3516,0.2276
0.3527,0.2276
0.3527,0.2307
0.3527,0.2307
0.3527,0.2307
0.3527,0.2307
0.3527,0.2307
0.3527,0.2307
0.3527,0.2307
0.3558,0.2307
0.3853,0.2307
0.3853,0.2365
0.3853,0.2441
0.3853,0.2441
0.3853,0.2468
0.3853,0.2468
0.3853,0.2594
0.3853,0.2731
0.3877,0.2731
0.3877,0.2786
0.3877,0.2786
0.3877,0.2786
0.3877,0.2786
0.3877,0.2786
0.389,0.2786
0.389,0.2816
0.389,0.2847
0.389,0.2847
0.3891,0.2847
0.3891,0.2847
0.3891,0.2847
0.3891,0.2922
0.3891,0.2922
0.3891,0.2943
0.3891,0.2943
0.3972,0.2943
0.3972,0.298
0.3972,0.298
0.3972,0.298
0.3972,0.298
0.3972,0.298
0.3972,0.3249
0.4056,0.3249
0.4056,0.3249
0.4056,0.3265
0.4056,0.3265
0.4056,0.3265
0.4056,0.3265
0.4056,0.3265
0.4056,0.3265
0.4056,0.3265
0.4056,0.3342
0.4211,0.3342
0.4275,0.3342
0.4275,0.3342
0.4275,0.3342
0.4275,0.3466
0.4275,0.3466
0.4275,0.3579
0.4275,0.3708
0.4275,0.372
0.4509,0.372
0.4541,0.372
0.4541,0.372
0.4541,0.372
0.4541,0.3771
0.4541,0.3828
0.4541,0.3828
0.4632,0.3828
0.4805,0.3828
0.4805,0.3882
0.4805,0.3882
0.4805,0.3882
0.4805,0.3882
0.4805,0.3942
0.4864,0.3942
0.499,0.3942
0.5052,0.3942
0.5052,0.3994
0.5052,0.3994
0.5052,0.3994
0.5086,0.3994
0.5086,0.3994
0.5086,0.4053
0.5086,0.4053
0.5086,0.4149
0.5086,0.4309
0.5086,0.4368
0.5086,0.4368
0.5086,0.4433
0.5086,0.4778
0.5086,0.4932
0.5086,0.4932
0.5086,0.4945
0.5086,0.4945
0.5086,0.4945
0.5086,0.4945
0.5086,0.4945
0.5086,0.4945
0.5088,0.4945
0.5088,0.4945
0.5088,0.4945
0.5148,0.4945
0.5148,0.4945
0.5148,0.4945
0.5148,0.4945
0.5148,0.4945
0.5148,0.4968
0.5148,0.4968
0.5148,0.4968
0.5371,0.4968
0.5371,0.4968
0.5371,0.5004
0.5371,0.5065
0.5371,0.5065
0.5371,0.5065
0.5371,0.5067
0.5372,0.5067
0.5372,0.5067
0.5372,0.5207
0.5372,0.5207
0.5377,0.5207
0.5377,0.5207
0.5377,0.5356
0.5377,0.5585
0.5377,0.5585
0.5416,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5678,0.5585
0.5683,0.5585
0.5791,0.5585
0.5791,0.5585
0.5791,0.5591
0.5871,0.5591
0.5922,0.5591
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5639
0.5922,0.5723
0.5942,0.5723
0.5942,0.5723
0.5942,0.5723
0.5942,0.5723
0.5942,0.5723
0.6018,0.5723
0.6018,0.5811
0.6018,0.5911
0.6018,0.5992
0.6018,0.5992
0.6018,0.5992
0.6093,0.5992
0.6093,0.5992
0.6093,0.5992
0.6093,0.6159
0.6146,0.6159
0.6313,0.6159
0.6313,0.6159
0.6313,0.6337
0.6313,0.6337
0.6313,0.6337
0.6313,0.6337
0.6425,0.6337
0.6535,0.6337
0.6535,0.6351
0.6668,0.6351
0.6894,0.6351
0.6894,0.6351
0.6894,0.6351
0.6894,0.6351
0.6894,0.6383
0.6894,0.6383
0.6894,0.6383
0.6894,0.6498
0.6894,0.6639
0.6894,0.6639
0.6894,0.6726
0.6894,0.678
0.6894,0.6917
0.6894,0.6924
0.6937,0.6924
0.6937,0.6924
0.6937,0.7027
0.6983,0.7027
0.6983,0.7197
0.6983,0.7197
0.6983,0.729
0.6983,0.7294
0.6983,0.7294
0.6983,0.7294
0.6983,0.7294
0.7003,0.7294
0.7052,0.7294
0.7052,0.7294
0.7052,0.7294
0.7052,0.7294
0.7052,0.7294
0.7062,0.7294
0.7062,0.7294
0.7236,0.7294
0.7236,0.7294
0.7236,0.7294
0.7364,0.7294
0.7364,0.7294
0.7364,0.7294
0.7364,0.7294
0.7364,0.7294
0.7364,0.7294
0.7364,0.7364
0.7364,0.7364
0.7364,0.7364
0.7364,0.7408
0.7364,0.7408
0.7364,0.7408
0.7364,0.7408
0.7364,0.7471
0.7364,0.7471
0.7364,0.7614
0.7364,0.7614
0.7426,0.7614
0.7476,0.7614
0.7476,0.7614
0.754,0.7614
0.7626,0.7614
0.7626,0.7691
0.7626,0.7734
0.7626,0.7734
0.7654,0.7734
0.7712,0.7734
0.772,0.7734
0.772,0.7734
0.772,0.7734
0.7809,0.7734
0.7809,0.7939
0.7809,0.7939
0.7809,0.7939
0.7809,0.7939
0.7809,0.7939
0.7809,0.8041
0.7809,0.8041
0.7865,0.8041
0.7865,0.8041
0.7865,0.8041
0.7865,0.8041
0.7865,0.8041
0.7865,0.8056
0.7907,0.8056
0.7907,0.8056
0.7927,0.8056
0.7927,0.8056
0.7927,0.8056
0.7927,0.8237
0.7945,0.8237
0.7945,0.8261
0.8004,0.8261
0.8004,0.8261
0.8061,0.8261
0.8066,0.8261
0.8066,0.8324
0.8066,0.8324
0.8082,0.8324
0.8082,0.8324
0.8082,0.8372
0.8082,0.8372
0.8082,0.8372
0.8082,0.844
0.8109,0.844
0.8119,0.844
0.8132,0.844
0.8132,0.8564
0.8132,0.8564
0.8132,0.8564
0.8153,0.8564
0.8153,0.8564
0.8175,0.8564
0.8175,0.8643
0.8175,0.8643
0.8175,0.8785
0.8175,0.8828
0.8175,0.8828
0.8175,0.8828
0.8193,0.8828
0.8193,0.883
0.8193,0.883
0.8193,0.883
0.8193,0.883
0.8193,0.883
0.8193,0.8943
0.8193,0.9006
0.8202,0.9006
0.8202,0.9006
0.8204,0.9006
0.8274,0.9006
0.8274,0.9006
0.8274,0.9006
0.8274,0.9006
0.8274,0.9006
0.8274,0.9006
0.8274,0.9051
0.8274,0.9051
0.8274,0.9051
0.8274,0.9217
0.8277,0.9217
0.8298,0.9217
0.8314,0.9217
0.8314,0.9217
0.8314,0.9217
0.8314,0.9217
0.8409,0.9217
0.8409,0.9217
0.8409,0.9217
0.8409,0.9217
0.853,0.9217
0.8573,0.9217
0.8736,0.9217
0.8736,0.9217
0.8736,0.9217
0.8736,0.9217
0.8896,0.9217
0.8896,0.9217
0.8896,0.9321
0.8896,0.9321
0.8896,0.9321
0.8907,0.9321
0.9061,0.9321
0.9061,0.9476
0.9061,0.9626
0.9061,0.9865
0.9061,0.9865
0.9061,0.9865
0.9061,0.9905
0.9061,0.9905
0.9061,0.9905
0.9083,0.9905
0.9083,0.9905
0.9083,0.9905
0.9083,0.9937
0.9083,0.9937
0.9083,0.9984
0.9083,0.9984
0.9083,0.9984
0.9083,0.9984
0.9158,0.9984
0.9158,0.9984
0.9158,1.0
0.9172,1.0
0.9172,1.0
0.9172,1.0
0.9175,1.0
0.9207,1.0
0.9207,1.0
0.9249,1.0
0.9249,1.0
0.9249,1.0
0.9322,1.0
0.9362,1.0
0.9362,1.0
0.9362,1.0
0.9467,1.0
0.9558,1.0
0.9558,1.0
0.9681,1.0
0.9681,0.9804
0.9681,0.9804
0.9681,0.9906
1.0,0.9906
1.0,0.978
1.0,0.978
1.0,0.9728
1.0,0.9728
1.0,0.9728
0.983,0.9728
0.983,0.9745
0.983,0.9812
0.9711,0.9812
0.9711,0.9928
0.9711,0.991
0.9711,0.991
0.9643,0.991
0.9643,0.9928
0.9691,0.9928
0.9627,0.9928
0.9627,0.9928
0.9627,0.9928
0.9638,0.9928
0.9751,0.9928
0.9751,0.9878
0.9751,0.9878
0.9685,0.9878
0.9685,0.9878
0.9685,0.9878
0.9685,0.9944
0.9604,0.9944
0.9623,0.9944
0.9623,0.9952
0.9623,0.9997
0.9623,0.9997
0.9623,0.9902
0.967,0.9902
0.9778,0.9902
0.9763,0.9902
0.9763,0.9902
0.9763,0.9902
0.9763,0.9902
0.9763,0.9851
0.9616,0.9851
0.98,0.9851
0.9552,0.9851
0.9552,0.9851
0.9552,0.9851
0.9574,0.9851
0.9597,0.9851
0.9597,0.9901
0.9597,0.9901
0.9597,1.0
0.9663,1.0
0.9663,0.9954
0.9663,0.992
0.9663,0.9938
0.9663,0.9938
0.9663,0.9879
0.9663,0.9886
0.9663,0.9886
0.9663,0.9886
0.9674,0.9886
0.9674,0.9886
0.9674,0.9886
0.9674,0.9895
0.9674,0.9895
0.9674,0.9895
0.9674,0.9895
0.9674,0.9895
0.9674,0.9895
0.9674,0.9994
0.9674,0.9957
0.9674,0.9957
0.9664,0.9957
0.9664,0.9957
0.9664,0.987
0.9664,0.9917
0.9664,0.9952
0.9618,0.9952
0.964,0.9952
0.964,0.9952
0.964,0.9985
0.9557,0.9985
0.9557,1.0
0.9557,1.0
0.9557,1.0
0.9557,1.0
0.9613,1.0
