omegaH,omegaS
0.001,0.001
0.001,0.001
0.0073,0.001
0.0073,0.001
0.0073,0.0059
0.0073,0.0059
0.0073,0.0059
0.0073,0.0059
0.0073,0.0059
0.0073,0.0059
0.0135,0.0059
0.0135,0.0059
0.0184,0.0059
0.0184,0.0059
0.0214,0.0059
0.0214,0.0059
0.0214,0.0059
0.0214,0.0059
0.0214,0.0059
0.0214,0.03
0.0214,0.0351
0.0248,0.0351
0.0249,0.0351
0.0249,0.0505
0.0255,0.0505
0.043,0.0505
0.043,0.0505
0.043,0.0682
0.043,0.0823
0.0451,0.0823
0.0451,0.0823
0.0451,0.0823
0.0451,0.087
0.0451,0.087
0.0536,0.087
0.0536,0.1009
0.0536,0.1009
0.0536,0.1054
0.0536,0.1054
0.0536,0.1054
0.0536,0.1187
0.0536,0.1265
0.0536,0.1265
0.0536,0.1332
0.0536,0.1332
0.059,0.1332
0.059,0.1332
0.059,0.1332
0.059,0.1381
0.059,0.1648
0.059,0.1648
0.059,0.1811
0.059,0.1861
0.059,0.195
0.059,0.195
0.0762,0.195
0.0762,0.1992
0.0762,0.1992
0.0762,0.2082
0.0762,0.2082
0.0762,0.2082
0.0762,0.2082
0.0762,0.2224
0.0762,0.2224
0.0762,0.2233
0.0787,0.2233
0.0787,0.2304
0.0787,0.2508
0.0787,0.2508
0.0787,0.2508
0.093,0.2508
0.093,0.2508
0.093,0.2543
0.093,0.2543
0.093,0.2543
0.093,0.2566
0.093,0.2566
0.093,0.2662
0.1099,0.2662
0.1099,0.2662
0.1099,0.2741
0.1099,0.2741
0.1099,0.2741
0.1099,0.28
0.1099,0.28
0.1099,0.28
0.1099,0.28
0.1099,0.28
0.1195,0.28
0.1195,0.28
0.1195,0.2897
0.1195,0.2897
0.1195,0.2897
0.1195,0.2927
0.1195,0.2945
0.1195,0.2945
0.1195,0.2945
0.1195,0.3096
0.1298,0.3096
0.1298,0.3096
0.1298,0.3096
0.1298,0.3115
0.1409,0.3115
0.15,0.3115
0.1527,0.3115
0.1616,0.3115
0.172,0.3115
0.172,0.3115
0.172,0.3115
0.172,0.3263
0.172,0.3263
0.1854,0.3263
0.1854,0.3263
0.1854,0.3411
0.1936,0.3411
0.1936,0.368
0.1936,0.3714
0.1991,0.3714
0.1991,0.3714
0.1991,0.3778
0.1991,0.3778
0.2001,0.3778
0.2001,0.3778
0.2001,0.3871
0.2018,0.3871
0.2018,0.3871
0.2018,0.3871
0.2018,0.3896
0.2018,0.3908
0.2079,0.3908
0.2079,0.3908
0.2079,0.3937
0.211,0.3937
0.211,0.3937
0.211,0.3961
0.2149,0.3961
0.2149,0.3961
0.2149,0.4079
0.2149,0.4079
0.2175,0.4079
0.2175,0.413
0.2175,0.413
0.2175,0.4263
0.2175,0.4263
0.2175,0.4306
0.2175,0.4306
0.2175,0.4456
0.2186,0.4456
0.2186,0.4457
0.2186,0.4457
0.2186,0.454
0.2186,0.454
0.2186,0.454
0.2293,0.454
0.2293,0.454
0.2293,0.4555
0.2293,0.4555
0.2312,0.4555
0.2312,0.4614
0.2312,0.4688
0.2312,0.4688
0.2312,0.4688
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.4956
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.5132
0.2312,0.517
0.2312,0.517
0.2312,0.517
0.2378,0.517
0.2378,0.517
0.2378,0.517
0.2378,0.517
0.2378,0.5174
0.2378,0.5215
0.2378,0.5251
0.2378,0.5306
0.2378,0.5306
0.2485,0.5306
0.2499,0.5306
0.2499,0.5306
0.2544,0.5306
0.2544,0.5306
0.2544,0.5387
0.2544,0.5387
0.2544,0.5437
0.2544,0.5437
0.2544,0.5585
0.2544,0.5585
0.2544,0.5585
0.2544,0.5585
0.2568,0.5585
0.2568,0.5585
0.2568,0.5757
0.2568,0.5829
0.2568,0.5829
0.2568,0.5829
0.2568,0.5829
0.2568,0.592
0.2568,0.592
0.2568,0.592
0.2695,0.592
0.2695,0.6187
0.2705,0.6187
0.2705,0.6245
0.2705,0.6245
0.2724,0.6245
0.2856,0.6245
0.2948,0.6245
0.2948,0.6259
0.2948,0.6325
0.2948,0.6325
0.2948,0.6325
0.2948,0.6325
0.2948,0.6325
0.2948,0.6325
0.3013,0.6325
0.3013,0.6325
0.3259,0.6325
0.3259,0.6325
0.3259,0.6325
0.3259,0.6325
0.3259,0.6369
0.3334,0.6369
0.3334,0.6369
0.3334,0.6411
0.3334,0.6465
0.3406,0.6465
0.3406,0.6498
0.3406,0.6579
0.3406,0.6579
0.3406,0.6579
0.3406,0.6707
0.3406,0.6707
0.3406,0.6707
0.3406,0.6837
0.3406,0.6837
0.3406,0.6837
0.3406,0.6837
0.3406,0.6936
0.3406,0.6936
0.351,0.6936
0.351,0.7013
0.351,0.7013
0.351,0.7013
0.351,0.7013
0.351,0.7041
0.351,0.7158
0.351,0.7158
0.351,0.7247
0.351,0.7358
0.351,0.7358
0.351,0.7486
0.351,0.7508
0.351,0.7508
0.3616,0.7508
0.3742,0.7508
0.3774,0.7508
0.3774,0.7646
0.3805,0.7646
0.3805,0.7646
0.3805,0.773
0.3805,0.7914
0.3887,0.7914
0.3986,0.7914
0.3986,0.7978
0.3986,0.7978
0.419,0.7978
0.419,0.7978
0.419,0.8048
0.4337,0.8048
0.4518,0.8048
0.4518,0.8048
0.4552,0.8048
0.456,0.8048
0.456,0.8092
0.456,0.8097
0.456,0.8097
0.456,0.8097
0.456,0.823
0.456,0.8238
0.456,0.8238
0.4644,0.8238
0.4644,0.8238
0.4687,0.8238
0.4687,0.8238
0.48,0.8238
0.48,0.8302
0.48,0.8302
0.4826,0.8302
0.4826,0.8312
0.4887,0.8312
0.498,0.8312
0.498,0.8427
0.498,0.8427
0.498,0.8427
0.498,0.8427
0.498,0.8428
0.498,0.8486
0.498,0.8571
0.498,0.8571
0.498,0.865
0.498,0.865
0.498,0.865
0.498,0.865
0.498,0.8684
0.5011,0.8684
0.5011,0.8684
0.5011,0.8684
0.5011,0.8684
0.5011,0.8684
0.5011,0.8684
0.5011,0.8782
0.5011,0.8828
0.5011,0.8837
0.5011,0.9037
0.5279,0.9037
0.5336,0.9037
0.5336,0.9037
0.5336,0.9081
0.5336,0.9081
0.5336,0.9081
0.5336,0.9087
0.5336,0.9148
0.5336,0.9148
0.5336,0.9225
0.5336,0.9257
0.5336,0.9257
0.5336,0.9344
0.5336,0.9623
