alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.0058
0.001,0.0058
0.014,0.0058
0.014,0.0058
0.014,0.0161
0.014,0.0225
0.014,0.0225
0.0211,0.0225
0.0251,0.0225
0.0251,0.0278
0.0451,0.0278
0.0451,0.0278
0.0451,0.0278
0.0451,0.0278
0.0481,0.0278
0.0481,0.0278
0.0481,0.0278
0.0481,0.0278
0.0481,0.038
0.0481,0.0432
0.0481,0.0432
0.0481,0.0485
0.0481,0.0485
0.0481,0.0485
0.0681,0.0485
0.0681,0.0494
0.0681,0.0494
0.0681,0.0494
0.0681,0.0494
0.0681,0.0597
0.0681,0.0822
0.0681,0.0822
0.0681,0.0822
0.0681,0.0822
0.0681,0.0822
0.0681,0.1007
0.0681,0.1007
0.0859,0.1007
0.0859,0.1007
0.0938,0.1007
0.0938,0.1007
0.0938,0.1007
0.0938,0.1104
0.0938,0.1104
0.0938,0.1104
0.1,0.1104
0.1,0.117
0.1039,0.117
0.1039,0.117
0.1065,0.117
0.1065,0.117
0.1065,0.117
0.1065,0.1176
0.1065,0.1193
0.1065,0.1277
0.1065,0.1351
0.1065,0.1351
0.1065,0.1351
0.1165,0.1351
0.1165,0.1351
0.1165,0.1407
0.1165,0.1572
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1619
0.1165,0.1691
0.1165,0.1691
0.1196,0.1691
0.1196,0.1803
0.1196,0.1803
0.1196,0.1803
0.1196,0.196
0.1196,0.1993
0.1246,0.1993
0.1246,0.1993
0.1292,0.1993
0.1292,0.2
0.1292,0.2157
0.1435,0.2157
0.1435,0.2243
0.1435,0.2328
0.1435,0.2328
0.1435,0.2328
0.1435,0.2328
0.1435,0.2458
0.1435,0.2579
0.1435,0.261
0.1435,0.2667
0.1494,0.2667
0.1494,0.2667
0.1494,0.2667
0.15,0.2667
0.15,0.2741
0.1525,0.2741
0.1525,0.2835
0.1525,0.2835
0.1525,0.2952
0.1525,0.2989
0.1525,0.3198
0.1575,0.3198
0.1575,0.3198
0.1575,0.3211
0.1575,0.3275
0.1708,0.3275
0.1708,0.3277
0.1708,0.3277
0.1708,0.3277
0.1708,0.3366
0.1708,0.3366
0.1708,0.346
0.1717,0.346
0.1717,0.3479
0.1717,0.3479
0.1717,0.3479
0.1717,0.3479
0.1717,0.3479
0.1717,0.3479
0.1717,0.349
0.1717,0.349
0.1717,0.3545
0.1717,0.3545
0.1717,0.3545
0.1717,0.3545
0.1717,0.3551
0.1717,0.3772
0.1717,0.3772
0.1717,0.3772
0.1717,0.3772
0.1717,0.3846
0.1804,0.3846
0.1804,0.3846
0.1804,0.3846
0.1804,0.3917
0.1804,0.3917
0.1804,0.3937
0.1804,0.4077
0.1804,0.4077
0.1816,0.4077
0.1816,0.4077
0.1816,0.4258
0.1816,0.4282
0.1816,0.4282
0.1816,0.4282
0.1959,0.4282
0.2024,0.4282
0.2024,0.4305
0.2024,0.4305
0.2024,0.4305
0.2024,0.4375
0.2024,0.4442
0.2081,0.4442
0.2081,0.4442
0.2081,0.4442
0.2102,0.4442
0.2224,0.4442
0.2278,0.4442
0.2278,0.458
0.2278,0.458
0.2278,0.458
0.2278,0.458
0.2278,0.464
0.2278,0.464
0.2278,0.464
0.2278,0.464
0.2278,0.4641
0.2278,0.4669
0.2278,0.4669
0.245,0.4669
0.245,0.4669
0.2516,0.4669
0.2516,0.4669
0.2516,0.4669
0.2616,0.4669
0.2616,0.4692
0.2616,0.4692
0.2616,0.4692
0.2616,0.4744
0.2616,0.4744
0.2616,0.4744
0.2616,0.4744
0.2616,0.4744
0.2616,0.4744
0.2616,0.4744
0.2639,0.4744
0.2639,0.4744
0.2639,0.4744
0.2639,0.4744
0.2639,0.4819
0.2725,0.4819
0.2725,0.4879
0.2725,0.4879
0.2725,0.4961
0.2725,0.4961
0.2725,0.4961
0.2725,0.498
0.2725,0.498
0.2725,0.498
0.2788,0.498
0.2788,0.498
0.2788,0.498
0.2788,0.5056
0.2788,0.5056
0.2788,0.5056
0.2788,0.5122
0.2788,0.5122
0.2788,0.5122
0.2812,0.5122
0.2812,0.5218
0.2926,0.5218
0.2926,0.5218
0.2926,0.5218
0.2926,0.5218
0.2926,0.534
0.2926,0.534
0.3104,0.534
0.3104,0.534
0.3104,0.5449
0.3104,0.5462
0.3104,0.5462
0.3104,0.5556
0.327,0.5556
0.327,0.5619
0.327,0.5619
0.3321,0.5619
0.3367,0.5619
0.3367,0.5633
0.3367,0.5633
0.3367,0.5633
0.3381,0.5633
0.3381,0.5633
0.3481,0.5633
0.3481,0.5633
0.3481,0.5633
0.3481,0.5761
0.3481,0.5761
0.3481,0.5761
0.3481,0.5761
0.3481,0.5775
0.3481,0.5775
0.3481,0.5792
0.3481,0.5792
0.3481,0.5845
0.3566,0.5845
0.3566,0.5845
0.3566,0.5845
0.3609,0.5845
0.3766,0.5845
0.3981,0.5845
0.3981,0.5845
0.3981,0.5845
0.3981,0.5845
0.3981,0.5904
0.3981,0.5904
0.3981,0.6052
0.3981,0.6052
0.3981,0.6052
0.3981,0.6052
0.3981,0.6052
0.3981,0.6083
0.3981,0.6083
0.3981,0.6083
0.3981,0.6083
0.4034,0.6083
0.4034,0.6083
0.4034,0.6124
0.4034,0.6147
0.4034,0.6147
0.4034,0.6147
0.4034,0.6147
0.4034,0.6149
0.4034,0.6149
0.4034,0.6215
0.4034,0.6215
0.4034,0.6303
0.4034,0.6303
0.4034,0.6303
0.4217,0.6303
0.4217,0.6303
0.4217,0.6303
0.4217,0.6303
0.4217,0.6303
0.4217,0.6303
0.4306,0.6303
0.4306,0.6303
0.4306,0.6303
0.4306,0.6303
0.4306,0.6303
0.4306,0.6303
0.4306,0.6368
0.4306,0.6368
0.4306,0.6368
0.4306,0.6368
0.4306,0.6368
0.4306,0.6428
0.4306,0.6509
0.4306,0.6509
0.4306,0.6509
0.4306,0.6574
0.4306,0.6676
0.4306,0.6676
0.4306,0.6676
0.4306,0.6734
0.4306,0.6767
0.4306,0.6896
0.4306,0.7042
0.4306,0.7042
0.4306,0.7047
0.4306,0.7047
0.4306,0.7081
0.4306,0.7081
0.4306,0.7111
0.4306,0.7111
0.4311,0.7111
0.4311,0.7212
0.4311,0.7373
0.4311,0.7451
0.4311,0.7451
0.4311,0.7671
0.4311,0.7671
0.4311,0.7807
0.4311,0.7807
0.4311,0.7807
0.4348,0.7807
0.4348,0.7807
0.4348,0.7807
0.4348,0.7807
0.4348,0.782
0.4416,0.782
0.4416,0.782
0.4416,0.782
0.4416,0.782
0.4416,0.782
