alphaH,alphaS
0.001,0.001
0.0203,0.001
0.0203,0.001
0.0203,0.0025
0.0203,0.0054
0.0203,0.0059
0.0203,0.0108
0.0207,0.0108
0.0207,0.0108
0.0207,0.0108
0.0207,0.0177
0.0207,0.0177
0.0207,0.0366
0.0207,0.0366
0.0207,0.0366
0.0207,0.0366
0.0207,0.0366
0.0207,0.038
0.0207,0.0421
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0548
0.0207,0.0627
0.0385,0.0627
0.0385,0.0627
0.0385,0.0627
0.0571,0.0627
0.0571,0.0678
0.0628,0.0678
0.073,0.0678
0.0765,0.0678
0.0765,0.0678
0.0765,0.0678
0.0765,0.0807
0.0765,0.0807
0.0952,0.0807
0.0952,0.0807
0.0952,0.0894
0.0952,0.0894
0.0952,0.0894
0.1078,0.0894
0.1078,0.0946
0.1078,0.1037
0.1078,0.1037
0.1137,0.1037
0.1137,0.1037
0.1244,0.1037
0.1244,0.1152
0.1244,0.121
0.1244,0.121
0.1244,0.121
0.1244,0.1316
0.1244,0.1391
0.1244,0.1401
0.1293,0.1401
0.1293,0.1401
0.1293,0.1401
0.1411,0.1401
0.1411,0.1587
0.1411,0.1587
0.1411,0.1843
0.1411,0.1843
0.1411,0.1843
0.1411,0.1908
0.1554,0.1908
0.1554,0.2097
0.1554,0.2102
0.1554,0.2284
0.1554,0.2284
0.1554,0.2305
0.1554,0.2434
0.1554,0.2538
0.1554,0.27
0.157,0.27
0.157,0.2739
0.157,0.2798
0.1696,0.2798
0.1696,0.288
0.1696,0.288
0.1696,0.288
0.1696,0.304
0.1696,0.307
0.1696,0.3107
0.1696,0.3236
0.1702,0.3236
0.1702,0.3236
0.1702,0.3236
0.1702,0.3236
0.1702,0.3263
0.1702,0.3263
0.1702,0.3292
0.1702,0.3375
0.1702,0.3375
0.1702,0.3375
0.1702,0.3492
0.1702,0.3492
0.1702,0.3492
0.1702,0.356
0.1702,0.3812
0.1702,0.3874
0.1702,0.4066
0.1702,0.4164
0.1702,0.4284
0.1702,0.4284
0.1702,0.4284
0.1829,0.4284
0.1829,0.4344
0.1829,0.4428
0.1829,0.4428
0.1829,0.4428
0.1829,0.4428
0.1857,0.4428
0.1896,0.4428
0.1896,0.4463
0.1896,0.4463
0.1896,0.4463
0.1896,0.4521
0.1896,0.4521
0.1896,0.4521
0.1896,0.4521
0.1896,0.4521
0.1896,0.4692
0.1896,0.4692
0.1896,0.4692
0.1927,0.4692
0.1927,0.4865
0.1927,0.4945
0.193,0.4945
0.193,0.4945
0.193,0.4997
0.193,0.5031
0.193,0.5273
0.193,0.5398
0.193,0.5398
0.193,0.5398
0.193,0.5398
0.193,0.5398
0.1981,0.5398
0.1981,0.5405
0.1981,0.5405
0.2104,0.5405
0.2104,0.5409
0.2104,0.5409
0.2104,0.5421
0.2104,0.5421
0.2189,0.5421
0.2189,0.5421
0.2189,0.5421
0.2189,0.5495
0.2189,0.5545
0.2189,0.5545
0.2189,0.562
0.2266,0.562
0.2266,0.562
0.2345,0.562
0.2498,0.562
0.2498,0.5652
0.2498,0.5652
0.2498,0.5678
0.2498,0.5678
0.2498,0.5678
0.2498,0.5763
0.2498,0.5763
0.2498,0.5844
0.2498,0.5844
0.2498,0.5933
0.2504,0.5933
0.2504,0.5933
0.2504,0.6006
0.2504,0.6006
0.2675,0.6006
0.2792,0.6006
0.2792,0.6147
0.2792,0.6147
0.2792,0.6155
0.2825,0.6155
0.2825,0.6155
0.2825,0.6155
0.2825,0.6155
0.2825,0.6297
0.2825,0.6297
0.2825,0.6297
0.2825,0.6297
0.2898,0.6297
0.2898,0.6349
0.2898,0.647
0.2898,0.647
0.2898,0.647
0.2967,0.647
0.2967,0.647
0.2967,0.647
0.2967,0.647
0.2967,0.647
0.2982,0.647
0.2982,0.6525
0.2982,0.6525
0.2982,0.6525
0.2982,0.6525
0.2982,0.6628
0.2982,0.6628
0.2982,0.665
0.2982,0.665
0.2982,0.665
0.2992,0.665
0.3004,0.665
0.3004,0.6881
0.3004,0.6912
0.3004,0.7004
0.3004,0.7004
0.3004,0.7004
0.305,0.7004
0.305,0.7004
0.305,0.7004
0.305,0.7088
0.305,0.7088
0.305,0.7109
0.305,0.7109
0.3202,0.7109
0.3311,0.7109
0.3311,0.7223
0.3351,0.7223
0.3351,0.7223
0.3528,0.7223
0.3528,0.7223
0.3528,0.7223
0.3606,0.7223
0.3712,0.7223
0.3719,0.7223
0.3719,0.7223
0.3719,0.7223
0.3752,0.7223
0.3752,0.7223
0.3752,0.7259
0.3752,0.7269
0.3752,0.7375
0.3752,0.7375
0.3752,0.7375
0.3752,0.7461
0.3752,0.7566
0.3752,0.7566
0.3752,0.7566
0.3752,0.7647
0.3752,0.7647
0.3752,0.7665
0.3876,0.7665
0.3876,0.7665
0.3876,0.7712
0.391,0.7712
0.4,0.7712
0.4,0.7886
0.4,0.7886
0.4,0.7886
0.4,0.7986
0.4,0.7986
0.4,0.7986
0.4,0.7986
0.4,0.8029
0.4,0.8067
0.4,0.8067
0.4,0.8067
0.4,0.8067
0.4208,0.8067
0.4208,0.8067
0.4208,0.8067
0.4302,0.8067
0.4302,0.8067
0.4302,0.8067
0.4306,0.8067
0.4306,0.8067
0.4306,0.8067
0.438,0.8067
0.438,0.8067
0.438,0.8275
0.4596,0.8275
0.4596,0.8275
0.4596,0.8448
0.4596,0.8554
0.4596,0.8554
0.4596,0.8554
0.4596,0.8566
0.4689,0.8566
0.4689,0.8566
0.4689,0.8671
0.4773,0.8671
0.4773,0.8671
0.4773,0.8671
0.4846,0.8671
0.4846,0.8681
0.4846,0.8707
0.4846,0.8707
0.5083,0.8707
0.5169,0.8707
0.5169,0.8898
0.5169,0.8898
0.5169,0.8898
0.5169,0.8927
0.5169,0.8965
0.5169,0.8965
0.5169,0.8965
0.5273,0.8965
0.5398,0.8965
0.5507,0.8965
0.5693,0.8965
0.5693,0.8965
0.5743,0.8965
0.5743,0.8965
0.5858,0.8965
0.5858,0.8965
0.5858,0.9096
0.5858,0.9096
0.5858,0.9096
0.5858,0.9096
0.5858,0.9096
0.5858,0.9096
0.5858,0.9096
0.5858,0.9098
0.5898,0.9098
0.5999,0.9098
0.5999,0.9098
0.5999,0.914
0.5999,0.9253
0.5999,0.9331
0.5999,0.9331
0.5999,0.9331
0.5999,0.9331
0.5999,0.9331
0.5999,0.9331
0.5999,0.9331
0.5999,0.9342
0.5999,0.9342
0.5999,0.9464
0.5999,0.9464
0.5999,0.9464
0.5999,0.9464
0.6075,0.9464
0.6407,0.9464
0.65,0.9464
0.6581,0.9464
0.6612,0.9464
0.6612,0.9507
0.6685,0.9507
0.6763,0.9507
0.6783,0.9507
0.6783,0.9507
0.6783,0.9507
0.6845,0.9507
0.6845,0.9507
0.6845,0.9507
0.6917,0.9507
0.7055,0.9507
0.7055,0.9525
