alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0181,0.001
0.0181,0.007
0.0239,0.007
0.0346,0.007
0.0346,0.007
0.0346,0.0083
0.0346,0.0143
0.0346,0.0143
0.0346,0.0143
0.0352,0.0143
0.0358,0.0143
0.0358,0.0143
0.0358,0.0356
0.0358,0.0356
0.0358,0.0356
0.0358,0.0356
0.0358,0.0378
0.0358,0.0378
0.0358,0.0378
0.0358,0.0439
0.0358,0.0439
0.0358,0.0439
0.0404,0.0439
0.049,0.0439
0.049,0.0567
0.049,0.0582
0.049,0.0582
0.049,0.0685
0.049,0.0717
0.049,0.0717
0.049,0.0717
0.049,0.0724
0.049,0.0862
0.049,0.0911
0.049,0.0941
0.049,0.0941
0.049,0.0941
0.049,0.0941
0.049,0.102
0.0664,0.102
0.0682,0.102
0.0682,0.102
0.0799,0.102
0.0799,0.102
0.0799,0.102
0.0799,0.1079
0.0799,0.1079
0.0799,0.1079
0.0799,0.1174
0.0799,0.1174
0.0799,0.1189
0.0799,0.1189
0.0799,0.1189
0.0799,0.1189
0.0799,0.1189
0.0799,0.1189
0.0799,0.1189
0.0799,0.1222
0.0799,0.1222
0.1007,0.1222
0.1007,0.1222
0.1007,0.1222
0.1007,0.1222
0.1007,0.1222
0.1007,0.1222
0.1007,0.137
0.1014,0.137
0.1014,0.1453
0.1014,0.1453
0.1029,0.1453
0.1029,0.155
0.1029,0.155
0.1029,0.155
0.1057,0.155
0.1057,0.155
0.1057,0.155
0.1057,0.155
0.1057,0.155
0.1057,0.155
0.1066,0.155
0.1066,0.155
0.1115,0.155
0.1234,0.155
0.1338,0.155
0.1338,0.155
0.1338,0.1661
0.1338,0.1661
0.1338,0.1661
0.1338,0.1778
0.1338,0.1778
0.1338,0.1778
0.1338,0.1778
0.1338,0.1813
0.1338,0.1901
0.1338,0.1901
0.1454,0.1901
0.1454,0.1901
0.1454,0.1901
0.1545,0.1901
0.1545,0.1933
0.1545,0.1963
0.1545,0.2063
0.1545,0.2063
0.1545,0.2063
0.1603,0.2063
0.1603,0.2063
0.1639,0.2063
0.1663,0.2063
0.1729,0.2063
0.1729,0.2063
0.1729,0.2063
0.1729,0.2217
0.1777,0.2217
0.1777,0.2217
0.1777,0.2298
0.1777,0.2387
0.1824,0.2387
0.1824,0.2413
0.1824,0.2413
0.1824,0.2496
0.1832,0.2496
0.1832,0.2536
0.1832,0.2536
0.1832,0.2536
0.1832,0.2536
0.1832,0.2536
0.1832,0.2536
0.1832,0.2627
0.1832,0.2627
0.1832,0.2627
0.1832,0.2627
0.1934,0.2627
0.1934,0.2627
0.1934,0.2725
0.1934,0.279
0.1938,0.279
0.1938,0.279
0.1938,0.279
0.1938,0.2826
0.1938,0.2826
0.1938,0.2826
0.1963,0.2826
0.1963,0.2835
0.1963,0.2857
0.2118,0.2857
0.2118,0.2889
0.2118,0.2889
0.2118,0.2893
0.2118,0.2961
0.2118,0.2961
0.2258,0.2961
0.2258,0.3115
0.2258,0.3115
0.2258,0.3139
0.2258,0.3139
0.2258,0.3139
0.2258,0.3171
0.2258,0.3171
0.2258,0.3171
0.2258,0.3171
0.2267,0.3171
0.2267,0.3171
0.2267,0.3171
0.2267,0.3171
0.2267,0.3171
0.2308,0.3171
0.2308,0.3171
0.2308,0.3205
0.2308,0.3205
0.2308,0.328
0.2308,0.328
0.2308,0.328
0.2308,0.328
0.2308,0.328
0.2308,0.3375
0.2308,0.3375
0.2308,0.3375
0.2308,0.3375
0.2308,0.341
0.2308,0.341
0.2308,0.341
0.2385,0.341
0.2385,0.353
0.2385,0.353
0.2385,0.353
0.2458,0.353
0.2458,0.353
0.2625,0.353
0.2644,0.353
0.2644,0.3678
0.2662,0.3678
0.2662,0.3736
0.2662,0.3736
0.2662,0.3857
0.2662,0.3996
0.2662,0.407
0.2662,0.407
0.2662,0.407
0.2662,0.407
0.2662,0.407
0.2662,0.407
0.2662,0.407
0.2717,0.407
0.2717,0.4092
0.2717,0.4102
0.2804,0.4102
0.2804,0.4102
0.2982,0.4102
0.2982,0.4382
0.2982,0.4491
0.2982,0.4491
0.2982,0.4593
0.2982,0.4687
0.2982,0.4687
0.2982,0.476
0.3078,0.476
0.3078,0.476
0.3078,0.476
0.3078,0.476
0.3078,0.476
0.3078,0.476
0.3078,0.4775
0.3078,0.4775
0.3091,0.4775
0.3122,0.4775
0.3122,0.4817
0.3215,0.4817
0.3239,0.4817
0.3239,0.4817
0.3239,0.4826
0.3239,0.4826
0.3239,0.4826
0.3239,0.4826
0.3239,0.5028
0.3239,0.5028
0.3239,0.5028
0.3336,0.5028
0.3336,0.5028
0.3351,0.5028
0.3372,0.5028
0.3372,0.5028
0.3372,0.5028
0.3372,0.5028
0.3421,0.5028
0.3421,0.5034
0.3421,0.5034
0.3421,0.5034
0.3421,0.5051
0.3421,0.5051
0.3421,0.5051
0.3421,0.5332
0.3421,0.5332
0.3459,0.5332
0.3459,0.5332
0.3594,0.5332
0.3594,0.5332
0.3594,0.5332
0.3607,0.5332
0.3607,0.5332
0.3607,0.5332
0.3607,0.5332
0.3607,0.5332
0.3607,0.5363
0.3672,0.5363
0.3672,0.5367
0.3672,0.5389
0.3739,0.5389
0.3875,0.5389
0.3875,0.5389
0.3875,0.5389
0.3875,0.5389
0.3953,0.5389
0.3953,0.5454
0.3953,0.5491
0.3953,0.5534
0.3953,0.5625
0.3953,0.5634
0.3953,0.5634
0.3953,0.576
0.3962,0.576
0.3962,0.576
0.3962,0.5809
0.3962,0.5809
0.4032,0.5809
0.4032,0.5809
0.4032,0.5876
0.4032,0.5876
0.4032,0.5876
0.4032,0.6023
0.4032,0.6023
0.4032,0.6023
0.4032,0.6023
0.4076,0.6023
0.4076,0.6023
0.4076,0.6023
0.4217,0.6023
0.4217,0.6214
0.4217,0.6214
0.4217,0.6214
0.4217,0.6214
0.4217,0.6214
0.4217,0.6231
0.4217,0.6231
0.4217,0.6231
0.4217,0.6231
0.4217,0.6346
0.4217,0.6346
0.4353,0.6346
0.4353,0.6367
0.4353,0.6367
0.4353,0.6367
0.4353,0.6478
0.4353,0.6507
0.4353,0.6507
0.4353,0.6507
0.4353,0.6648
0.4353,0.6858
0.4353,0.6865
0.4353,0.6865
0.4353,0.6966
0.4353,0.6966
0.4353,0.6966
0.4353,0.6966
0.4353,0.6966
0.4353,0.7092
0.4353,0.7092
0.4353,0.7109
0.4353,0.7109
0.4451,0.7109
0.4739,0.7109
0.4739,0.7109
0.4797,0.7109
0.4797,0.7213
0.4797,0.7317
0.4872,0.7317
0.4872,0.7317
0.4872,0.7317
0.495,0.7317
0.495,0.7317
0.495,0.7317
