omegaH,omegaS
0.001,0.001
0.001,0.001
0.0141,0.001
0.0332,0.001
0.0332,0.001
0.0332,0.001
0.0449,0.001
0.0449,0.0118
0.0449,0.0186
0.0449,0.0203
0.0505,0.0203
0.0524,0.0203
0.0524,0.0203
0.0524,0.036
0.0524,0.0372
0.0524,0.0372
0.0524,0.0372
0.0548,0.0372
0.0548,0.0372
0.0548,0.0372
0.0601,0.0372
0.0601,0.0372
0.0634,0.0372
0.0634,0.0372
0.0634,0.0494
0.0634,0.0494
0.0634,0.0494
0.0634,0.0494
0.0714,0.0494
0.0714,0.0586
0.0714,0.0586
0.0714,0.0586
0.0714,0.0762
0.0714,0.0762
0.0714,0.0779
0.0714,0.0779
0.0714,0.0873
0.0721,0.0873
0.0721,0.0873
0.0721,0.0964
0.0721,0.0964
0.0721,0.0964
0.0721,0.0964
0.0721,0.0964
0.0721,0.1103
0.0721,0.1103
0.0721,0.1103
0.0751,0.1103
0.0751,0.1103
0.0818,0.1103
0.0818,0.1103
0.0818,0.1143
0.0818,0.1162
0.0818,0.1162
0.0875,0.1162
0.0875,0.1256
0.0875,0.1321
0.095,0.1321
0.095,0.1391
0.095,0.1482
0.095,0.1523
0.095,0.1523
0.095,0.1523
0.095,0.1563
0.095,0.1631
0.095,0.1631
0.095,0.1707
0.095,0.1708
0.097,0.1708
0.1027,0.1708
0.1027,0.1708
0.1111,0.1708
0.1111,0.1708
0.1111,0.1792
0.1111,0.1792
0.1111,0.1792
0.1111,0.1869
0.1275,0.1869
0.1275,0.1887
0.1275,0.1932
0.1275,0.1932
0.1275,0.1947
0.1275,0.1954
0.1275,0.2024
0.1275,0.2024
0.1275,0.2024
0.13,0.2024
0.13,0.2024
0.13,0.2024
0.13,0.2119
0.13,0.2119
0.13,0.2301
0.13,0.2301
0.13,0.2301
0.13,0.2301
0.13,0.2301
0.13,0.2428
0.13,0.2428
0.1311,0.2428
0.1311,0.2428
0.1311,0.2428
0.1311,0.2464
0.1311,0.2475
0.1311,0.2475
0.1311,0.2475
0.1311,0.2475
0.1311,0.2475
0.1311,0.2475
0.1317,0.2475
0.1317,0.2475
0.1317,0.2494
0.1317,0.2552
0.1317,0.2743
0.1317,0.2761
0.1541,0.2761
0.1541,0.2761
0.1541,0.2806
0.1541,0.2855
0.1541,0.2855
0.1541,0.291
0.1541,0.291
0.1541,0.291
0.1541,0.2944
0.1541,0.301
0.1541,0.3166
0.161,0.3166
0.1836,0.3166
0.1836,0.3308
0.1836,0.3317
0.1836,0.3317
0.1836,0.3447
0.1836,0.3447
0.1836,0.3447
0.1836,0.3479
0.1836,0.3479
0.1957,0.3479
0.1957,0.353
0.1957,0.3789
0.1957,0.3812
0.1957,0.396
0.2018,0.396
0.2018,0.396
0.2018,0.406
0.2018,0.4163
0.2018,0.4163
0.2018,0.4226
0.2018,0.4226
0.2018,0.4226
0.2064,0.4226
0.2064,0.4226
0.2064,0.4278
0.2064,0.4278
0.2177,0.4278
0.2177,0.4342
0.2177,0.4342
0.2177,0.4369
0.2177,0.4422
0.2177,0.4422
0.2177,0.4422
0.2177,0.4485
0.2177,0.4485
0.2177,0.4647
0.2177,0.4647
0.2177,0.4647
0.2177,0.4647
0.2177,0.4647
0.2177,0.4741
0.2177,0.4741
0.2177,0.4741
0.2177,0.4741
0.2177,0.4775
0.2177,0.4859
0.2177,0.4885
0.2177,0.4948
0.2177,0.4948
0.2177,0.5181
0.2177,0.5181
0.2177,0.5186
0.2177,0.5186
0.2177,0.5186
0.2177,0.5186
0.2177,0.5304
0.2177,0.5489
0.2177,0.5489
0.2177,0.5665
0.2177,0.5727
0.2177,0.5727
0.2177,0.5727
0.2177,0.5751
0.2177,0.5751
0.2177,0.5751
0.2234,0.5751
0.2234,0.5861
0.2234,0.5861
0.2234,0.5861
0.2234,0.5861
0.2234,0.5861
0.2234,0.5974
0.2234,0.5974
0.2234,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6036
0.2313,0.6045
0.2336,0.6045
0.2336,0.6045
0.2336,0.6045
0.2336,0.6087
0.2336,0.6087
0.2336,0.6087
0.2336,0.6119
0.2336,0.6119
0.2336,0.6119
0.2336,0.6119
0.2336,0.6149
0.2336,0.6156
0.2411,0.6156
0.2411,0.6156
0.2411,0.626
0.2477,0.626
0.2477,0.626
0.2477,0.626
0.2477,0.6336
0.2477,0.6336
0.2477,0.6505
0.2554,0.6505
0.2554,0.6505
0.259,0.6505
0.259,0.6566
0.2643,0.6566
0.2643,0.6566
0.2643,0.6566
0.2798,0.6566
0.2798,0.6599
0.2798,0.6599
0.2798,0.6599
0.2798,0.6634
0.2798,0.6634
0.2798,0.667
0.2798,0.6813
0.2798,0.6813
0.2798,0.6813
0.2798,0.7081
0.2798,0.7081
0.2798,0.7121
0.2966,0.7121
0.2966,0.7121
0.2966,0.7121
0.2966,0.7121
0.2991,0.7121
0.2991,0.7121
0.2991,0.7121
0.2991,0.7121
0.2991,0.7121
0.2996,0.7121
0.2996,0.7231
0.2996,0.7303
0.2996,0.7303
0.2996,0.7375
0.2996,0.7545
0.2996,0.7545
0.2996,0.7561
0.2996,0.7561
0.2996,0.7589
0.3115,0.7589
0.3115,0.7589
0.3115,0.768
0.3115,0.7761
0.3115,0.7761
0.3115,0.7761
0.3343,0.7761
0.3487,0.7761
0.3514,0.7761
0.363,0.7761
0.363,0.7761
0.363,0.7807
0.363,0.7807
0.363,0.7807
0.363,0.7807
0.363,0.7807
0.363,0.7932
0.363,0.7932
0.363,0.7932
0.363,0.8066
0.3678,0.8066
0.3678,0.8113
0.3678,0.8113
0.3781,0.8113
0.3781,0.8113
0.3781,0.8149
0.3858,0.8149
0.3858,0.8149
0.3858,0.8255
0.3858,0.8352
0.3858,0.8364
0.3919,0.8364
0.3919,0.8395
0.3919,0.8395
0.3965,0.8395
0.3995,0.8395
0.3995,0.8395
0.3995,0.8395
0.3995,0.8395
0.3995,0.8395
0.3995,0.8529
0.3995,0.8529
0.3995,0.8529
0.3995,0.8529
0.3995,0.8529
0.3995,0.8529
0.3995,0.8592
0.3995,0.8681
0.4,0.8681
0.4,0.8781
0.4,0.8879
0.4,0.8894
0.4059,0.8894
0.4059,0.9074
0.4059,0.9074
0.4059,0.9129
0.4139,0.9129
0.4139,0.9129
0.4139,0.9129
0.4139,0.9129
0.4139,0.9129
0.4149,0.9129
0.4149,0.9246
0.4149,0.9246
0.4241,0.9246
0.4241,0.9246
0.4274,0.9246
0.4274,0.938
0.4274,0.938
0.428,0.938
0.428,0.938
0.428,0.938
0.428,0.9525
