omegaH,omegaS
0.001,0.001
0.005,0.001
0.005,0.001
0.005,0.0029
0.005,0.0178
0.005,0.0178
0.005,0.0178
0.0093,0.0178
0.0093,0.0218
0.0093,0.0218
0.0093,0.0291
0.0093,0.0351
0.024,0.0351
0.024,0.0393
0.024,0.0393
0.024,0.0393
0.024,0.0395
0.024,0.0395
0.024,0.0395
0.024,0.0395
0.0374,0.0395
0.0374,0.0483
0.0374,0.0483
0.0484,0.0483
0.0484,0.0646
0.0484,0.0646
0.0484,0.0646
0.0484,0.0646
0.0484,0.0646
0.0484,0.0646
0.0499,0.0646
0.0499,0.0646
0.0499,0.0646
0.0499,0.0646
0.0499,0.0646
0.0499,0.0646
0.0499,0.0658
0.0499,0.067
0.0499,0.0717
0.0499,0.0717
0.0499,0.0717
0.0499,0.082
0.0499,0.0871
0.0594,0.0871
0.0594,0.0871
0.0594,0.0871
0.0594,0.0871
0.0594,0.103
0.0607,0.103
0.0607,0.103
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0607,0.1191
0.0652,0.1191
0.0652,0.1195
0.0652,0.1254
0.0652,0.1254
0.0652,0.1254
0.0652,0.1383
0.0679,0.1383
0.0679,0.1412
0.0717,0.1412
0.0717,0.1435
0.0717,0.1435
0.0717,0.1435
0.0717,0.1506
0.0734,0.1506
0.0734,0.1573
0.0734,0.1573
0.0734,0.1668
0.0734,0.1783
0.0779,0.1783
0.0779,0.1783
0.0779,0.1783
0.0779,0.1783
0.0779,0.1783
0.0779,0.1981
0.0779,0.1981
0.0779,0.2007
0.0822,0.2007
0.0822,0.2007
0.0822,0.2007
0.0822,0.2007
0.0822,0.2007
0.0822,0.2007
0.0822,0.2094
0.0822,0.2205
0.0822,0.2205
0.0822,0.2205
0.0927,0.2205
0.0927,0.227
0.0927,0.227
0.0945,0.227
0.0945,0.227
0.0945,0.2271
0.0945,0.2272
0.0945,0.2272
0.0945,0.2272
0.0945,0.2272
0.0945,0.2272
0.0945,0.2272
0.0945,0.2272
0.0991,0.2272
0.0999,0.2272
0.0999,0.2272
0.0999,0.2369
0.0999,0.2376
0.0999,0.2376
0.0999,0.2376
0.0999,0.2472
0.0999,0.2472
0.0999,0.2472
0.0999,0.2554
0.0999,0.2766
0.1021,0.2766
0.1021,0.2766
0.1021,0.2766
0.1021,0.2766
0.1021,0.278
0.1021,0.278
0.1021,0.278
0.1021,0.278
0.1021,0.278
0.1021,0.278
0.1039,0.278
0.1039,0.2841
0.1039,0.2841
0.1039,0.2841
0.106,0.2841
0.106,0.2878
0.106,0.2884
0.1228,0.2884
0.1228,0.2884
0.1228,0.2884
0.1228,0.2884
0.1228,0.2884
0.1228,0.2884
0.1297,0.2884
0.1297,0.3035
0.1297,0.3035
0.1297,0.3141
0.1297,0.323
0.1297,0.323
0.1297,0.3231
0.1352,0.3231
0.1352,0.3231
0.1352,0.3305
0.1427,0.3305
0.1427,0.3373
0.1427,0.3383
0.1427,0.3442
0.1427,0.3442
0.1427,0.3442
0.1427,0.3442
0.1427,0.3442
0.1427,0.3557
0.1443,0.3557
0.1443,0.3557
0.1443,0.3557
0.1443,0.3742
0.1464,0.3742
0.1465,0.3742
0.1465,0.3772
0.1465,0.3772
0.1465,0.3772
0.1465,0.3772
0.1465,0.3772
0.1465,0.3772
