omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.0049
0.0208,0.0049
0.0208,0.0107
0.0208,0.0188
0.0248,0.0188
0.029,0.0188
0.029,0.0193
0.029,0.0241
0.0385,0.0241
0.0385,0.0241
0.0621,0.0241
0.0738,0.0241
0.0738,0.0241
0.0921,0.0241
0.0921,0.0323
0.0921,0.0323
0.1023,0.0323
0.1023,0.0323
0.1023,0.0371
0.1023,0.0371
0.1023,0.0371
0.1164,0.0371
0.1196,0.0371
0.1263,0.0371
0.1331,0.0371
0.1331,0.0371
0.1331,0.0371
0.1331,0.0371
0.1331,0.0395
0.1331,0.0492
0.1331,0.0492
0.139,0.0492
0.139,0.054
0.139,0.054
0.139,0.0669
0.139,0.0669
0.142,0.0669
0.142,0.0839
0.142,0.089
0.142,0.089
0.159,0.089
0.159,0.0942
0.159,0.1052
0.159,0.1052
0.159,0.1052
0.159,0.119
0.159,0.119
0.159,0.119
0.159,0.1417
0.159,0.1417
0.159,0.1417
0.159,0.1417
0.159,0.1459
0.159,0.1459
0.1796,0.1459
0.1796,0.1698
0.1796,0.1811
0.184,0.1811
0.184,0.1879
0.1895,0.1879
0.1895,0.1881
0.1895,0.1881
0.2091,0.1881
0.2091,0.1881
0.2091,0.1881
0.2091,0.1881
0.2091,0.1961
0.2091,0.1961
0.2294,0.1961
0.2294,0.1961
0.2294,0.1964
0.2294,0.1964
0.2294,0.1964
0.235,0.1964
0.235,0.1964
0.235,0.1964
0.2468,0.1964
0.2468,0.1964
0.2468,0.2117
0.2549,0.2117
0.2549,0.2139
0.2549,0.2139
0.2598,0.2139
0.2598,0.2139
0.2831,0.2139
0.2831,0.2139
0.2982,0.2139
0.3173,0.2139
0.3173,0.2139
0.3173,0.2203
0.3173,0.2203
0.3173,0.2237
0.3173,0.2237
0.3173,0.2252
0.3193,0.2252
0.3193,0.2299
0.3193,0.2299
0.3193,0.2451
0.3193,0.2451
0.3193,0.2451
0.3249,0.2451
0.3249,0.2451
0.3249,0.2451
0.3249,0.2451
0.3249,0.2451
0.3249,0.2458
0.3305,0.2458
0.334,0.2458
0.334,0.2458
0.334,0.2458
0.334,0.2458
0.334,0.2458
0.3354,0.2458
0.3354,0.2458
0.3354,0.2485
0.3354,0.2569
0.338,0.2569
0.338,0.2569
0.338,0.2569
0.338,0.2569
0.338,0.2569
0.338,0.2569
0.338,0.258
0.338,0.258
0.338,0.258
0.338,0.258
0.338,0.258
0.338,0.258
0.338,0.258
0.338,0.2607
0.338,0.2607
0.338,0.2643
0.338,0.2735
0.338,0.2735
0.338,0.2735
0.338,0.2891
0.338,0.2891
0.338,0.2891
0.3509,0.2891
0.3509,0.3001
0.3509,0.3001
0.3577,0.3001
0.3577,0.3001
0.3586,0.3001
0.3586,0.3012
0.3586,0.3012
0.3586,0.3012
0.3713,0.3012
0.3718,0.3012
0.3718,0.3012
0.3718,0.3012
0.3718,0.3012
0.3718,0.3121
0.3718,0.3183
0.3718,0.3183
0.3718,0.3183
0.3718,0.3183
0.3852,0.3183
0.3852,0.3226
0.3852,0.3226
0.3852,0.3226
0.3852,0.3287
0.3852,0.3287
0.3852,0.3287
0.3949,0.3287
0.3949,0.3417
0.4037,0.3417
0.4167,0.3417
0.4167,0.3466
0.4177,0.3466
0.4177,0.3661
0.4177,0.3661
0.4177,0.3745
0.4177,0.3745
0.4177,0.3745
0.4177,0.3745
0.4177,0.3745
0.4177,0.3745
0.4186,0.3745
0.4186,0.3745
0.4186,0.3745
0.4186,0.3745
0.4186,0.3745
0.4186,0.3745
0.4186,0.3812
0.4186,0.3978
0.4186,0.3978
0.4186,0.3978
0.4186,0.3978
0.4345,0.3978
0.4345,0.3978
0.4403,0.3978
0.4484,0.3978
0.4484,0.3978
0.4484,0.3978
0.4484,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4619,0.4098
0.4771,0.4098
0.4771,0.4098
0.4813,0.4098
0.4813,0.4098
0.4813,0.4098
0.4813,0.4098
0.4813,0.4271
0.4813,0.4271
0.4825,0.4271
0.4825,0.4297
0.4825,0.4319
0.4825,0.4319
0.4825,0.4319
0.4854,0.4319
0.4854,0.4319
0.4854,0.4319
0.4854,0.4319
0.4854,0.4319
0.4887,0.4319
0.4887,0.442
0.4887,0.442
0.4887,0.442
0.5013,0.442
0.5013,0.442
0.5013,0.442
0.5013,0.4426
0.5013,0.4456
0.5013,0.446
0.5036,0.446
0.5036,0.4468
0.5036,0.4509
0.5036,0.4509
0.5036,0.4509
0.5036,0.4509
0.5073,0.4509
0.5073,0.4509
0.5073,0.4509
0.5073,0.4509
0.5073,0.4509
0.5073,0.4509
0.5143,0.4509
0.5237,0.4509
0.5237,0.4509
0.5237,0.4509
0.5237,0.4509
0.5237,0.4509
0.5237,0.4509
0.5328,0.4509
0.5328,0.4509
0.5527,0.4509
0.5527,0.4509
0.5527,0.4689
0.5527,0.4826
0.5527,0.4826
0.5527,0.4826
0.5621,0.4826
0.5621,0.4826
0.5621,0.4826
0.5621,0.4826
0.5627,0.4826
0.5831,0.4826
0.5884,0.4826
0.5884,0.4826
0.5884,0.4826
0.5884,0.4826
0.5901,0.4826
0.6012,0.4826
0.6012,0.4826
0.6018,0.4826
0.6018,0.4826
0.6018,0.4826
0.6018,0.4826
0.6018,0.4826
0.6018,0.4886
0.6018,0.4886
0.6018,0.4886
0.6018,0.4886
0.6018,0.4886
0.6018,0.5001
0.6018,0.5001
0.6018,0.5084
0.6018,0.5114
0.6018,0.5114
0.6018,0.5151
0.6093,0.5151
0.6145,0.5151
0.6145,0.5151
0.6145,0.5218
0.6145,0.5218
0.6145,0.5236
0.6145,0.5364
0.6145,0.5364
0.6145,0.5364
0.6145,0.5364
0.6174,0.5364
0.6238,0.5364
0.6552,0.5364
0.6552,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6628,0.539
0.6749,0.539
0.6978,0.539
0.6978,0.549
0.6978,0.566
0.7145,0.566
0.7145,0.566
0.7182,0.566
0.7182,0.566
0.7182,0.5775
0.7182,0.5994
0.7182,0.5994
0.7208,0.5994
0.7208,0.6117
0.7208,0.6117
0.7248,0.6117
0.7248,0.6117
0.7248,0.6117
0.7248,0.6117
0.7248,0.6185
0.7248,0.6344
0.7248,0.6555
0.7248,0.6555
0.7248,0.6555
0.7248,0.6577
0.7248,0.6589
0.7248,0.6686
0.7248,0.6775
0.7248,0.6775
0.7248,0.7005
0.7248,0.7005
